gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-15,H,0,2,2,2,0,0,0,0,1,17,CHI,0,13:18
2025-03-12,R,0,1,1,1,0,0,0,0,6,24,CGY,2,13:28
2025-03-11,H,0,0,0,0,0,0,0,0,3,21,MTL,0,16:30
2025-03-09,H,0,1,1,1,0,0,0,0,1,17,DAL,0,12:46
2025-03-07,H,0,0,0,1,0,0,0,0,0,18,MIN,0,11:32
2025-03-05,H,0,1,1,1,0,0,0,0,0,17,ANA,0,12:06
2025-03-01,R,0,0,0,-1,0,0,0,0,3,19,SEA,0,14:32
2025-02-27,R,0,0,0,-2,0,0,0,0,2,22,ANA,0,16:36
2025-02-26,R,1,0,1,0,0,0,0,0,2,22,LAK,0,14:28
2025-02-23,R,0,0,0,0,0,0,0,0,0,17,UTA,0,11:57
2025-02-22,R,0,0,0,-1,0,0,0,0,1,18,VGK,0,12:49
2025-02-08,H,0,0,0,0,0,0,0,0,0,15,TOR,0,11:53
2025-02-06,R,0,0,0,0,0,0,0,0,0,16,SJS,0,10:53
2025-02-04,H,0,0,0,0,0,0,0,0,1,13,COL,0,9:25
2025-02-02,H,0,0,0,0,0,0,0,0,3,12,DET,0,9:12
2025-01-31,R,0,1,1,0,0,0,0,0,2,19,DAL,0,12:26
2025-01-29,R,1,0,1,2,0,0,0,0,2,17,NSH,0,10:35
2025-01-27,R,0,0,0,0,0,0,0,0,0,15,STL,4,10:35
2025-01-25,H,0,1,1,1,0,0,0,0,2,17,WSH,0,11:06
2025-01-21,H,0,0,0,1,0,0,0,0,0,13,BUF,0,9:37
2025-01-18,H,0,0,0,0,0,0,0,0,3,12,EDM,0,9:13
2025-01-16,H,0,0,0,0,0,0,0,0,3,19,LAK,0,14:40
2025-01-14,R,1,0,1,0,0,0,0,0,1,18,WPG,0,9:58
2025-01-11,R,0,0,0,0,0,0,0,0,2,18,TOR,0,12:06
2025-01-08,R,0,0,0,0,0,0,0,0,2,13,WSH,0,9:43
2025-01-06,R,0,1,1,1,0,0,0,0,0,19,MTL,2,12:01
2025-01-03,H,0,0,0,0,0,0,0,0,0,19,NSH,2,12:12
2025-01-02,R,0,1,1,1,0,0,0,0,2,18,SEA,0,12:24
2024-12-31,R,0,0,0,0,0,0,0,0,1,14,CGY,0,9:49
2024-12-28,H,0,0,0,0,0,0,0,0,1,15,SEA,0,9:52
2024-12-23,H,0,1,1,2,0,0,0,0,2,19,SJS,0,11:44
2024-12-18,R,0,0,0,0,0,0,0,0,0,16,UTA,0,10:16
2024-12-16,H,0,0,0,0,0,0,0,0,0,12,COL,0,7:48
2024-12-14,H,0,0,0,0,0,0,0,0,1,16,BOS,0,11:40
2024-12-12,H,0,0,0,1,0,0,0,0,0,19,FLA,0,13:19
2024-12-10,H,0,0,0,-1,0,0,0,0,0,14,STL,0,10:56
2024-12-08,H,0,0,0,0,0,0,0,0,1,17,TBL,0,10:42
2024-12-06,H,0,0,0,0,0,0,0,0,0,16,CBJ,2,10:10
2024-12-03,R,0,0,0,0,0,0,0,0,2,18,MIN,0,13:34
2024-12-01,R,0,0,0,-2,0,0,0,0,1,16,DET,2,10:33
2024-11-29,R,0,0,0,0,0,0,0,0,0,9,BUF,0,6:28
2024-11-27,R,0,0,0,1,0,0,0,0,0,16,PIT,0,9:14
2024-11-26,R,0,0,0,0,0,0,0,0,1,14,BOS,0,7:40
2024-11-23,R,0,0,0,0,0,0,0,0,0,13,OTT,6,8:38
2024-11-19,H,0,0,0,-1,0,0,0,0,1,17,NYR,2,10:06
2024-11-17,H,0,0,0,0,0,0,0,0,0,14,NSH,2,10:48
2024-11-16,H,0,0,0,0,0,0,0,0,1,18,CHI,0,11:35
2024-11-14,H,0,0,0,-1,0,0,0,0,1,19,NYI,0,11:27
2024-11-12,H,0,0,0,-1,0,0,0,0,1,14,CGY,0,9:23
2024-11-09,H,0,0,0,0,0,0,0,0,1,18,EDM,0,12:56
2024-11-07,R,0,0,0,0,0,0,0,0,2,19,LAK,2,11:32
2024-11-05,R,0,0,0,0,0,0,0,0,1,18,ANA,0,13:04
2024-11-02,R,0,1,1,1,0,0,0,0,0,14,SJS,0,10:14
2024-10-30,H,0,0,0,-2,0,0,0,0,1,17,NJD,0,12:59
2024-10-28,H,0,1,1,0,0,0,0,0,0,16,CAR,0,12:14
2024-10-26,H,0,0,0,-1,0,0,0,0,2,21,PIT,0,15:50
2024-10-22,R,0,0,0,0,0,0,0,0,3,19,CHI,0,12:55
2024-10-19,R,1,0,1,1,0,0,1,0,1,22,PHI,0,15:20
2024-10-17,R,0,0,0,0,0,0,0,0,1,24,FLA,0,18:11
2024-10-15,R,0,0,0,0,0,0,0,0,2,19,TBL,0,14:00
2024-10-11,H,1,0,1,0,0,0,0,0,2,21,PHI,4,13:14
2024-10-09,H,0,1,1,0,0,0,0,0,2,22,CGY,0,15:04
