gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2023-04-12,H,0,1,1,1,0,0,0,0,2,21,SJS,0,15:36
2023-04-10,H,0,2,2,2,0,0,0,0,2,21,NSH,0,17:45
2023-04-08,R,0,0,0,0,0,0,0,0,2,19,VAN,0,14:14
2023-04-05,R,1,1,2,2,0,0,0,0,1,23,WPG,0,17:58
2023-04-04,H,0,0,0,-1,0,0,0,0,2,22,CHI,0,16:01
2023-04-02,H,1,0,1,1,1,1,0,0,2,21,ANA,0,14:46
2023-03-31,R,0,1,1,1,0,0,0,0,2,26,VAN,2,20:44
2023-03-28,H,1,0,1,0,1,1,0,0,4,23,LAK,0,16:31
2023-03-25,H,0,0,0,0,0,0,0,0,0,22,SJS,2,15:20
2023-03-23,H,0,0,0,0,0,0,0,0,5,22,VGK,0,18:09
2023-03-21,R,1,0,1,1,0,0,0,0,3,21,ANA,2,15:18
2023-03-20,R,0,0,0,-1,0,0,0,0,1,21,LAK,0,16:13
2023-03-18,H,0,1,1,1,0,0,0,0,2,27,DAL,2,19:14
2023-03-16,R,0,1,1,4,0,0,0,0,1,21,VGK,0,14:15
2023-03-14,R,0,0,0,-1,0,0,0,0,4,26,ARI,0,18:52
2023-03-12,H,0,0,0,-1,0,0,0,0,3,26,OTT,2,19:25
2023-03-10,H,0,0,0,-1,0,0,0,0,2,21,ANA,0,17:34
2023-03-07,R,0,0,0,0,0,0,0,0,0,23,MIN,2,17:36
2023-03-06,R,0,0,0,-1,0,0,0,0,2,22,DAL,0,16:59
2023-03-04,H,0,0,0,-2,0,0,0,0,1,22,MIN,2,16:33
2023-03-02,H,0,0,0,0,0,0,0,0,1,24,TOR,0,18:40
2023-02-28,H,0,0,0,0,0,0,0,0,2,24,BOS,0,18:03
2023-02-25,R,0,0,0,-1,0,0,0,0,3,27,COL,0,18:02
2023-02-23,R,0,0,0,1,0,0,0,0,3,21,VGK,0,16:29
2023-02-22,R,0,1,1,0,0,0,0,0,4,22,ARI,0,16:25
2023-02-20,H,1,1,2,1,0,0,0,0,5,29,PHI,2,21:32
2023-02-18,H,1,0,1,1,0,0,0,0,2,24,NYR,0,17:41
2023-02-16,H,0,0,0,0,0,0,0,0,2,20,DET,0,16:26
2023-02-13,R,0,0,0,0,0,0,0,0,4,22,OTT,2,17:38
2023-02-11,R,0,0,0,1,0,0,0,0,2,23,BUF,0,16:31
2023-02-09,R,0,0,0,1,0,0,0,0,2,22,DET,2,15:53
2023-02-06,R,1,1,2,2,0,0,0,0,3,24,NYR,0,17:04
2023-01-27,R,0,1,1,2,0,0,0,0,2,22,SEA,2,14:23
2023-01-26,H,0,0,0,0,0,0,0,0,2,20,CHI,0,17:11
2023-01-23,H,1,2,3,3,0,0,0,0,5,22,CBJ,0,18:01
2023-01-21,H,0,1,1,0,0,0,0,0,3,23,TBL,0,16:24
2023-01-18,H,0,0,0,0,0,0,0,0,1,23,COL,2,16:09
2023-01-16,R,0,1,1,0,0,0,0,0,4,22,NSH,0,15:20
2023-01-14,R,1,0,1,0,0,0,0,0,3,28,DAL,0,19:28
2023-01-12,R,0,0,0,0,0,0,0,0,2,22,STL,0,17:53
2023-01-10,R,1,1,2,2,0,0,0,0,2,21,STL,0,15:42
2023-01-08,R,0,0,0,0,0,0,0,0,3,24,CHI,0,17:28
2023-01-06,H,0,1,1,1,0,0,0,0,1,22,NYI,0,16:16
2023-01-03,R,0,1,1,0,0,0,0,0,1,20,WPG,0,16:34
2022-12-31,H,0,0,0,0,0,0,0,0,2,23,VAN,0,15:19
2022-12-28,R,0,0,0,0,0,0,0,0,6,22,SEA,0,15:49
2022-12-27,H,0,1,1,1,0,0,0,0,4,22,EDM,4,16:36
2022-12-23,R,0,0,0,0,0,0,0,0,2,21,ANA,0,15:41
2022-12-22,R,0,0,0,-1,0,0,0,0,3,21,LAK,0,15:01
2022-12-20,R,0,0,0,0,0,0,0,0,2,24,SJS,0,16:46
2022-12-18,R,0,0,0,0,0,0,0,0,0,27,SJS,0,17:52
2022-12-16,H,0,0,0,-2,0,0,0,0,3,25,STL,0,16:13
2022-12-14,H,1,0,1,1,0,0,0,0,1,28,VAN,0,20:48
2022-12-12,R,0,0,0,-1,0,0,0,0,3,24,MTL,2,18:58
2022-12-10,R,0,2,2,1,0,0,0,0,2,25,TOR,0,16:11
2022-12-09,R,0,0,0,-2,0,0,0,0,1,21,CBJ,0,19:08
2022-12-07,H,0,0,0,-2,0,0,0,0,1,28,MIN,0,19:54
2022-12-05,H,0,0,0,1,0,0,0,0,1,22,ARI,0,16:04
2022-12-03,H,2,0,2,2,0,0,0,0,4,23,WSH,0,17:12
2022-12-01,H,0,0,0,-1,0,0,0,0,3,26,MTL,4,17:04
2022-11-29,H,1,1,2,3,0,0,0,0,1,23,FLA,0,15:44
2022-11-26,R,0,0,0,-1,0,0,0,0,2,21,CAR,2,19:24
2022-11-25,R,0,0,0,0,0,0,0,0,3,21,WSH,0,15:48
2022-11-23,R,0,0,0,0,0,0,0,0,0,22,PIT,0,15:35
2022-11-21,R,0,1,1,0,0,0,0,0,3,21,PHI,0,15:52
2022-11-19,R,0,0,0,0,0,0,0,0,0,19,FLA,2,14:05
2022-11-17,R,0,0,0,-1,0,0,0,0,1,21,TBL,0,13:48
