gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2022-04-29,H,0,0,0,1,0,0,0,0,1,16,ANA,0,14:27
2022-04-27,H,0,0,0,0,0,0,0,0,1,13,ARI,0,12:11
2022-04-20,R,0,0,0,-2,0,0,0,0,0,15,EDM,0,10:30
2022-04-18,R,0,1,1,-1,0,0,0,0,0,17,VAN,2,10:45
2022-04-16,H,0,0,0,0,0,0,0,0,0,12,SJS,0,9:32
2022-04-14,H,0,0,0,-1,0,0,0,0,0,12,MIN,0,10:07
2022-04-10,R,0,0,0,-1,0,0,0,0,0,14,CHI,0,11:28
2022-04-09,H,0,0,0,0,0,0,0,0,2,16,NJD,0,12:53
2022-04-07,H,0,0,0,0,0,0,0,0,1,14,TOR,0,10:52
2022-04-05,H,0,0,0,0,0,0,0,0,1,14,NYI,0,11:02
2022-04-02,R,0,0,0,-1,0,0,0,0,2,18,SJS,0,13:08
2022-03-31,R,0,0,0,-1,0,0,0,0,2,20,ANA,4,13:40
2022-03-29,R,0,0,0,1,0,0,0,0,2,18,ANA,0,14:38
2022-03-26,H,0,0,0,0,0,0,0,0,3,18,VAN,2,12:57
2022-03-24,R,0,1,1,0,0,0,0,0,0,17,CAR,2,11:25
2022-03-22,H,0,0,0,-1,0,0,0,0,1,15,EDM,0,11:37
2022-03-20,R,1,0,1,1,0,0,0,0,2,18,WSH,2,12:11
2022-03-19,R,0,0,0,-1,0,0,0,0,0,21,NYI,2,13:21
2022-03-17,R,0,1,1,1,0,0,0,0,0,15,MTL,0,10:39
2022-03-15,R,0,0,0,-2,0,0,0,0,1,19,TOR,0,14:07
2022-03-12,H,0,0,0,-1,0,0,0,0,1,18,NYR,0,13:29
2022-03-08,R,0,0,0,0,0,0,0,0,0,16,NSH,0,11:47
2022-03-06,R,0,0,0,1,0,0,0,0,0,19,MIN,0,11:34
