gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2010-01-14,H,0,0,0,0,0,0,0,0,1,10,PIT,2,7:41
2010-01-12,H,0,0,0,-1,0,0,0,0,1,13,NSH,0,8:51
2010-01-07,H,0,1,1,1,0,0,0,0,3,18,CBJ,2,11:34
2010-01-05,H,0,0,0,0,0,0,0,0,0,19,PHX,2,13:09
2010-01-02,R,0,0,0,-1,0,0,0,0,0,15,SJS,0,9:56
2009-12-31,R,0,0,0,-1,0,0,0,0,1,13,CGY,0,9:06
2009-12-30,H,0,0,0,0,0,0,0,0,1,18,TOR,0,14:24
2009-12-28,H,0,0,0,1,0,0,0,0,3,15,CGY,17,10:18
2009-12-26,R,0,0,0,0,0,0,0,0,0,13,VAN,2,10:22
2009-12-23,R,0,0,0,1,0,0,0,0,1,11,MIN,5,8:54
2009-12-21,H,0,0,0,0,0,0,0,0,1,16,STL,0,13:56
2009-12-19,H,0,0,0,-1,0,0,0,0,1,19,WSH,0,14:05
2009-12-17,H,0,0,0,0,0,0,0,0,1,13,NSH,0,10:48
2009-12-15,H,0,0,0,-1,0,0,0,0,1,17,LAK,0,14:22
2009-12-11,R,0,0,0,1,0,0,0,0,0,15,STL,2,13:12
2009-12-09,R,0,1,1,2,0,0,0,0,1,9,TBL,7,6:07
2009-12-07,R,0,0,0,0,0,0,0,0,1,9,FLA,0,6:52
2009-12-05,R,0,0,0,1,0,0,0,0,1,12,DAL,0,8:04
2009-12-03,R,0,1,1,2,0,0,0,0,0,14,DET,0,8:34
2009-10-19,H,0,0,0,-1,0,0,0,0,0,4,VAN,0,2:31
2009-10-16,H,0,2,2,1,0,0,0,0,2,19,MIN,0,13:24
2009-10-14,R,0,0,0,-1,0,0,0,0,1,15,CHI,2,10:41
2009-10-12,R,0,0,0,-1,0,0,0,0,1,21,NSH,2,14:43
2009-10-10,H,0,1,1,1,0,0,0,0,2,18,MTL,0,13:30
2009-10-08,H,0,0,0,0,0,0,0,0,1,14,CGY,0,11:38
2009-10-06,H,0,0,0,0,0,0,0,0,0,17,DAL,5,12:46
2009-10-03,H,0,0,0,-1,0,0,0,0,0,17,CGY,0,13:55
