gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2024-12-01,H,0,0,0,2,0,0,0,0,0,19,WPG,0,15:08
2024-11-29,H,1,1,2,2,1,1,0,0,1,23,COL,0,16:56
2024-11-27,R,0,0,0,-2,0,0,0,0,5,21,CHI,0,15:58
2024-11-25,R,1,1,2,0,0,0,0,0,2,25,CAR,0,18:38
2024-11-23,R,0,1,1,2,0,0,0,0,2,23,TBL,0,16:17
2024-11-20,H,0,0,0,-1,0,0,0,0,0,22,SJS,0,15:44
2024-11-18,H,0,1,1,0,0,0,0,0,3,22,ANA,0,15:59
2024-11-16,R,0,1,1,1,0,0,0,0,5,20,MIN,0,16:48
2024-11-14,H,0,2,2,1,0,0,0,0,6,20,BOS,0,17:02
2024-11-11,R,1,0,1,1,1,1,0,0,2,19,PIT,0,16:28
2024-11-09,R,0,0,0,-1,0,0,0,0,3,23,WPG,2,17:05
2024-11-07,H,1,0,1,1,0,0,1,0,3,18,CHI,0,14:39
2024-11-01,H,1,0,1,0,0,0,0,0,3,23,FLA,0,16:46
2024-10-26,H,0,1,1,1,0,0,0,0,2,17,CHI,0,18:50
2024-10-24,R,1,2,3,2,1,1,0,0,1,23,BOS,0,15:02
2024-10-22,R,1,0,1,2,0,0,0,0,1,23,BUF,0,16:05
2024-10-13,H,0,0,0,0,0,0,0,0,2,20,SEA,0,14:17
2024-10-12,H,2,0,2,2,0,0,1,0,2,20,NYI,0,14:59
2024-10-10,R,0,1,1,1,0,0,0,0,0,23,NSH,0,15:30
