gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2020-03-11,R,0,0,0,0,0,0,0,0,1,22,ANA,0,18:22
2020-03-09,H,0,0,0,1,0,0,0,0,1,18,FLA,0,13:50
2020-03-08,R,0,0,0,0,0,0,0,0,0,23,CHI,0,16:03
2020-03-06,R,0,0,0,-1,0,0,0,0,1,17,NJD,0,10:36
2020-03-03,R,0,0,0,0,0,0,0,0,0,18,NYR,0,12:42
2020-02-29,H,0,0,0,-1,0,0,0,0,0,17,DAL,0,13:46
2020-02-27,H,0,0,0,0,0,0,0,0,0,19,NYI,0,13:01
2020-02-25,H,0,0,0,-1,0,0,0,0,1,20,CHI,0,14:15
2020-02-23,R,0,0,0,2,0,0,0,0,3,24,MIN,0,17:18
2020-02-21,R,1,0,1,2,0,0,0,0,1,22,DAL,0,14:24
2020-02-20,H,0,0,0,0,0,0,0,0,1,15,ARI,0,12:04
2020-02-18,H,0,0,0,0,0,0,0,0,1,15,NJD,2,9:25
2020-02-16,R,0,0,0,-1,0,0,0,0,1,19,NSH,0,12:37
2020-02-15,H,1,0,1,0,0,0,0,0,1,21,NSH,0,13:21
2020-02-13,R,0,0,0,0,0,0,0,0,2,24,VGK,0,14:45
2020-02-08,H,0,0,0,0,0,0,0,0,1,22,DAL,0,15:40
2020-02-06,H,0,0,0,-2,0,0,0,0,1,20,WPG,0,14:41
2020-02-04,H,0,0,0,-1,0,0,0,0,0,18,CAR,2,12:17
2020-02-01,R,0,0,0,-1,0,0,0,0,0,20,WPG,0,14:05
2020-01-31,R,0,0,0,0,0,0,0,0,1,22,EDM,0,14:43
2020-01-28,R,1,0,1,0,0,0,0,0,1,15,CGY,0,8:43
2020-01-27,R,0,0,0,-2,0,0,0,0,3,20,VAN,0,14:37
2020-01-18,R,0,0,0,-2,0,0,0,0,0,22,COL,0,17:42
2020-01-15,H,1,1,2,1,0,0,0,0,3,23,PHI,0,15:58
2020-01-13,H,1,0,1,1,0,0,0,0,2,18,ANA,0,13:52
2020-01-11,H,0,0,0,-1,0,0,0,0,1,20,NYR,0,16:31
2020-01-09,H,2,1,3,4,0,0,0,0,5,20,BUF,0,14:52
2020-01-07,H,0,1,1,1,0,0,0,0,1,19,SJS,0,14:19
2020-01-04,R,0,1,1,0,0,0,0,0,1,24,VGK,0,15:39
2020-01-02,R,0,0,0,1,0,0,0,0,2,20,COL,0,14:37
2019-12-31,R,0,1,1,1,0,0,0,0,1,17,ARI,0,12:37
2019-12-29,H,0,0,0,1,0,0,0,0,3,18,WPG,0,13:41
2019-12-27,R,0,0,0,-1,0,0,0,0,1,17,WPG,0,12:54
2019-12-23,R,0,0,0,0,0,0,0,0,2,21,LAK,0,13:55
2019-12-21,R,0,0,0,1,0,0,0,0,2,20,SJS,2,13:39
2019-12-18,H,0,0,0,0,0,0,0,0,2,19,EDM,0,15:23
2019-12-16,H,0,0,0,0,0,0,0,0,1,19,COL,2,15:05
2019-12-14,H,0,0,0,3,0,0,0,0,1,21,CHI,0,15:13
2019-11-06,R,0,0,0,0,0,0,0,0,0,12,EDM,0,8:34
2019-11-05,R,0,1,1,1,0,0,0,0,2,21,VAN,0,14:12
2019-11-02,R,0,0,0,1,0,0,0,0,1,16,MIN,0,13:26
2019-11-01,H,0,0,0,0,0,0,0,0,0,16,CBJ,2,11:46
2019-10-30,H,0,0,0,0,0,0,0,0,2,20,MIN,0,16:19
2019-10-27,R,0,1,1,1,0,0,0,0,0,13,DET,0,11:29
2019-10-26,R,0,0,0,-1,0,0,0,0,2,21,BOS,0,13:14
2019-10-24,H,0,1,1,0,0,0,0,0,2,24,LAK,0,17:36
2019-10-21,H,0,0,0,1,0,0,0,0,1,27,COL,2,15:23
2019-10-19,H,0,0,0,0,0,0,0,0,3,20,MTL,0,13:52
2019-10-17,H,0,1,1,0,0,0,0,0,1,17,VAN,0,11:44
2019-10-14,R,0,0,0,-1,0,0,0,0,1,21,NYI,0,15:39
2019-10-12,R,0,0,0,-2,0,0,0,0,1,22,MTL,0,14:17
2019-10-10,R,0,1,1,1,0,0,0,0,0,20,OTT,0,13:22
2019-10-07,R,0,0,0,1,0,0,0,0,3,20,TOR,0,14:06
2019-10-05,H,0,0,0,0,0,0,0,0,3,22,DAL,0,16:39
2019-10-02,H,0,0,0,0,0,0,0,0,0,18,WSH,0,13:16
