gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2011-04-07,H,0,0,0,0,0,0,0,0,0,6,MTL,15,4:11
2011-04-05,H,0,0,0,0,0,0,0,0,0,4,PHI,2,2:42
2011-04-02,H,0,0,0,0,0,0,0,0,0,3,TOR,0,2:03
2011-03-31,R,0,0,0,0,0,0,0,0,0,5,FLA,5,3:00
2011-03-29,R,0,0,0,0,0,0,0,0,0,3,TBL,0,2:25
2011-03-27,R,0,0,0,1,0,0,0,0,0,6,ATL,0,4:00
2011-03-25,H,0,0,0,0,0,0,0,0,2,4,WSH,5,2:49
2011-03-24,R,0,0,0,0,0,0,0,0,0,2,NYR,0,2:11
2011-03-22,R,0,0,0,0,0,0,0,0,0,4,CAR,0,2:10
2011-03-19,H,0,0,0,0,0,0,0,0,0,3,TBL,0,2:30
2011-03-17,H,0,0,0,0,0,0,0,0,0,8,NJD,0,5:20
2011-03-15,H,0,0,0,0,0,0,0,0,0,5,PIT,10,3:29
2011-03-13,R,0,0,0,-1,0,0,0,0,0,6,BUF,0,4:05
2011-03-11,R,0,0,0,0,0,0,0,0,0,5,TBL,0,2:49
2011-03-10,R,0,0,0,0,0,0,0,0,0,7,FLA,15,4:28
2011-03-08,R,0,0,0,0,0,0,0,0,0,7,NJD,0,4:36
2011-03-04,H,0,0,0,0,0,0,0,0,1,6,NYR,0,5:14
2011-03-03,R,0,0,0,0,0,0,0,0,1,9,ATL,2,5:59
2011-03-01,H,0,0,0,0,0,0,0,0,0,8,BOS,0,6:18
2011-02-26,H,0,0,0,0,0,0,0,0,0,5,PHI,0,3:23
2011-02-25,R,0,0,0,0,0,0,0,0,1,9,BUF,2,5:53
2011-02-23,H,0,0,0,0,0,0,0,0,0,9,FLA,5,6:31
2011-02-19,R,0,0,0,0,0,0,0,0,1,3,TOR,15,1:36
2011-02-18,H,0,0,0,0,0,0,0,0,0,9,BOS,2,4:51
