gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2024-04-17,H,0,0,0,1,0,0,0,0,1,20,TOR,0,16:08
2024-04-15,H,0,0,0,1,0,0,0,0,1,15,BUF,0,10:52
2024-04-13,R,0,0,0,-1,0,0,0,0,1,15,WSH,0,11:15
2024-04-11,H,1,1,2,2,0,0,0,0,3,17,OTT,0,14:51
2024-04-06,R,0,0,0,-1,0,0,0,0,0,19,PIT,0,13:01
2024-03-24,R,0,0,0,-1,0,0,0,0,1,13,ANA,0,9:01
2024-03-21,R,0,0,0,0,0,0,0,0,0,14,SJS,2,11:52
2024-03-19,R,0,0,0,0,0,0,0,0,0,13,VGK,2,8:19
2024-03-16,R,0,0,0,-1,0,0,0,0,1,14,FLA,0,9:29
2024-03-14,H,0,0,0,0,0,0,0,0,1,17,NYR,2,10:54
2024-03-09,H,1,0,1,1,0,0,0,0,2,19,PHI,0,13:36
2024-03-07,H,1,1,2,0,0,0,0,0,2,20,CGY,0,13:49
2024-03-02,H,0,0,0,-1,0,0,0,0,1,15,MTL,0,12:02
2024-02-29,H,0,0,0,0,0,0,0,0,1,17,BUF,0,13:29
2024-02-27,R,0,0,0,-1,0,0,0,0,0,17,PHI,0,11:45
2024-02-25,R,0,0,0,0,0,0,0,0,1,17,NJD,0,10:59
2024-02-24,R,0,0,0,0,0,0,0,0,0,16,NYI,0,10:35
2024-02-22,H,0,1,1,0,0,0,0,0,0,17,WSH,0,9:10
2024-02-19,H,0,0,0,0,0,0,0,0,2,13,OTT,0,8:54
2024-02-17,H,0,0,0,0,0,0,0,0,0,18,FLA,0,13:20
2024-02-15,H,0,0,0,1,0,0,0,0,1,15,COL,0,9:58
2024-02-13,R,0,0,0,0,0,0,0,0,1,11,BOS,0,7:39
2024-02-10,R,0,0,0,0,0,0,0,0,0,17,CBJ,0,11:25
2024-02-08,R,0,0,0,-2,0,0,0,0,0,14,NYI,0,11:40
2024-02-07,R,0,0,0,-1,0,0,0,0,2,14,NYR,0,10:31
2024-01-27,H,0,0,0,0,0,0,0,0,2,17,NJD,0,10:53
2024-01-25,H,0,0,0,0,0,0,0,0,1,16,ARI,0,12:36
2024-01-23,R,0,0,0,0,0,0,0,0,1,12,PHI,0,10:16
2024-01-21,R,0,0,0,0,0,0,0,0,0,16,DET,0,12:43
2024-01-20,R,0,0,0,0,0,0,0,0,1,18,BUF,0,12:40
2024-01-18,H,0,1,1,1,0,0,0,0,0,19,MIN,0,12:20
2024-01-13,H,0,0,0,0,0,0,0,0,2,14,ANA,0,10:46
2024-01-11,H,0,0,0,0,0,0,0,0,0,14,NJD,0,10:11
2024-01-09,H,0,0,0,-1,0,0,0,0,2,15,LAK,2,9:54
2024-01-06,R,0,0,0,0,0,0,0,0,1,16,BOS,0,12:42
2024-01-04,R,0,1,1,1,0,0,0,0,1,16,MIN,0,11:06
2024-01-02,R,0,0,0,-3,0,0,0,0,1,11,WPG,0,8:33
2023-12-30,H,0,0,0,-1,0,0,0,0,1,7,NYR,0,3:41
2023-12-27,H,0,0,0,1,0,0,0,0,0,15,FLA,0,10:29
2023-12-23,R,0,0,0,1,0,0,0,0,1,16,WSH,0,10:23
2023-12-21,H,0,1,1,1,0,0,0,0,0,10,VGK,0,7:12
2023-12-19,H,0,1,1,1,0,0,0,0,0,15,STL,0,11:08
2023-12-16,R,0,0,0,0,0,0,0,0,0,16,CGY,0,11:46
2023-12-14,R,0,2,2,2,0,0,0,0,0,18,EDM,0,12:17
2023-11-07,R,0,0,0,0,0,0,0,0,0,1,MTL,0,0:35
2023-11-06,R,0,0,0,-1,0,0,0,0,1,15,TOR,2,13:22
2023-11-04,R,0,0,0,0,0,0,0,0,2,21,OTT,0,15:23
2023-11-02,R,1,0,1,1,0,0,0,0,1,18,CBJ,0,13:06
2023-10-30,H,0,0,0,0,0,0,0,0,1,14,SEA,0,11:34
2023-10-26,H,0,1,1,2,0,0,0,0,1,15,SJS,0,12:48
2023-10-24,H,0,0,0,0,0,0,0,0,2,12,CAR,0,9:26
2023-10-21,H,0,0,0,0,0,0,0,0,1,17,TOR,0,12:51
2023-10-19,H,0,1,1,1,0,0,0,0,1,14,VAN,0,9:41
2023-10-17,R,0,0,0,-1,0,0,0,0,1,18,BUF,2,12:53
2023-10-15,R,0,0,0,-2,0,0,0,0,1,14,OTT,0,11:38
2023-10-14,R,0,0,0,-2,0,0,0,0,2,15,DET,0,11:19
2023-10-10,H,0,0,0,-1,0,0,0,0,0,17,NSH,0,12:04
