gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2024-01-24,R,0,0,0,0,0,0,0,0,0,9,TOR,0,5:59
2024-01-22,R,0,0,0,0,0,0,0,0,0,10,BOS,0,6:49
2024-01-13,H,0,0,0,0,0,0,0,0,1,11,PHI,0,7:15
2024-01-11,H,0,0,0,0,0,0,0,0,1,9,CHI,0,5:23
2024-01-09,H,0,0,0,0,0,0,0,0,1,13,CBJ,0,8:50
2024-01-07,R,0,0,0,0,0,0,0,0,2,13,ARI,0,8:29
2024-01-05,R,0,0,0,0,0,0,0,0,0,13,ANA,0,9:37
2024-01-04,R,0,0,0,1,0,0,0,0,0,11,SJS,0,9:22
2024-01-02,H,0,0,0,1,0,0,0,0,1,15,TBL,0,9:55
2023-12-31,R,0,0,0,1,0,0,0,0,2,14,MIN,0,9:47
2023-12-30,H,1,0,1,1,0,0,0,0,2,12,MIN,0,8:32
2023-12-27,R,0,1,1,1,0,0,0,0,0,12,CHI,0,8:45
2023-12-22,H,0,0,0,-1,0,0,0,0,1,11,BOS,0,8:39
2023-12-20,H,1,1,2,2,0,0,1,0,4,16,DET,0,10:47
2023-12-18,H,0,0,0,0,0,0,0,0,0,8,MTL,0,6:18
2023-12-16,H,0,0,0,0,0,0,0,0,3,13,COL,0,10:14
2023-12-13,R,0,0,0,0,0,0,0,0,0,13,LAK,0,6:58
2023-12-07,R,0,1,1,0,0,0,0,0,0,15,COL,0,11:11
2023-12-02,H,0,0,0,0,0,0,0,0,2,7,CHI,0,4:40
2023-11-30,H,0,0,0,0,0,0,0,0,2,11,EDM,0,7:52
2023-11-28,H,0,0,0,0,0,0,0,0,0,10,DAL,0,6:19
2023-11-26,R,0,0,0,0,0,0,0,0,1,10,NSH,0,8:11
2023-11-24,R,0,0,0,0,0,0,0,0,0,12,FLA,0,8:21
2023-11-22,R,0,0,0,0,0,0,0,0,0,9,TBL,0,6:39
2023-11-18,H,0,0,0,0,0,0,0,0,0,11,ARI,0,7:32
2023-11-17,H,0,0,0,0,0,0,0,0,0,10,BUF,0,8:32
