gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2016-04-07,H,0,0,0,0,0,0,0,0,1,16,TBL,0,10:29
2016-04-05,H,0,0,0,-1,0,0,0,0,1,14,BUF,0,10:51
2016-04-02,R,0,0,0,0,0,0,0,0,1,14,TBL,0,11:53
2016-03-31,R,1,0,1,1,1,1,0,0,3,19,FLA,0,13:57
2016-03-29,H,0,0,0,0,0,0,0,0,0,18,BOS,0,12:37
2016-03-27,R,0,0,0,0,0,0,0,0,2,20,CAR,0,13:45
2016-03-25,H,0,0,0,0,0,0,0,0,1,18,WSH,0,13:08
2016-03-24,R,0,0,0,0,0,0,0,0,0,18,PIT,0,13:31
2016-03-20,H,0,0,0,0,0,0,0,0,2,16,CBJ,2,12:12
2016-03-19,R,0,0,0,-2,0,0,0,0,3,19,CBJ,0,15:26
2016-03-17,H,2,0,2,1,0,0,0,0,3,17,MIN,0,12:05
2016-03-14,R,0,0,0,-2,0,0,0,0,2,18,ANA,0,13:03
2016-03-12,R,0,0,0,-1,0,0,0,0,1,15,LAK,2,14:45
2016-03-10,R,0,1,1,1,0,0,0,0,0,15,SJS,0,11:23
2016-01-06,R,0,0,0,1,0,0,0,0,2,16,MTL,0,10:39
2016-01-04,H,0,0,0,0,0,0,0,0,0,17,DET,0,11:20
2016-01-02,H,0,0,0,0,0,0,0,0,2,15,DAL,0,10:35
2015-12-30,R,0,0,0,0,0,0,0,0,5,15,OTT,0,12:00
