gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2012-02-21,H,0,0,0,-1,0,0,0,0,0,11,DAL,0,9:36
2012-02-19,H,0,0,0,-3,0,0,0,0,0,20,NJD,0,17:55
2012-02-17,R,0,0,0,0,0,0,0,0,0,27,BUF,0,22:20
2012-02-15,H,1,0,1,-1,0,0,0,0,3,23,BOS,0,19:41
2012-02-13,H,0,1,1,0,0,0,0,0,2,25,CAR,0,17:41
2012-02-11,R,1,1,2,2,0,0,0,0,2,24,TOR,0,18:43
2012-02-09,R,0,0,0,0,0,0,0,0,1,24,NYI,0,19:58
2012-02-07,H,0,0,0,0,0,0,0,0,3,27,PIT,2,21:18
2012-02-05,H,0,1,1,1,0,0,0,0,2,25,WPG,2,20:14
2012-02-04,H,0,0,0,0,0,0,0,0,2,23,WSH,0,18:04
2012-02-02,R,1,0,1,1,0,0,0,0,2,26,NJD,0,18:40
2012-01-31,H,0,0,0,-1,0,0,0,0,3,15,BUF,0,10:11
2012-01-25,H,0,0,0,-1,0,0,0,0,2,20,DET,0,14:30
2012-01-21,R,0,0,0,1,0,0,0,0,0,13,TOR,0,8:13
2012-01-20,R,0,0,0,0,0,0,0,0,0,14,PIT,0,10:01
2012-01-18,H,0,0,0,0,0,0,0,0,1,12,WSH,4,7:39
2012-01-15,H,0,0,0,1,0,0,0,0,0,21,NYR,0,13:43
2012-01-14,H,0,0,0,0,0,0,0,0,0,14,OTT,0,7:43
2012-01-12,R,0,0,0,0,0,0,0,0,2,15,BOS,0,12:49
2012-01-10,H,0,0,0,0,0,0,0,0,2,13,STL,2,8:26
2012-01-07,H,0,1,1,1,0,0,0,0,0,10,TBL,0,5:28
2012-01-04,H,0,0,0,0,0,0,0,0,3,18,WPG,2,13:32
2011-12-31,R,0,0,0,0,0,0,0,0,0,9,FLA,0,7:03
2011-12-29,R,0,0,0,0,0,0,0,0,1,15,TBL,0,10:31
2011-12-27,R,0,2,2,2,0,0,0,0,0,18,OTT,0,12:17
2011-12-22,R,0,0,0,0,0,0,0,0,1,18,WPG,0,12:58
2011-12-21,R,0,0,0,-1,0,0,0,0,0,15,CHI,0,11:49
2011-12-19,R,0,0,0,-1,0,0,0,0,2,19,BOS,0,14:30
2011-12-17,H,0,0,0,0,0,0,0,0,2,23,NJD,0,19:46
2011-12-15,H,0,0,0,-2,0,0,0,0,0,23,PHI,0,16:51
2011-12-13,H,1,0,1,1,0,0,0,0,2,18,NYI,0,13:49
2011-12-10,R,0,1,1,1,0,0,0,0,1,15,NJD,0,10:19
2011-12-08,H,0,0,0,0,0,0,0,0,0,10,VAN,0,6:26
2011-12-06,H,0,0,0,0,0,0,0,0,1,9,CBJ,0,5:59
2011-12-03,R,0,0,0,0,0,0,0,0,1,9,LAK,0,5:55
2011-12-01,R,0,0,0,-1,0,0,0,0,1,11,SJS,0,7:08
2011-11-30,R,0,0,0,0,0,0,0,0,0,14,ANA,0,10:04
2011-11-26,H,0,0,0,0,0,0,0,0,1,8,PIT,0,6:46
2011-11-25,R,0,0,0,0,0,0,0,0,2,13,PHI,0,8:55
2011-11-23,R,0,0,0,0,0,0,0,0,1,13,CAR,0,10:09
2011-11-21,H,0,0,0,0,0,0,0,0,0,8,BOS,0,6:44
2011-11-19,H,0,0,0,0,0,0,0,0,0,11,NYR,4,8:13
2011-11-17,R,0,0,0,-1,0,0,0,0,1,15,NYI,0,10:54
2011-11-16,H,0,0,0,0,0,0,0,0,1,13,CAR,0,9:57
2011-11-14,H,0,0,0,0,0,0,0,0,2,19,BUF,0,12:58
2011-11-12,R,0,0,0,0,0,0,0,0,3,11,NSH,0,9:56
2011-11-10,R,0,0,0,-1,0,0,0,0,2,25,PHX,0,16:14
2011-11-08,H,0,0,0,0,0,0,0,0,0,20,EDM,0,16:24
2011-11-05,R,0,0,0,0,0,0,0,0,0,13,NYR,0,8:19
2011-11-04,R,0,0,0,0,0,0,0,0,0,10,OTT,0,8:59
2011-10-29,H,0,0,0,-1,0,0,0,0,1,18,BOS,0,12:00
2011-10-27,R,0,0,0,1,0,0,0,0,0,15,BOS,0,10:31
2011-10-26,H,0,0,0,0,0,0,0,0,1,12,PHI,0,10:38
2011-10-24,H,0,0,0,0,0,0,0,0,5,17,FLA,0,12:44
2011-10-22,H,0,0,0,0,0,0,0,0,0,11,TOR,0,9:15
2011-10-20,R,1,0,1,1,0,0,0,0,4,14,PIT,0,13:09
2011-10-18,H,0,0,0,-1,0,0,0,0,0,13,BUF,0,8:39
2011-10-15,H,0,0,0,0,0,0,0,0,3,11,COL,0,6:05
2011-10-13,H,0,0,0,0,0,0,0,0,4,16,CGY,2,13:18
2011-10-09,R,0,0,0,-1,0,0,0,0,3,19,WPG,0,13:59
2011-10-06,R,0,0,0,0,0,0,0,0,1,18,TOR,0,13:16
