gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-14,R,0,0,0,0,0,0,0,0,1,20,CGY,0,18:26
2025-03-11,R,0,0,0,-1,0,0,0,0,2,21,MIN,0,22:48
2025-03-10,H,1,0,1,2,0,0,0,0,1,21,CHI,0,19:21
2025-03-08,H,0,1,1,-1,0,0,0,0,6,21,TOR,0,21:36
2025-03-06,H,1,1,2,3,1,1,1,0,3,17,SJS,2,16:38
2025-03-04,H,0,0,0,0,0,0,0,0,2,17,PIT,0,15:23
2025-02-28,H,0,1,1,0,0,0,0,0,3,19,MIN,0,18:43
2025-02-26,H,0,3,3,1,0,0,0,0,2,21,NJD,0,22:08
2025-02-23,R,0,0,0,0,0,0,0,0,0,20,STL,0,22:03
2025-02-22,R,0,0,0,-1,0,0,0,0,1,24,NSH,0,22:30
2025-02-07,R,1,0,1,2,0,0,1,0,3,24,EDM,2,23:54
2025-02-06,R,2,1,3,3,1,1,1,0,8,24,CGY,0,24:15
2025-02-04,R,0,0,0,-1,0,0,0,0,3,20,VAN,0,21:10
2025-02-02,H,0,0,0,0,0,0,0,0,4,22,PHI,0,24:51
2025-01-31,H,1,0,1,1,0,0,0,0,4,19,STL,0,20:53
2025-01-28,R,0,2,2,0,0,0,0,0,2,26,NYI,0,24:42
2025-01-26,R,0,2,2,-1,0,0,0,0,3,21,NYR,0,19:34
2025-01-25,R,0,0,0,-3,0,0,0,0,2,23,BOS,0,25:08
2025-01-23,H,0,2,2,1,0,0,0,0,4,16,CBJ,0,16:28
2025-01-21,R,0,1,1,1,0,0,0,0,1,16,DAL,0,16:22
2025-01-20,R,0,1,1,0,0,0,0,0,4,20,CHI,0,17:00
2025-01-17,H,0,0,0,0,0,0,0,0,0,17,VGK,0,17:25
2025-01-15,R,1,0,1,1,0,0,0,0,1,19,BUF,0,19:33
2025-01-12,H,0,2,2,0,0,0,0,0,1,20,ANA,0,20:49
2025-01-10,H,0,0,0,0,0,0,0,0,1,15,VAN,0,13:26
2025-01-09,H,0,1,1,0,0,0,0,0,3,17,TOR,0,16:58
2025-01-07,R,0,0,0,0,0,0,0,0,2,20,TBL,0,15:55
2025-01-05,H,0,1,1,0,0,0,0,0,2,19,PIT,0,15:13
2025-01-04,H,0,0,0,-1,0,0,0,0,0,18,MIN,0,15:05
2025-01-02,R,1,0,1,1,0,0,0,0,5,22,FLA,2,17:15
2024-12-31,R,0,1,1,1,0,0,0,0,4,21,CBJ,0,20:59
2024-12-28,H,0,0,0,-1,0,0,0,0,2,20,NJD,0,18:02
2024-12-27,R,0,0,0,0,0,0,0,0,1,19,NJD,0,17:38
2024-12-23,R,0,0,0,-1,0,0,0,0,4,19,NSH,0,17:16
2024-12-22,R,0,0,0,0,0,0,0,0,1,16,NYR,0,17:27
2024-12-20,R,0,0,0,-1,0,0,0,0,3,21,WSH,0,21:07
2024-12-17,H,0,0,0,0,0,0,0,0,0,19,NYI,0,17:12
2024-12-15,H,0,1,1,1,0,0,0,0,1,16,CBJ,0,16:40
2024-12-13,H,0,0,0,-3,0,0,0,0,3,23,OTT,2,20:54
2024-12-10,H,0,1,1,0,0,0,0,0,3,18,SJS,0,20:01
2024-12-07,R,0,1,1,-2,0,0,0,0,4,21,NYI,0,22:09
2024-12-05,H,1,1,2,1,1,1,1,0,2,23,COL,0,19:48
2024-12-03,H,1,1,2,0,1,1,0,0,1,20,SEA,0,17:55
2024-11-30,R,0,0,0,-1,0,0,0,0,5,20,FLA,2,17:04
2024-11-29,H,0,0,0,-1,0,0,0,0,2,22,FLA,0,22:18
2024-11-27,H,0,2,2,0,0,0,0,0,2,21,NYR,0,19:54
2024-11-25,H,1,1,2,0,1,1,1,0,3,22,DAL,0,16:33
2024-11-23,R,0,2,2,-1,0,0,0,0,0,24,CBJ,0,20:16
2024-11-21,R,0,1,1,0,0,0,0,0,2,19,NJD,0,20:40
2024-11-20,R,0,0,0,-1,0,0,0,0,4,18,PHI,0,16:41
2024-11-17,H,2,2,4,3,0,0,0,0,3,19,STL,0,16:20
2024-11-16,H,0,1,1,0,0,0,0,0,3,21,OTT,0,19:01
2024-11-13,R,1,0,1,-4,1,1,0,0,4,22,UTA,0,22:31
2024-11-11,R,0,1,1,2,0,0,0,0,3,22,VGK,2,18:53
2024-11-09,R,1,1,2,-1,1,1,0,0,2,20,COL,0,17:57
2024-11-07,H,0,1,1,1,0,0,0,0,1,15,PIT,0,13:47
2024-11-05,H,1,1,2,0,0,0,1,0,5,19,PHI,0,16:47
2024-11-03,H,1,2,3,3,0,0,0,0,3,19,WSH,2,17:27
2024-10-31,H,1,3,4,2,1,1,0,0,2,21,BOS,0,19:00
2024-10-28,R,1,1,2,1,0,0,0,0,1,21,VAN,0,17:18
2024-10-26,R,0,1,1,0,0,0,0,0,1,20,SEA,0,19:32
2024-10-24,R,1,1,2,2,0,0,1,0,6,26,CGY,0,18:29
2024-10-22,R,1,2,3,2,0,0,0,0,3,22,EDM,0,19:50
2024-10-19,R,0,0,0,-2,0,0,0,0,3,18,STL,0,17:23
2024-10-18,R,1,1,2,0,1,1,1,0,2,16,PIT,0,15:48
2024-10-15,H,0,1,1,1,0,0,0,0,0,16,NJD,0,15:08
2024-10-11,H,0,0,0,0,0,0,0,0,0,21,TBL,0,18:49
