gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-15,R,0,0,0,-2,0,0,0,0,1,16,PIT,0,10:12
2025-03-13,H,0,0,0,0,0,0,0,0,0,15,EDM,0,10:31
2025-03-11,H,1,0,1,1,0,0,0,0,2,16,CBJ,2,10:26
2025-03-07,H,0,0,0,0,0,0,0,0,1,17,WPG,0,15:17
2025-03-04,R,0,0,0,-1,0,0,0,0,0,17,DAL,0,11:27
2025-03-02,R,0,0,0,0,0,0,0,0,1,14,VGK,0,12:32
2025-03-01,R,0,0,0,0,0,0,0,0,0,18,UTA,0,12:50
2025-02-26,R,0,0,0,0,0,0,0,0,1,17,COL,0,11:41
2025-02-23,R,0,0,0,0,0,0,0,0,1,15,NSH,0,12:45
2025-02-22,H,0,0,0,-1,0,0,0,0,1,17,DAL,0,13:24
2025-02-08,R,1,0,1,1,0,0,0,0,3,18,MTL,0,16:39
2025-02-06,H,0,0,0,0,0,0,0,0,1,17,VGK,2,10:59
2025-02-04,R,0,0,0,-1,0,0,0,0,0,17,PIT,2,14:40
2025-02-02,R,2,0,2,2,0,0,0,0,3,18,BUF,0,14:15
2025-01-29,H,0,0,0,0,0,0,0,0,0,20,PHI,0,15:27
2025-01-27,R,0,0,0,-1,0,0,0,0,1,20,PHI,0,16:58
2025-01-25,R,0,0,0,-1,0,0,0,0,2,15,MTL,0,10:39
2025-01-22,H,0,0,0,0,0,0,0,0,0,18,BOS,0,13:37
2025-01-19,H,0,0,0,-1,0,0,0,0,1,16,OTT,0,11:30
2025-01-18,H,0,0,0,-1,0,0,0,0,2,16,PHI,0,14:08
2025-01-16,R,0,0,0,-1,0,0,0,0,0,16,TOR,2,13:09
2025-01-14,H,0,0,0,0,0,0,0,0,2,18,FLA,0,14:54
2025-01-11,H,0,0,0,-1,0,0,0,0,1,17,TBL,2,12:36
2025-01-09,R,0,0,0,0,0,0,0,0,0,21,NYR,0,16:38
2025-01-06,R,1,0,1,1,0,0,0,0,2,18,SEA,0,12:19
2025-01-04,R,1,0,1,-2,0,0,0,0,1,17,SJS,0,13:34
2025-01-01,R,0,0,0,0,0,0,0,0,1,16,LAK,4,11:45
2024-12-31,R,0,0,0,0,0,0,0,0,1,22,ANA,0,17:15
2024-12-28,R,1,0,1,1,0,0,0,0,1,18,CAR,0,10:32
2024-12-27,H,0,0,0,0,0,0,0,0,2,16,CAR,0,13:58
2024-12-23,H,0,0,0,0,0,0,0,0,0,19,NYR,5,13:09
2024-12-21,H,0,0,0,0,0,0,0,0,0,20,PIT,2,15:11
2024-12-19,R,0,1,1,0,0,0,0,0,2,19,CBJ,0,11:18
2024-12-17,R,0,0,0,0,0,0,0,0,1,22,STL,0,14:33
2024-12-14,H,0,0,0,0,0,0,0,0,3,20,CHI,0,13:20
2024-12-12,H,0,0,0,0,0,0,0,0,0,18,LAK,0,14:48
2024-12-10,H,0,0,0,0,0,0,0,0,1,19,TOR,0,14:29
2024-12-08,H,0,0,0,-1,0,0,0,0,0,16,COL,0,12:02
2024-12-06,H,0,0,0,0,0,0,0,0,1,17,SEA,0,14:31
2024-12-02,R,0,0,0,1,0,0,0,0,0,19,NYR,0,13:48
2024-11-30,H,0,0,0,-1,0,0,0,0,0,17,WSH,4,12:55
2024-11-29,R,0,0,0,-1,0,0,0,0,3,18,DET,0,12:45
2024-11-27,H,0,0,0,-1,0,0,0,0,2,18,STL,4,15:41
2024-11-25,H,0,0,0,1,0,0,0,0,2,21,NSH,0,12:35
2024-11-23,R,0,0,0,1,0,0,0,0,2,17,WSH,2,11:21
2024-11-21,H,0,0,0,0,0,0,0,0,1,11,CAR,2,9:28
2024-11-16,R,0,0,0,-3,0,0,0,0,0,22,TBL,0,15:26
2024-11-14,R,0,0,0,-1,0,0,0,0,1,17,FLA,2,13:53
2024-11-12,R,1,0,1,1,0,0,0,0,1,18,FLA,2,13:57
2024-11-10,H,0,0,0,0,0,0,0,0,1,15,SJS,0,12:03
2024-11-09,R,0,1,1,2,0,0,0,0,1,20,NYI,0,16:25
2024-11-07,H,0,1,1,0,0,0,0,0,1,20,MTL,0,14:42
2024-11-04,R,0,1,1,1,0,0,0,0,0,18,EDM,0,13:31
2024-11-01,R,0,0,0,0,0,0,0,0,0,23,CGY,0,13:37
2024-10-30,R,0,0,0,0,0,0,0,0,0,22,VAN,2,13:37
2024-10-27,H,1,0,1,0,0,0,0,0,2,19,ANA,2,15:54
2024-10-25,H,0,1,1,1,0,0,0,0,1,15,NYI,0,12:00
2024-10-24,R,0,0,0,-2,0,0,0,0,3,16,DET,0,11:38
2024-10-22,H,0,0,0,-3,0,0,0,0,1,18,TBL,2,13:33
2024-10-19,H,0,0,0,-2,0,0,0,0,0,17,WSH,0,12:25
2024-10-17,R,1,0,1,1,0,0,0,0,2,18,OTT,0,14:16
2024-10-15,R,0,0,0,-1,0,0,0,0,4,20,CAR,0,14:02
2024-10-14,H,0,0,0,1,0,0,0,0,1,16,UTA,2,14:03
2024-10-12,R,2,0,2,1,0,0,1,0,4,18,WSH,2,13:10
2024-10-10,H,0,0,0,-1,0,0,0,0,0,16,TOR,0,10:39
2024-10-05,H,1,0,1,1,0,0,1,0,2,20,BUF,0,16:42
2024-10-04,R,1,1,2,2,0,0,0,0,2,18,BUF,0,10:13
