gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2010-12-20,R,0,0,0,0,0,0,0,0,1,10,MIN,0,7:13
2010-11-26,R,0,0,0,0,0,0,0,0,0,13,PHI,0,8:33
2010-11-21,R,0,0,0,0,0,0,0,0,0,17,DET,0,9:02
2010-11-19,H,0,0,0,-1,0,0,0,0,0,19,CHI,0,11:12
2010-11-13,R,0,0,0,-1,0,0,0,0,0,13,SJS,2,7:38
2010-11-09,R,0,0,0,0,0,0,0,0,0,13,COL,0,6:00
2010-11-05,R,0,0,0,0,0,0,0,0,1,15,MIN,0,10:39
2010-11-03,H,0,0,0,0,0,0,0,0,2,17,DET,4,11:14
2010-10-30,H,0,0,0,0,0,0,0,0,1,20,WSH,0,11:37
2010-10-28,H,0,0,0,1,0,0,0,0,0,17,COL,0,8:34
2010-10-26,H,0,0,0,0,0,0,0,0,1,16,EDM,0,8:37
2010-10-24,H,1,0,1,1,0,0,0,0,3,16,SJS,0,10:49
2010-10-22,R,0,0,0,-1,0,0,0,0,0,20,CBJ,0,11:29
2010-10-21,R,0,0,0,0,0,0,0,0,1,17,DET,0,8:48
2010-10-19,R,0,0,0,0,0,0,0,0,0,17,NSH,0,10:47
2010-10-16,H,0,0,0,-1,0,0,0,0,0,14,EDM,0,7:39
2010-10-14,H,0,0,0,0,0,0,0,0,0,13,FLA,0,7:49
2010-10-10,H,1,0,1,1,0,0,1,0,1,18,LAK,2,9:46
