gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2016-04-09,H,0,0,0,0,0,0,0,0,3,20,CGY,0,12:14
2016-04-05,H,0,0,0,0,0,0,0,0,2,11,SJS,0,8:39
2016-03-31,H,0,0,0,0,0,0,0,0,1,12,OTT,0,7:26
2016-03-22,H,0,0,0,0,0,0,0,0,0,15,LAK,0,9:25
2016-03-20,R,0,0,0,0,0,0,0,0,1,13,CHI,0,7:10
2016-03-10,H,0,0,0,-1,0,0,0,0,0,11,EDM,0,9:04
2016-03-06,H,0,0,0,-2,0,0,0,0,2,18,STL,0,6:30
2016-03-03,R,0,0,0,-1,0,0,0,0,0,13,TOR,0,9:03
2016-03-01,H,0,0,0,-1,0,0,0,0,1,19,COL,0,12:10
2016-02-28,H,0,0,0,0,0,0,0,0,0,13,FLA,0,8:19
2016-02-26,R,0,0,0,0,0,0,0,0,1,14,WSH,0,9:57
2016-02-25,R,0,1,1,1,0,0,0,0,1,20,PHI,0,12:29
2016-02-23,H,1,0,1,0,0,0,0,0,2,14,NYI,0,8:16
2016-02-06,R,0,0,0,0,0,0,0,0,0,15,STL,0,10:00
2016-02-02,R,0,0,0,0,0,0,0,0,0,14,NYI,0,9:26
2016-01-25,H,0,0,0,0,0,0,0,0,1,12,ARI,0,10:48
2016-01-23,R,1,0,1,1,0,0,0,0,1,14,SJS,0,9:27
2016-01-21,R,0,0,0,0,0,0,0,0,1,16,LAK,0,12:23
2016-01-20,R,0,0,0,1,0,0,0,0,0,13,ANA,0,7:54
2016-01-16,R,0,0,0,0,0,0,0,0,0,11,NSH,0,9:18
2016-01-15,H,0,0,0,0,0,0,0,0,0,14,WPG,0,12:03
2016-01-12,H,0,0,0,0,0,0,0,0,1,16,BUF,0,11:25
2016-01-07,H,0,0,0,-1,0,0,0,0,1,14,PHI,0,8:49
2016-01-05,R,0,0,0,-1,0,0,0,0,1,14,CBJ,0,11:55
2016-01-03,R,0,0,0,-1,0,0,0,0,0,17,FLA,0,10:51
2016-01-02,R,0,0,0,0,0,0,0,0,1,15,TBL,0,11:14
2015-12-31,R,0,0,0,0,0,0,0,0,0,17,STL,0,12:45
2015-12-28,H,0,0,0,0,0,0,0,0,2,14,DET,0,11:41
2015-12-26,H,0,0,0,0,0,0,0,0,0,14,PIT,0,10:10
2015-12-21,H,0,0,0,-1,0,0,0,0,1,15,DAL,0,8:52
2015-12-19,R,0,0,0,0,0,0,0,0,2,14,NSH,0,10:43
2015-12-17,H,1,0,1,1,0,0,0,0,2,15,NYR,0,10:22
2015-12-15,H,0,0,0,-1,0,0,0,0,1,21,VAN,0,13:15
2015-12-12,R,0,0,0,0,0,0,0,0,0,13,SJS,0,9:47
2015-12-11,R,0,0,0,0,0,0,0,0,0,15,ARI,2,9:31
2015-12-07,R,0,0,0,0,0,0,0,0,0,16,COL,0,9:57
2015-12-05,H,0,0,0,0,0,0,0,0,3,13,COL,0,10:20
2015-12-03,H,0,0,0,0,0,0,0,0,1,15,TOR,0,10:10
2015-12-01,R,0,0,0,0,0,0,0,0,1,15,CHI,0,8:35
2015-11-28,H,0,0,0,1,0,0,0,0,1,15,DAL,0,10:08
2015-11-27,H,0,1,1,1,0,0,0,0,2,13,WPG,0,9:00
2015-11-25,H,0,0,0,0,0,0,0,0,1,12,VAN,0,9:11
2015-11-21,H,0,0,0,0,0,0,0,0,0,18,NSH,0,10:22
2015-11-19,R,0,0,0,0,0,0,0,0,0,13,BOS,0,9:08
2015-11-17,R,0,0,0,0,0,0,0,0,0,12,PIT,2,9:47
2015-11-14,R,0,0,0,-1,0,0,0,0,0,13,DAL,2,7:13
2015-11-12,R,0,0,0,0,0,0,0,0,0,14,CAR,0,12:01
2015-11-10,H,1,0,1,1,0,0,0,0,1,15,WPG,0,8:07
2015-11-07,H,0,0,0,0,0,0,0,0,0,11,TBL,0,7:34
2015-11-05,H,0,0,0,-1,0,0,0,0,1,12,NSH,0,6:20
2015-10-31,R,0,0,0,0,0,0,0,0,0,12,STL,0,9:36
2015-10-30,H,0,1,1,1,0,0,0,0,0,15,CHI,0,10:13
2015-10-27,H,0,0,0,-1,0,0,0,0,2,15,EDM,0,7:55
2015-10-25,R,0,0,0,0,0,0,0,0,0,12,WPG,0,8:48
2015-10-24,H,0,0,0,0,0,0,0,0,0,17,ANA,0,10:57
2015-10-22,H,0,0,0,0,0,0,0,0,2,13,CBJ,0,10:24
2015-10-18,R,0,0,0,0,0,0,0,0,1,12,ANA,0,7:40
2015-10-16,R,0,0,0,0,0,0,0,0,0,12,LAK,0,6:45
2015-10-15,R,0,0,0,0,0,0,0,0,0,13,ARI,0,10:45
2015-10-10,H,0,0,0,-1,0,0,0,0,0,8,STL,0,5:25
2015-10-08,R,0,0,0,0,0,0,0,0,0,10,COL,0,8:07
