gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2012-04-07,H,0,0,0,0,0,0,0,0,1,19,CAR,0,13:08
2012-04-05,R,0,0,0,0,0,0,0,0,0,14,WSH,0,10:39
2012-04-03,H,0,0,0,-1,0,0,0,0,3,18,WPG,0,14:06
2012-04-01,R,0,0,0,0,0,0,0,0,2,14,DET,0,10:34
2012-03-30,R,0,0,0,0,0,0,0,0,1,21,CBJ,0,15:00
2012-03-29,R,0,0,0,0,0,0,0,0,1,21,MIN,0,13:08
2012-03-27,R,1,0,1,1,0,0,0,0,3,22,MTL,0,19:15
2012-03-25,H,0,0,0,0,0,0,0,0,2,14,NYI,0,11:45
2012-03-23,H,0,0,0,0,0,0,0,0,0,15,EDM,0,12:26
2012-03-20,R,0,0,0,-1,0,0,0,0,1,16,PHI,0,11:38
2012-03-17,H,0,0,0,-1,0,0,0,0,2,22,BUF,0,16:16
2012-03-15,H,1,0,1,2,0,0,0,0,1,22,BOS,0,15:09
2012-03-13,H,0,2,2,0,0,0,0,0,1,23,TOR,0,19:44
2012-03-11,H,0,1,1,1,0,0,0,0,2,26,CAR,0,17:22
2012-03-09,R,0,1,1,0,0,0,0,0,2,23,PIT,0,17:56
2012-03-08,R,0,0,0,-2,0,0,0,0,0,19,PHI,0,14:26
2012-03-04,H,0,0,0,-1,0,0,0,0,0,18,OTT,0,14:38
2012-03-03,H,1,0,1,0,0,0,0,0,5,22,NSH,0,17:03
2012-03-01,R,0,0,0,-3,0,0,0,0,4,20,WPG,0,13:42
2012-02-28,R,0,1,1,1,0,0,0,0,2,18,TOR,0,14:31
2012-02-26,H,0,0,0,0,0,0,0,0,2,20,MTL,0,16:30
2012-02-25,R,1,0,1,1,0,0,0,0,4,19,CAR,0,15:43
2012-01-15,R,0,0,0,-3,0,0,0,0,1,11,MTL,0,6:20
2012-01-14,R,0,1,1,1,0,0,0,0,0,12,TOR,0,7:20
2012-01-12,H,0,0,0,0,0,0,0,0,3,20,OTT,0,14:50
2011-11-03,H,0,0,0,0,0,0,0,0,0,5,ANA,0,4:08
2011-10-31,H,0,0,0,0,0,0,0,0,7,21,SJS,0,15:46
2011-10-29,H,0,2,2,2,0,0,0,0,0,23,OTT,2,15:50
2011-10-27,H,0,0,0,-2,0,0,0,0,0,15,TOR,0,12:05
2011-10-24,R,0,0,0,0,0,0,0,0,0,20,WPG,0,15:07
2011-10-07,R,0,0,0,0,0,0,0,0,0,10,LAK,0,10:34
