gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-02-02,R,0,0,0,0,0,0,0,0,1,11,BUF,0,7:59
2025-01-29,H,0,0,0,0,0,0,0,0,0,16,PHI,2,11:08
2025-01-22,H,0,0,0,0,0,0,0,0,0,11,BOS,2,6:09
2025-01-16,R,0,0,0,0,0,0,0,0,0,9,TOR,0,4:58
2025-01-14,H,0,0,0,0,0,0,0,0,0,12,FLA,0,6:36
2025-01-09,R,0,0,0,0,0,0,0,0,1,8,NYR,2,3:45
2024-12-31,R,0,0,0,0,0,0,0,0,0,9,ANA,0,4:13
2024-12-14,H,0,0,0,0,0,0,0,0,0,6,CHI,0,5:21
2024-12-12,H,0,0,0,0,0,0,0,0,0,9,LAK,0,5:31
2024-11-30,H,0,0,0,1,0,0,0,0,0,6,WSH,0,2:46
2024-11-29,R,0,0,0,0,0,0,0,0,0,11,DET,0,4:30
2024-11-16,R,0,0,0,0,0,0,0,0,0,9,TBL,2,4:28
2024-11-14,R,0,0,0,0,0,0,0,0,0,11,FLA,5,5:57
2024-11-12,R,0,0,0,0,0,0,0,0,0,12,FLA,0,7:11
2024-11-10,H,0,0,0,0,0,0,0,0,1,8,SJS,0,5:45
2024-11-09,R,0,0,0,-2,0,0,0,0,1,8,NYI,0,4:36
2024-11-07,H,0,0,0,-1,0,0,0,0,1,11,MTL,0,6:24
2024-11-04,R,0,0,0,0,0,0,0,0,0,14,EDM,0,8:16
2024-10-27,H,0,0,0,0,0,0,0,0,1,13,ANA,5,9:12
2024-10-25,H,0,0,0,-1,0,0,0,0,0,8,NYI,5,2:24
2024-10-05,H,0,0,0,0,0,0,0,0,0,5,BUF,0,3:39
