gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2011-01-12,R,0,0,0,-1,0,0,0,0,2,14,CHI,0,10:25
2011-01-10,H,0,0,0,-1,0,0,0,0,0,9,DET,2,5:48
2011-01-06,H,0,0,0,0,0,0,0,0,3,14,PHX,0,7:30
2011-01-04,H,0,0,0,0,0,0,0,0,0,12,BUF,0,6:40
2011-01-02,H,0,0,0,0,0,0,0,0,1,6,VAN,0,4:24
2010-12-31,R,0,0,0,-2,0,0,0,0,1,8,CGY,0,6:29
2010-12-30,R,0,0,0,0,0,0,0,0,0,9,EDM,2,5:52
2010-12-27,H,0,0,0,0,0,0,0,0,1,11,DET,0,6:53
2010-12-23,H,0,0,0,0,0,0,0,0,4,17,MIN,0,10:15
2010-12-21,H,0,0,0,-1,0,0,0,0,0,18,LAK,2,15:09
2010-12-19,H,0,0,0,1,0,0,0,0,0,20,MTL,0,16:38
2010-12-17,H,0,0,0,1,0,0,0,0,3,22,OTT,0,17:18
2010-12-15,R,1,0,1,0,0,0,0,0,5,19,CHI,0,15:06
2010-12-13,H,0,1,1,1,0,0,0,0,2,18,CHI,0,12:52
2010-12-11,R,0,0,0,0,0,0,0,0,2,17,WSH,0,12:38
2010-12-10,R,1,0,1,1,0,0,0,0,1,11,ATL,0,8:47
2010-12-07,R,0,0,0,1,0,0,0,0,2,21,FLA,0,14:43
2010-12-04,R,0,0,0,0,0,0,0,0,3,16,TBL,0,9:52
2010-12-03,R,0,0,0,0,0,0,0,0,2,16,CAR,0,10:43
2010-11-30,H,0,0,0,0,0,0,0,0,0,15,ATL,0,12:19
2010-11-27,H,2,2,4,3,0,0,0,0,5,25,MIN,0,16:41
2010-11-25,R,0,0,0,0,0,0,0,0,2,11,EDM,0,8:29
2010-11-24,R,0,0,0,-1,0,0,0,0,0,9,VAN,0,5:14
2010-11-20,R,0,0,0,0,0,0,0,0,0,16,DAL,0,13:46
2010-11-19,H,0,1,1,1,0,0,0,0,2,22,NYR,2,16:49
2010-11-17,H,0,0,0,0,0,0,0,0,0,13,SJS,0,8:03
2010-11-15,H,0,1,1,1,0,0,0,0,2,17,STL,0,8:32
2010-11-13,R,0,0,0,0,0,0,0,0,1,12,DET,0,8:49
2010-11-12,R,1,0,1,1,0,0,1,0,2,14,CBJ,0,9:06
