gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2023-04-13,R,0,0,0,0,0,0,0,0,0,16,DAL,2,12:40
2023-04-12,H,0,0,0,0,0,0,0,0,1,19,DAL,4,14:36
2023-04-08,R,1,0,1,0,0,0,0,0,1,18,MIN,0,14:35
2023-04-06,H,0,0,0,0,0,0,0,0,1,18,NYR,0,14:47
2023-04-04,H,0,1,1,1,0,0,0,0,1,15,PHI,0,14:37
2023-04-02,H,0,0,0,0,0,0,0,0,2,18,BOS,2,14:52
2023-04-01,R,0,0,0,-2,0,0,0,0,2,20,NSH,4,17:21
2023-03-30,R,0,1,1,1,0,0,0,0,0,18,CHI,0,16:09
2023-03-28,H,0,2,2,2,0,0,0,0,0,19,VAN,0,15:32
2023-03-26,R,0,2,2,1,0,0,0,0,0,22,LAK,0,16:09
2023-03-25,R,1,1,2,0,0,0,0,0,4,19,ANA,4,13:43
2023-03-23,R,1,0,1,0,0,0,0,0,1,18,DET,0,15:22
2023-03-21,H,0,1,1,0,0,0,0,0,0,17,DET,0,16:04
2023-03-19,H,0,0,0,0,0,0,0,0,0,19,WPG,0,16:46
2023-03-17,R,2,0,2,2,0,0,0,0,4,16,WSH,0,13:29
2023-03-15,H,0,0,0,-1,0,0,0,0,2,20,MIN,0,15:07
2023-03-12,H,0,0,0,0,0,0,0,0,1,18,VGK,0,15:43
2023-03-11,R,1,2,3,2,0,0,1,0,1,19,CBJ,0,14:50
2023-03-09,H,1,0,1,1,0,0,0,0,1,19,SJS,2,14:01
2023-03-07,R,0,0,0,-1,0,0,0,0,0,17,ARI,0,12:48
2023-03-04,R,0,0,0,-1,0,0,0,0,2,14,LAK,0,11:49
2023-03-02,R,0,0,0,0,0,0,0,0,0,20,SJS,2,15:26
2023-02-28,H,0,0,0,0,0,0,0,0,2,17,SEA,0,13:46
2023-02-25,H,0,1,1,0,0,0,0,0,2,22,PIT,0,15:09
2023-02-23,H,0,0,0,-1,0,0,0,0,0,12,VAN,0,10:45
2023-02-21,R,0,0,0,0,0,0,0,0,1,22,CAR,0,17:16
2023-02-19,R,0,0,0,-1,0,0,0,0,2,18,OTT,0,15:49
2023-02-18,H,1,0,1,0,0,0,0,0,2,20,COL,0,16:49
2023-02-16,H,0,0,0,-1,0,0,0,0,2,16,NJD,0,11:30
2023-02-14,H,0,0,0,1,0,0,0,0,1,15,FLA,0,13:18
2023-02-11,H,1,0,1,0,0,0,0,0,3,19,ARI,2,11:33
2023-02-08,H,0,0,0,-1,0,0,0,0,1,9,VAN,0,8:07
2023-02-06,H,0,0,0,0,0,0,0,0,0,12,CGY,0,8:47
2023-01-16,R,0,0,0,0,0,0,0,0,1,11,CBJ,0,10:11
2023-01-15,H,0,0,0,0,0,0,0,0,0,10,MTL,0,7:51
2023-01-12,H,0,0,0,0,0,0,0,0,1,12,DAL,0,8:35
2023-01-07,R,0,0,0,0,0,0,0,0,0,11,NJD,0,7:38
2023-01-05,R,0,0,0,-1,0,0,0,0,1,13,MTL,0,10:23
2023-01-03,H,0,0,0,0,0,0,0,0,0,7,CAR,0,6:11
2023-01-01,R,0,0,0,-1,0,0,0,0,0,14,FLA,2,10:29
2022-12-29,R,0,0,0,0,0,0,0,0,1,15,TBL,0,10:02
2022-12-20,R,0,0,0,0,0,0,0,0,0,7,PIT,2,5:27
2022-12-18,R,0,0,0,1,0,0,0,0,1,18,CHI,0,13:31
2022-12-17,R,0,0,0,0,0,0,0,0,4,12,PHI,0,10:05
2022-12-12,H,0,0,0,0,0,0,0,0,0,12,NJD,0,8:13
2022-12-09,R,0,0,0,0,0,0,0,0,0,13,COL,0,9:58
2022-12-07,R,0,0,0,0,0,0,0,0,2,16,VGK,0,12:18
2022-12-05,H,0,0,0,1,0,0,0,0,0,15,STL,0,9:52
2022-12-03,H,0,0,0,-1,0,0,0,0,0,12,CHI,0,8:30
2022-12-02,H,0,0,0,0,0,0,0,0,0,13,OTT,0,11:01
2022-11-30,R,0,1,1,0,0,0,0,0,1,13,OTT,0,8:58
2022-11-28,H,0,0,0,-1,0,0,0,0,0,9,NJD,0,6:30
2022-11-26,H,0,1,1,1,0,0,0,0,0,11,EDM,0,7:33
2022-11-23,R,0,0,0,0,0,0,0,0,0,10,ANA,0,6:53
2022-11-22,R,0,0,0,0,0,0,0,0,2,14,LAK,0,10:29
2022-11-19,R,0,0,0,1,0,0,0,0,1,13,SJS,0,9:56
2022-11-17,R,0,0,0,-1,0,0,0,0,2,11,SEA,0,9:12
2022-11-13,H,0,0,0,1,0,0,0,0,1,10,ARI,0,8:54
2022-11-12,R,0,0,0,0,0,0,0,0,1,10,NSH,0,8:10
2022-11-10,R,0,1,1,1,0,0,0,0,1,13,DET,0,11:46
