gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2010-04-07,R,0,0,0,-1,0,0,0,0,2,16,NYR,0,13:33
2010-04-06,H,0,0,0,0,0,0,0,0,2,16,PHI,0,11:29
2010-04-03,H,0,0,0,1,0,0,0,0,1,17,BOS,0,15:08
2010-04-01,H,0,0,0,2,0,0,0,0,1,16,BUF,0,10:25
2010-03-30,H,0,0,0,-1,0,0,0,0,2,13,ATL,0,10:18
2010-03-28,R,0,2,2,1,0,0,0,0,1,19,PIT,0,16:07
2010-03-27,H,0,0,0,0,0,0,0,0,2,15,NYR,0,11:17
2010-03-25,R,0,0,0,0,0,0,0,0,1,17,ATL,0,13:55
2010-03-23,H,0,0,0,0,0,0,0,0,0,14,FLA,0,8:37
2010-03-20,H,0,0,0,0,0,0,0,0,3,20,MTL,0,13:22
2010-03-18,H,0,0,0,0,0,0,0,0,1,16,NJD,0,11:51
2010-03-16,R,1,0,1,1,0,0,0,0,1,14,OTT,0,10:43
2010-03-14,R,0,0,0,-1,0,0,0,0,0,12,NYI,0,7:40
2010-03-13,H,0,0,0,0,0,0,0,0,4,15,EDM,2,12:06
2010-03-11,H,0,0,0,0,0,0,0,0,0,19,TBL,0,14:02
2010-03-09,H,0,0,0,1,0,0,0,0,1,14,BOS,0,12:22
2010-03-07,R,0,0,0,0,0,0,0,0,2,19,PHI,0,14:43
2010-03-06,R,0,0,0,0,0,0,0,0,2,21,OTT,0,16:21
2010-03-04,R,0,0,0,-1,0,0,0,0,0,22,BOS,0,16:17
2010-03-02,H,0,0,0,-1,0,0,0,0,1,18,CAR,0,15:45
2010-02-12,R,0,0,0,-1,0,0,0,0,1,18,STL,0,13:38
2010-02-08,H,0,0,0,-1,0,0,0,0,1,22,SJS,0,16:46
2010-02-06,H,0,1,1,1,0,0,0,0,1,25,OTT,0,17:25
2010-02-05,R,1,0,1,-1,0,0,0,0,1,26,NJD,0,18:30
2010-02-02,H,0,1,1,1,0,0,0,0,2,22,NJD,0,18:01
2010-01-19,R,0,0,0,0,0,0,0,0,3,25,ATL,0,17:24
2010-01-09,H,0,0,0,-1,0,0,0,0,2,16,PIT,0,12:55
2010-01-08,R,0,0,0,0,0,0,0,0,4,18,BUF,4,14:28
2010-01-06,R,0,0,0,0,0,0,0,0,2,24,PHI,2,17:25
2010-01-05,H,0,0,0,0,0,0,0,0,1,21,FLA,0,15:00
2009-12-30,R,0,0,0,0,0,0,0,0,0,12,EDM,0,8:37
2009-12-27,R,0,0,0,0,0,0,0,0,2,14,PIT,0,10:10
2009-12-26,H,0,1,1,1,0,0,0,0,5,13,MTL,0,8:40
2009-12-23,R,0,0,0,-1,0,0,0,0,1,12,NYI,0,9:21
2009-12-16,H,0,0,0,1,0,0,0,0,1,14,PHX,0,12:03
2009-12-14,H,0,0,0,0,0,0,0,0,0,9,OTT,0,6:23
2009-12-12,H,0,0,0,0,0,0,0,0,1,9,WSH,0,6:39
2009-12-10,R,0,0,0,-2,0,0,0,0,0,16,BOS,0,10:24
2009-12-09,H,0,0,0,0,0,0,0,0,0,10,NYI,0,8:16
2009-12-07,H,0,0,0,0,0,0,0,0,1,14,ATL,0,11:11
2009-11-19,R,0,0,0,0,0,0,0,0,0,12,CAR,4,8:51
2009-11-17,R,0,0,0,-1,0,0,0,0,0,17,OTT,0,12:06
2009-11-14,H,0,0,0,0,0,0,0,0,1,13,CGY,2,7:07
2009-11-13,R,0,0,0,0,0,0,0,0,1,11,CHI,0,8:34
2009-11-10,H,0,0,0,-1,0,0,0,0,2,15,MIN,2,11:27
2009-11-07,H,0,0,0,-1,0,0,0,0,1,20,DET,0,12:40
2009-11-06,R,0,0,0,-1,0,0,0,0,0,15,CAR,0,11:24
2009-11-03,H,0,0,0,0,0,0,0,0,1,14,TBL,0,8:47
2009-10-31,R,0,0,0,0,0,0,0,0,2,16,MTL,0,9:22
2009-10-30,R,0,0,0,0,0,0,0,0,1,14,BUF,2,9:38
2009-10-28,R,0,0,0,0,0,0,0,0,0,14,DAL,0,10:06
2009-10-26,R,0,0,0,0,0,0,0,0,1,14,ANA,0,10:55
2009-10-24,R,0,0,0,0,0,0,0,0,0,21,VAN,2,13:49
2009-10-17,H,0,0,0,-1,0,0,0,0,1,19,NYR,0,15:33
2009-10-13,H,0,0,0,0,0,0,0,0,0,21,COL,0,17:45
2009-10-12,R,0,0,0,0,0,0,0,0,1,21,NYR,0,15:36
2009-10-10,H,0,2,2,2,0,0,0,0,2,19,PIT,0,15:57
2009-10-06,H,0,0,0,-1,0,0,0,0,1,20,OTT,0,15:46
2009-10-03,R,0,0,0,-1,0,0,0,0,0,23,WSH,0,16:36
2009-10-01,H,0,0,0,0,0,0,0,0,1,22,MTL,0,17:38
