,gameId,homeRoadFlag,gameDate
0,2024021053,R,2025-03-14
1,2024021035,R,2025-03-11
2,2024020993,H,2025-03-06
3,2024020973,R,2025-03-04
4,2024020949,R,2025-03-01
5,2024020941,H,2025-02-27
6,2024020927,H,2025-02-25
7,2024020898,H,2025-02-22
8,2024020873,R,2025-02-07
9,2024020844,H,2025-02-03
10,2024020830,R,2025-02-01
11,2024020810,H,2025-01-29
12,2024020787,R,2025-01-25
13,2024020752,H,2025-01-21
14,2024020733,H,2025-01-18
15,2024020714,H,2025-01-16
16,2024020679,H,2025-01-11
17,2024020647,R,2025-01-07
18,2024020619,R,2025-01-03
19,2024020587,R,2024-12-30
20,2024020562,R,2024-12-27
21,2024020553,H,2024-12-23
22,2024020515,H,2024-12-19
23,2024020502,H,2024-12-17
24,2024020484,R,2024-12-14
25,2024020451,H,2024-12-10
26,2024020431,R,2024-12-07
27,2024020406,R,2024-12-04
28,2024020384,R,2024-11-30
29,2024020369,H,2024-11-29
30,2024020356,H,2024-11-27
31,2024020336,R,2024-11-25
32,2024020329,H,2024-11-23
33,2024020304,R,2024-11-20
34,2024020285,R,2024-11-17
35,2024020269,R,2024-11-15
36,2024020243,R,2024-11-11
37,2024020232,H,2024-11-09
38,2024020205,R,2024-11-06
39,2024020192,H,2024-11-04
40,2024020182,H,2024-11-02
41,2024020166,H,2024-10-31
42,2024020141,R,2024-10-28
43,2024020120,R,2024-10-25
44,2024020101,H,2024-10-22
45,2024020076,H,2024-10-19
46,2024020069,H,2024-10-17
47,2024020053,H,2024-10-15
48,2024020028,R,2024-10-12
