,gameId,homeRoadFlag,gameDate
0,2024021027,R,2025-03-11
1,2024020901,H,2025-02-22
2,2024020862,R,2025-02-06
3,2024020844,R,2025-02-03
4,2024020814,H,2025-01-30
5,2024020780,H,2025-01-25
6,2024020761,R,2025-01-23
7,2024020750,R,2025-01-21
8,2024020737,R,2025-01-19
9,2024020654,H,2025-01-09
10,2024020642,R,2025-01-07
11,2024020617,R,2025-01-03
12,2024020438,H,2024-12-08
13,2024020382,R,2024-11-30
14,2024020340,H,2024-11-25
15,2024020280,R,2024-11-16
16,2024020209,H,2024-11-07
17,2024020178,H,2024-11-02
18,2024020139,R,2024-10-27
19,2024020104,R,2024-10-22
20,2024020075,H,2024-10-19
21,2024020062,H,2024-10-17
22,2024020043,H,2024-10-14
