,gameId,homeRoadFlag,gameDate
0,2024021063,R,2025-03-15
1,2024021044,R,2025-03-13
2,2024021010,R,2025-03-08
3,2024020964,R,2025-03-02
4,2024020939,R,2025-02-27
5,2024020903,H,2025-02-22
6,2024020866,H,2025-02-06
7,2024020824,R,2025-01-31
8,2024020796,H,2025-01-27
9,2024020765,H,2025-01-23
10,2024020713,H,2025-01-16
11,2024020661,H,2025-01-09
12,2024020625,R,2025-01-04
13,2024020562,H,2024-12-27
14,2024020523,R,2024-12-20
15,2024020512,R,2024-12-19
16,2024020492,H,2024-12-15
17,2024020455,R,2024-12-10
18,2024020403,R,2024-12-03
19,2024020337,R,2024-11-25
20,2024020284,R,2024-11-17
21,2024020215,H,2024-11-07
22,2024020150,R,2024-10-29
23,2024020084,H,2024-10-19
24,2024020068,H,2024-10-17
25,2024020019,R,2024-10-10
