,gameId,homeRoadFlag,gameDate
0,2021021231,H,2022-04-20
1,2021021219,H,2022-04-18
2,2021021175,R,2022-04-12
3,2021021153,H,2022-04-09
4,2021021126,H,2022-04-06
5,2021021106,R,2022-04-03
6,2021020905,R,2022-03-08
7,2021020896,H,2022-03-06
8,2021020872,H,2022-03-03
9,2021020858,H,2022-03-01
10,2021020676,R,2022-02-09
11,2021020806,H,2022-02-01
12,2021020775,R,2022-01-29
13,2021020760,R,2022-01-27
14,2021020740,R,2022-01-24
15,2021020710,H,2022-01-20
16,2021020688,H,2022-01-17
17,2021020643,H,2022-01-11
18,2021020626,H,2022-01-08
19,2021020608,H,2022-01-06
20,2021020483,R,2021-12-19
21,2021020457,R,2021-12-16
22,2021020437,R,2021-12-14
23,2021020435,H,2021-12-12
24,2021020401,H,2021-12-08
25,2021020382,H,2021-12-05
26,2021020351,R,2021-12-01
27,2021020324,H,2021-11-27
28,2021020298,R,2021-11-24
29,2021020282,R,2021-11-22
30,2021020257,H,2021-11-18
31,2021020242,H,2021-11-16
32,2021020222,H,2021-11-13
33,2021020191,H,2021-11-09
34,2021020164,R,2021-11-06
35,2021020151,R,2021-11-04
36,2021020135,R,2021-11-02
37,2021020116,H,2021-10-29
38,2021020093,R,2021-10-26
39,2021020082,H,2021-10-24
40,2021020065,H,2021-10-22
41,2021020051,H,2021-10-20
42,2021020016,R,2021-10-14
43,2021020002,H,2021-10-12
