,gameId,homeRoadFlag,gameDate
0,2024021054,H,2025-03-14
1,2024021004,R,2025-03-08
2,2024020806,H,2025-01-28
3,2024020684,R,2025-01-12
4,2024020660,R,2025-01-09
5,2024020640,H,2025-01-06
6,2024020631,H,2025-01-04
7,2024020613,H,2025-01-02
8,2024020588,H,2024-12-30
9,2024020567,R,2024-12-28
10,2024020538,R,2024-12-21
11,2024020488,H,2024-12-14
12,2024020472,H,2024-12-12
13,2024020436,R,2024-12-08
14,2024020420,R,2024-12-06
15,2024020371,R,2024-11-29
16,2024020287,H,2024-11-17
17,2024020202,R,2024-11-05
18,2024020178,R,2024-11-02
19,2024020106,H,2024-10-22
20,2024020071,H,2024-10-17
21,2024020039,R,2024-10-13
22,2024020003,H,2024-10-08
