,gameId,homeRoadFlag,gameDate
0,2024021042,H,2025-03-13
1,2024021013,R,2025-03-09
2,2024020931,R,2025-02-26
3,2024020897,H,2025-02-22
4,2024020876,R,2025-02-08
5,2024020863,H,2025-02-06
6,2024020835,R,2025-02-02
7,2024020809,H,2025-01-29
8,2024020795,R,2025-01-27
9,2024020779,R,2025-01-25
10,2024020758,H,2025-01-22
11,2024020722,H,2025-01-18
12,2024020602,R,2025-01-01
13,2024020573,R,2024-12-28
14,2024020514,R,2024-12-19
15,2024020440,H,2024-12-08
16,2024020379,H,2024-11-30
17,2024020327,R,2024-11-23
18,2024020260,R,2024-11-14
19,2024020236,H,2024-11-10
20,2024020193,R,2024-11-04
21,2024020119,H,2024-10-25
22,2024020094,H,2024-10-22
23,2024020044,H,2024-10-14
24,2024020002,H,2024-10-05
