,gameId,homeRoadFlag,gameDate
0,2024021037,R,2025-03-12
1,2024021032,H,2025-03-11
2,2024021019,H,2025-03-09
3,2024021000,H,2025-03-07
4,2024020986,H,2025-03-05
5,2024020960,R,2025-03-01
6,2024020932,R,2025-02-26
7,2024020905,R,2025-02-22
8,2024020884,H,2025-02-08
9,2024020842,H,2025-02-02
10,2024020796,R,2025-01-27
11,2024020786,H,2025-01-25
12,2024020702,R,2025-01-14
13,2024020672,R,2025-01-11
14,2024020650,R,2025-01-08
15,2024020638,R,2025-01-06
16,2024020619,H,2025-01-03
17,2024020613,R,2025-01-02
18,2024020600,R,2024-12-31
19,2024020537,H,2024-12-21
20,2024020519,R,2024-12-19
21,2024020471,H,2024-12-12
22,2024020437,H,2024-12-08
23,2024020422,H,2024-12-06
24,2024020402,R,2024-12-03
25,2024020388,R,2024-12-01
26,2024020364,R,2024-11-29
27,2024020345,R,2024-11-26
28,2024020323,R,2024-11-23
29,2024020285,H,2024-11-17
30,2024020265,H,2024-11-14
31,2024020250,H,2024-11-12
32,2024020235,H,2024-11-09
33,2024020218,R,2024-11-07
34,2024020203,R,2024-11-05
35,2024020184,R,2024-11-02
36,2024020146,H,2024-10-28
37,2024020133,H,2024-10-26
38,2024020100,R,2024-10-22
39,2024020082,R,2024-10-19
40,2024020065,R,2024-10-17
41,2024020022,H,2024-10-11
