,gameId,homeRoadFlag,gameDate
0,2024021061,R,2025-03-15
1,2024021029,H,2025-03-11
2,2024020992,H,2025-03-06
3,2024020963,H,2025-03-02
4,2024020940,H,2025-02-27
5,2024020900,R,2025-02-22
6,2024020878,H,2025-02-08
7,2024020852,R,2025-02-04
8,2024020817,H,2025-01-30
9,2024020785,R,2025-01-25
10,2024020753,R,2025-01-21
11,2024020721,H,2025-01-17
12,2024020687,H,2025-01-12
13,2024020659,H,2025-01-09
14,2024020029,R,2025-01-07
15,2024020624,H,2025-01-04
16,2024020603,R,2025-01-02
17,2024020594,R,2024-12-31
18,2024020560,R,2024-12-27
19,2024020539,R,2024-12-22
20,2024020524,R,2024-12-20
21,2024020500,H,2024-12-17
22,2024020473,H,2024-12-13
23,2024020448,H,2024-12-10
24,2024020428,R,2024-12-07
25,2024020415,H,2024-12-05
26,2024020401,H,2024-12-03
27,2024020328,R,2024-11-23
28,2024020302,R,2024-11-20
29,2024020284,H,2024-11-17
30,2024020254,R,2024-11-13
31,2024020244,R,2024-11-11
32,2024020214,H,2024-11-07
33,2024020197,H,2024-11-05
34,2024020188,H,2024-11-03
35,2024020165,H,2024-10-31
36,2024020146,R,2024-10-28
37,2024020114,R,2024-10-24
38,2024020084,R,2024-10-19
39,2024020050,H,2024-10-15
