,gameId,homeRoadFlag,gameDate
0,2024021058,H,2025-03-15
1,2024021041,R,2025-03-13
2,2024021025,H,2025-03-11
3,2024021005,R,2025-03-08
4,2024020973,H,2025-03-04
5,2024020962,R,2025-03-02
6,2024020933,H,2025-02-27
7,2024020918,H,2025-02-25
8,2024020899,H,2025-02-22
9,2024020879,H,2025-02-08
10,2024020845,H,2025-02-04
11,2024020827,H,2025-02-01
12,2024020799,R,2025-01-28
13,2024020776,H,2025-01-25
14,2024020758,R,2025-01-22
15,2024020723,R,2025-01-18
16,2024020692,H,2025-01-14
17,2024020669,R,2025-01-11
18,2024020655,R,2025-01-09
19,2024020641,H,2025-01-07
20,2024020623,R,2025-01-04
21,2024020604,R,2025-01-02
22,2024020589,R,2024-12-31
23,2024020570,H,2024-12-28
24,2024020547,H,2024-12-23
25,2024020518,R,2024-12-19
26,2024020504,R,2024-12-17
27,2024020486,R,2024-12-14
28,2024020452,R,2024-12-10
29,2024020425,H,2024-12-07
30,2024020407,R,2024-12-04
31,2024020389,H,2024-12-01
32,2024020372,H,2024-11-29
33,2024020345,H,2024-11-26
34,2024020324,R,2024-11-23
35,2024020288,H,2024-11-18
36,2024020262,R,2024-11-14
37,2024020248,R,2024-11-12
38,2024020226,H,2024-11-09
39,2024020195,R,2024-11-05
40,2024020187,H,2024-11-03
41,2024020165,R,2024-10-31
42,2024020125,H,2024-10-26
43,2024020109,H,2024-10-24
44,2024020101,R,2024-10-22
45,2024020086,R,2024-10-19
46,2024020042,H,2024-10-14
47,2024020024,H,2024-10-12
48,2024020011,H,2024-10-10
