,gameId,homeRoadFlag,gameDate
0,2024020988,H,2025-03-06
1,2024020975,H,2025-03-04
2,2024020908,H,2025-02-23
3,2024020877,H,2025-02-08
4,2024020842,R,2025-02-02
5,2024020819,R,2025-01-30
6,2024020751,R,2025-01-21
7,2024020739,R,2025-01-19
8,2024020727,R,2025-01-18
9,2024020642,H,2025-01-07
10,2024020621,R,2025-01-04
11,2024020593,H,2024-12-31
12,2024020579,H,2024-12-29
13,2024020559,H,2024-12-27
14,2024020533,R,2024-12-21
15,2024020507,H,2024-12-18
16,2024020341,R,2024-11-25
17,2024020308,H,2024-11-21
18,2024020271,R,2024-11-15
19,2024020156,H,2024-10-30
20,2024020122,R,2024-10-26
21,2024020098,R,2024-10-22
22,2024020076,R,2024-10-19
23,2024020063,H,2024-10-17
24,2024020045,R,2024-10-14
