,gameId,homeRoadFlag,gameDate
0,2024021006,H,2025-03-08
1,2024020954,R,2025-03-01
2,2024020916,R,2025-02-24
3,2024020889,H,2025-02-08
4,2024020870,H,2025-02-06
5,2024020487,H,2024-12-14
6,2024020448,R,2024-12-10
7,2024020413,R,2024-12-05
8,2024020371,H,2024-11-29
9,2024020279,R,2024-11-16
10,2024020240,R,2024-11-11
11,2024020219,H,2024-11-07
12,2024020204,H,2024-11-05
13,2024020154,H,2024-10-29
14,2024020134,R,2024-10-26
15,2024020089,H,2024-10-20
16,2024020073,R,2024-10-18
17,2024020070,R,2024-10-17
18,2024020037,H,2024-10-12
