,gameId,homeRoadFlag,gameDate
0,2024021062,R,2025-03-15
1,2024021046,R,2025-03-13
2,2024021031,R,2025-03-11
3,2024021003,R,2025-03-08
4,2024020983,H,2025-03-05
5,2024020970,H,2025-03-03
6,2024020945,H,2025-02-28
7,2024020925,R,2025-02-25
8,2024020907,R,2025-02-23
9,2024020895,R,2025-02-22
10,2024020871,H,2025-02-07
11,2024020859,H,2025-02-05
12,2024020827,R,2025-02-01
13,2024020802,H,2025-01-28
14,2024020789,H,2025-01-26
15,2024020763,H,2025-01-23
16,2024020750,H,2025-01-21
17,2024020728,H,2025-01-18
18,2024020717,R,2025-01-16
19,2024020703,R,2025-01-14
20,2024020682,R,2025-01-11
21,2024020656,H,2025-01-09
22,2024020586,R,2024-12-30
23,2024020572,R,2024-12-28
24,2024020539,H,2024-12-22
25,2024020525,R,2024-12-20
26,2024020502,R,2024-12-17
27,2024020475,H,2024-12-14
28,2024020457,R,2024-12-11
29,2024020444,H,2024-12-09
30,2024020421,H,2024-12-06
31,2024020393,H,2024-12-02
32,2024020362,R,2024-11-29
33,2024020349,R,2024-11-27
34,2024020337,H,2024-11-25
35,2024020314,R,2024-11-21
36,2024020300,R,2024-11-19
37,2024020261,H,2024-11-14
38,2024020247,H,2024-11-12
39,2024020213,H,2024-11-07
40,2024020185,H,2024-11-03
41,2024020170,H,2024-11-01
42,2024020151,R,2024-10-29
43,2024020113,H,2024-10-24
44,2024020096,R,2024-10-22
45,2024020079,R,2024-10-19
46,2024020045,H,2024-10-14
47,2024020030,H,2024-10-12
48,2024020007,R,2024-10-09
