,name,player_id
0,Aaron Dell,8477180.0
1,Adam Huska,8478903.0
2,Adam Werner,8479530.0
3,Adam Wilcox,8476330.0
4,Adin Hill,8478499.0
5,Akira Schmid,8481033.0
6,Al Montoya,8471219.0
7,Aleksei Kolosov,8482783.0
8,Ales Stezka,8478848.0
9,Alex Auld,8467913.0
10,Alex Lyon,8479312.0
11,Alex Nedeljkovic,8477968.0
12,Alex Stalock,8471774.0
13,Alexandar Georgiev,8480382.0
14,Alexander Pechurskiy,8474708.0
15,Alexander Salak,8475130.0
16,Alexei Melnichuk,8482246.0
17,Allen York,8474057.0
18,Anders Lindback,8474765.0
19,Anders Nilsson,8475195.0
20,Andrei Vasilevskiy,8476883.0
21,Andrew Hammond,8477202.0
22,Andrew Raycroft,8467453.0
23,Andrey Makarov,8477092.0
24,Antero Niittymaki,8467511.0
25,Anthony Stolarz,8476932.0
26,Antoine Bibeau,8477312.0
27,Anton Forsberg,8476341.0
28,Anton Khudobin,8471418.0
29,Antti Niemi,8474550.0
30,Antti Raanta,8477293.0
31,Arturs Silovs,8481668.0
32,Artyom Zagidulin,8481501.0
33,Arvid Soderblom,8482821.0
34,Ben Bishop,8471750.0
35,Ben Scrivens,8475681.0
36,Brad Thiessen,8475097.0
37,Braden Holtby,8474651.0
38,Brandon Halverson,8477990.0
39,Brent Johnson,8462161.0
40,Brent Krahn,8468489.0
41,Brian Boucher,8462052.0
42,Brian Elliott,8470880.0
43,Brian Foster,8471822.0
44,Cal Petersen,8477361.0
45,Calvin Heeter,8476763.0
46,Calvin Petersen,8477361.0
47,Calvin Pickard,8475717.0
48,Cam Talbot,8475660.0
49,Cam Ward,8470320.0
50,Carey Price,8471679.0
51,Carter Hart,8479394.0
52,Carter Hutton,8475622.0
53,Casey DeSmith,8479193.0
54,Cayden Primeau,8480051.0
55,Cedrick Desjardins,8473638.0
56,Chad Johnson,8473434.0
57,Charlie Lindgren,8479292.0
58,Chris Driedger,8476904.0
59,Chris Holt,8470772.0
60,Chris Mason,8462152.0
61,Chris Osgood,8458568.0
62,Christopher Gibson,8476444.0
63,Collin Delia,8480420.0
64,Connor Hellebuyck,8476945.0
65,Connor Ingram,8478971.0
66,Connor Knapp,8475303.0
67,Corey Crawford,8470645.0
68,Cory Schneider,8471239.0
69,Craig Anderson,8467950.0
70,Cristobal Huet,8469658.0
71,Cristopher Nilstorp,8476846.0
72,Curtis Joseph,8448382.0
73,Curtis McElhinney,8470147.0
74,Curtis Sanford,8468166.0
75,Dan Ellis,8468540.0
76,Dan Vladar,8478435.0
77,Daniel Lacosta,8471305.0
78,Daniel Taylor,8471433.0
79,Daniil Tarasov,8480193.0
80,Dany Sabourin,8467430.0
81,Darcy Kuemper,8475311.0
82,David Leneveu,8470263.0
83,David Rittich,8479496.0
84,Dennis Hildeby,8483710.0
85,Devan Dubnyk,8471227.0
86,Devin Cooley,8482445.0
87,Devon Levi,8482221.0
88,Drew Commesso,8482123.0
89,Drew MacIntyre,8469569.0
90,Dustin Tokarski,8474682.0
91,Dustin Wolf,8481692.0
92,Dwayne Roloson,8460806.0
93,Dylan Ferguson,8480263.0
94,Dylan Wells,8479380.0
95,Eddie Lack,8475663.0
96,Edward Pasquale,8475277.0
97,Eetu Makiniemi,8480199.0
98,Elvis Merzlikins,8478007.0
99,Eric Comrie,8477480.0
100,Erik Ersberg,8473975.0
101,Erik Kallgren,8478902.0
102,Erik Portillo,8481707.0
103,Evgeni Nabokov,8460705.0
104,Felix Sandstrom,8478433.0
105,Filip Gustavsson,8479406.0
106,Frederik Andersen,8475883.0
107,Fredrik Norrena,8470090.0
108,Garret Sparks,8476343.0
109,Georgi Romanov,8484312.0
110,Gilles Senn,8480213.0
111,Harri Sateri,8474667.0
112,Henrik Karlsson,8475431.0
113,Henrik Lundqvist,8468685.0
114,Hugo Alnefelt,8481597.0
115,Hunter Miska,8480112.0
116,Hunter Shepard,8482411.0
117,Igor Shesterkin,8478048.0
118,Iiro Tarkki,8476243.0
119,Ilya Bryzgalov,8468524.0
120,Ilya Samsonov,8478492.0
121,Ilya Sorokin,8478009.0
122,Ivan Fedotov,8478905.0
123,Ivan Prosvetov,8481031.0
124,J-F Berube,8475234.0
125,J.F. Berube,8475234.0
126,Jack Campbell,8475789.0
127,Jack LaFontaine,8479581.0
128,Jacob Markstrom,8474593.0
129,Jake Allen,8474596.0
130,Jake Oettinger,8479979.0
131,Jakub Dobes,8482487.0
132,Jakub Skarek,8480819.0
133,James Reimer,8473503.0
134,Jared Coreau,8477225.0
135,Jaroslav Halak,8470860.0
136,Jason Kasdorf,8476309.0
137,Jason LaBarbera,8467391.0
