,gameId,homeRoadFlag,gameDate
0,2024021052,R,2025-03-14
1,2024021023,H,2025-03-10
2,2024020980,H,2025-03-04
3,2024020898,R,2025-02-22
4,2024020776,R,2025-01-25
5,2024020724,H,2025-01-18
6,2024020610,H,2025-01-02
7,2024020527,R,2024-12-20
8,2024020469,H,2024-12-12
9,2024020447,R,2024-12-10
10,2024020440,R,2024-12-08
11,2024020415,R,2024-12-05
12,2024020397,R,2024-12-03
13,2024020336,R,2024-11-25
14,2024020264,R,2024-11-14
15,2024020211,R,2024-11-07
16,2024020131,H,2024-10-26
17,2024020017,H,2024-10-10
