,gameId,homeRoadFlag,gameDate
0,2021021278,R,2022-04-26
1,2021021246,H,2022-04-22
2,2021021229,H,2022-04-20
3,2021021195,H,2022-04-16
4,2021021172,R,2022-04-14
5,2021021135,R,2022-04-07
6,2021021122,R,2022-04-05
7,2021021107,R,2022-04-03
8,2021021087,H,2022-04-01
9,2021021042,R,2022-03-26
10,2021021025,H,2022-03-24
11,2021021002,R,2022-03-21
12,2021020973,H,2022-03-17
13,2021020887,H,2022-03-05
14,2021020840,R,2022-02-27
15,2021020812,R,2022-02-23
16,2021020648,H,2022-02-20
17,2021020493,H,2022-02-17
18,2021020507,R,2022-02-15
19,2021020623,H,2022-02-11
20,2021020699,H,2022-02-09
21,2021020664,H,2022-02-08
22,2021020596,R,2022-01-05
23,2021020562,R,2021-12-31
24,2021020547,R,2021-12-29
25,2021020049,H,2021-10-19
26,2021020031,H,2021-10-16
27,2021020006,H,2021-10-13
