,gameId,homeRoadFlag,gameDate
0,2022021288,H,2023-04-11
1,2022021257,R,2023-04-08
2,2022021232,H,2023-04-04
3,2022021207,R,2023-04-01
4,2022021012,R,2023-03-07
5,2022020986,R,2023-03-03
6,2022020933,H,2023-02-24
7,2022020871,H,2023-02-16
8,2022020805,R,2023-02-01
9,2022020783,H,2023-01-27
10,2022020768,R,2023-01-25
11,2022020629,R,2023-01-07
12,2022020590,R,2023-01-01
13,2022020575,H,2022-12-30
14,2022020548,H,2022-12-27
15,2022020535,H,2022-12-23
16,2022020526,R,2022-12-22
17,2022020487,H,2022-12-17
18,2022020369,R,2022-12-01
19,2022020333,H,2022-11-26
20,2022020261,H,2022-11-17
21,2022020233,R,2022-11-12
22,2022020207,R,2022-11-09
23,2022020174,H,2022-11-04
24,2022020130,R,2022-10-29
25,2022020085,R,2022-10-22
26,2022020024,R,2022-10-14
