,gameId,homeRoadFlag,gameDate
0,2021020878,R,2022-03-04
1,2021020563,H,2022-02-13
2,2021020770,H,2022-01-28
3,2021020745,R,2022-01-25
4,2021020713,R,2022-01-21
5,2021020705,R,2022-01-20
6,2021020697,H,2022-01-18
7,2021020629,R,2022-01-09
8,2021020605,H,2022-01-06
9,2021020468,R,2021-12-17
10,2021020429,R,2021-12-11
11,2021020401,R,2021-12-08
12,2021020385,H,2021-12-06
13,2021020343,H,2021-11-30
14,2021020323,R,2021-11-27
15,2021020313,H,2021-11-26
16,2021020193,H,2021-11-10
17,2021020139,R,2021-11-02
18,2021020115,H,2021-10-29
19,2021020088,R,2021-10-25
20,2021020064,H,2021-10-22
21,2021020044,R,2021-10-19
22,2021020020,R,2021-10-16
23,2021020011,R,2021-10-14
