,gameId,homeRoadFlag,gameDate
0,2024021065,R,2025-03-15
1,2024021009,R,2025-03-08
2,2024020984,H,2025-03-05
3,2024020959,R,2025-03-01
4,2024020943,R,2025-02-27
5,2024020929,R,2025-02-25
6,2024020912,H,2025-02-23
7,2024020883,R,2025-02-08
8,2024020860,H,2025-02-05
9,2024020817,R,2025-01-30
10,2024020801,R,2025-01-28
11,2024020773,H,2025-01-24
12,2024020714,R,2025-01-16
13,2024020676,H,2025-01-11
14,2024020632,H,2025-01-05
15,2024020616,H,2025-01-03
16,2024020577,H,2024-12-29
17,2024020558,R,2024-12-27
18,2024020554,R,2024-12-23
19,2024020516,H,2024-12-19
20,2024020503,H,2024-12-17
21,2024020489,H,2024-12-15
22,2024020464,R,2024-12-12
23,2024020444,R,2024-12-09
24,2024020427,H,2024-12-07
25,2024020394,R,2024-12-02
26,2024020298,H,2024-11-19
27,2024020283,R,2024-11-16
28,2024020216,R,2024-11-07
29,2024020191,R,2024-11-03
30,2024020085,H,2024-10-19
31,2024020021,R,2024-10-11
