,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,player_id,shifts,shots_blocked_by_player,assists,position_encoded
21,Adam Erne,709.0,91.0,41.0,11.0,39.0,880.0,16.0,410.0,14.0,164.0,166.0,793.0,160.0,91.0,6.0,34.0,6233.0,773.0,447.0,81.0,94.0,106.0,379,274357.0,3.77,3.7800000000000002,53.0,8477454,6233.0,191.0,50.0,2
22,Adam Fantilli,57.0,15.0,12.0,2.0,11.0,63.0,6.0,131.0,4.0,28.0,55.0,170.0,16.0,27.0,1.0,20.0,897.0,247.0,115.0,18.0,221.0,171.0,49,46188.0,0.54,0.52,12.0,8484166,897.0,25.0,15.0,0
23,Adam Foote,703.0,65.0,1.0,0.0,0.0,220.0,0.0,98.0,1.0,7.0,37.0,318.0,127.0,24.0,0.0,7.0,4007.0,164.0,68.0,32.0,0.0,0.0,156,177916.0,1.1,1.13,26.0,8456283,4007.0,246.0,23.0,1
24,Adam Fox,1277.0,262.0,53.0,16.0,34.0,157.0,22.0,819.0,15.0,71.0,243.0,1448.0,142.0,307.0,5.0,48.0,9382.0,1329.0,681.0,308.0,1.0,0.0,357,493922.0,2.7800000000000002,2.8200000000000003,68.0,8479323,9382.0,570.0,254.0,1
25,Adam Gaudette,242.0,49.0,28.0,7.0,23.0,171.0,5.0,296.0,16.0,113.0,132.0,593.0,76.0,70.0,1.0,17.0,3690.0,552.0,300.0,64.0,635.0,449.0,220,151126.0,3.12,3.08,37.0,8478874,3690.0,70.0,42.0,0
26,Adam Ginning,12.0,6.0,1.0,0.0,0.0,20.0,1.0,9.0,0.0,0.0,3.0,13.0,2.0,1.0,0.0,0.0,193.0,16.0,6.0,2.0,0.0,0.0,10,8641.0,1.17,1.19,0.0,8480874,193.0,11.0,0.0,1
27,Adam Hall,1563.0,42.0,18.0,8.0,36.0,462.0,2.0,385.0,8.0,125.0,131.0,383.0,114.0,48.0,4.0,28.0,6155.0,637.0,415.0,81.0,975.0,1262.0,330,234619.0,1.8,1.9,70.0,8467925,6155.0,198.0,30.0,3
28,Adam Henrique,3254.0,323.0,263.0,110.0,251.0,798.0,58.0,1396.0,95.0,705.0,654.0,3288.0,256.0,529.0,51.0,143.0,21146.0,2889.0,1698.0,429.0,5790.0,5793.0,912,968477.0,7.15,7.24,159.0,8474641,21146.0,665.0,266.0,0
29,Adam Johnson,13.0,2.0,1.0,0.0,0.0,15.0,0.0,4.0,1.0,4.0,0.0,8.0,2.0,4.0,1.0,0.0,132.0,11.0,8.0,3.0,0.0,0.0,13,4722.0,0.9299999999999999,0.95,0.0,8480341,132.0,6.0,3.0,0
30,Adam Klapka,0.0,1.0,1.0,0.0,1.0,21.0,1.0,2.0,0.0,1.0,0.0,6.0,9.0,1.0,0.0,0.0,60.0,6.0,4.0,1.0,1.0,0.0,6,2434.0,0.36,0.33,2.0,8483609,60.0,3.0,0.0,3
31,Adam Larsson,3506.0,483.0,44.0,6.0,24.0,2018.0,26.0,1481.0,12.0,60.0,498.0,1926.0,464.0,213.0,5.0,79.0,21761.0,2360.0,1067.0,260.0,0.0,1.0,847,1084631.0,5.9799999999999995,5.97,89.0,8476457,21761.0,1523.0,169.0,1
32,Adam Lowry,2965.0,171.0,104.0,39.0,179.0,1877.0,19.0,767.0,46.0,431.0,395.0,1563.0,352.0,237.0,30.0,118.0,15237.0,1676.0,982.0,302.0,4758.0,5007.0,702,637084.0,4.59,4.58,143.0,8476392,15237.0,419.0,133.0,0
33,Adam Mair,304.0,50.0,15.0,4.0,20.0,265.0,3.0,194.0,8.0,59.0,73.0,344.0,183.0,37.0,2.0,16.0,2998.0,326.0,200.0,43.0,354.0,350.0,209,121309.0,1.42,1.43,45.0,8466216,2998.0,49.0,22.0,0
34,Adam McQuaid,1568.0,161.0,16.0,1.0,5.0,993.0,13.0,568.0,2.0,7.0,178.0,1200.0,614.0,73.0,1.0,22.0,11520.0,951.0,402.0,62.0,1.0,0.0,512,499311.0,4.62,4.62,140.0,8471717,11520.0,834.0,57.0,1
35,Adam Pardy,745.0,172.0,4.0,0.0,3.0,421.0,2.0,340.0,2.0,21.0,115.0,658.0,249.0,52.0,1.0,12.0,6973.0,573.0,249.0,87.0,0.0,0.0,341,312545.0,4.35,4.36,69.0,8471385,6973.0,362.0,48.0,1
36,Adam Payerl,3.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,28.0,5.0,4.0,0.0,0.0,0.0,2,1098.0,0.33,0.35,0.0,8476522,28.0,2.0,0.0,0
37,Adam Pelech,2170.0,335.0,26.0,3.0,14.0,725.0,18.0,917.0,5.0,47.0,310.0,915.0,191.0,140.0,2.0,38.0,12589.0,1491.0,668.0,238.0,0.0,0.0,500,599525.0,3.92,3.9699999999999998,48.0,8476917,12589.0,846.0,114.0,1
38,Adam Raska,9.0,5.0,0.0,0.0,2.0,40.0,0.0,4.0,0.0,2.0,5.0,11.0,7.0,0.0,0.0,0.0,153.0,10.0,3.0,2.0,1.0,0.0,13,6605.0,1.5,1.44,6.0,8482197,153.0,3.0,0.0,3
39,Adam Ruzicka,137.0,33.0,14.0,3.0,12.0,64.0,5.0,142.0,6.0,38.0,57.0,249.0,32.0,40.0,3.0,14.0,1829.0,260.0,135.0,24.0,323.0,286.0,117,74939.0,2.24,2.22,12.0,8480008,1829.0,32.0,26.0,0
40,Adrian Aucoin,1430.0,98.0,23.0,1.0,7.0,467.0,17.0,717.0,5.0,25.0,262.0,1158.0,208.0,96.0,1.0,42.0,9208.0,1106.0,487.0,101.0,0.0,2.0,337,428409.0,2.48,2.37,41.0,8459053,9208.0,277.0,73.0,1
41,Adrian Kempe,1382.0,217.0,160.0,62.0,141.0,660.0,47.0,1226.0,51.0,406.0,485.0,2104.0,305.0,327.0,15.0,110.0,12003.0,2382.0,1288.0,179.0,1171.0,808.0,549,543204.0,4.42,4.37,125.0,8477960,12003.0,176.0,167.0,2
42,Aidan McDonough,8.0,0.0,1.0,0.0,1.0,7.0,0.0,3.0,1.0,3.0,3.0,8.0,2.0,1.0,0.0,0.0,82.0,9.0,4.0,0.0,0.0,1.0,6,3351.0,0.39,0.36,0.0,8481683,82.0,2.0,0.0,2
43,Akil Thomas,10.0,0.0,3.0,1.0,1.0,8.0,1.0,8.0,1.0,3.0,3.0,5.0,2.0,4.0,1.0,0.0,84.0,16.0,9.0,2.0,6.0,4.0,7,3666.0,0.5,0.51,4.0,8480851,84.0,3.0,1.0,0
44,Akim Aliu,12.0,3.0,2.0,0.0,1.0,11.0,2.0,4.0,0.0,1.0,1.0,10.0,6.0,3.0,0.0,0.0,103.0,9.0,5.0,1.0,0.0,0.0,7,4583.0,0.88,0.8,7.0,8474049,103.0,2.0,1.0,3
45,Akito Hirose,14.0,5.0,0.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,4.0,18.0,4.0,3.0,0.0,0.0,220.0,10.0,4.0,1.0,0.0,0.0,10,9514.0,0.84,0.9,1.0,8484254,220.0,11.0,3.0,1
46,Aku Raty,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1,705.0,0.26,0.28,1.0,8481699,17.0,0.0,1.0,3
47,Alan Quine,184.0,32.0,10.0,5.0,8.0,132.0,3.0,107.0,2.0,42.0,32.0,196.0,22.0,27.0,2.0,7.0,1724.0,206.0,125.0,28.0,379.0,334.0,106,75389.0,2.3200000000000003,2.29,5.0,8476409,1724.0,45.0,17.0,0
48,Alec Martinez,2642.0,508.0,83.0,20.0,49.0,1017.0,45.0,1593.0,18.0,114.0,588.0,2662.0,242.0,277.0,16.0,91.0,20605.0,2741.0,1168.0,135.0,3.0,0.0,818,960963.0,7.91,8.0,68.0,8474166,20605.0,1800.0,194.0,1
49,Alec Regula,51.0,22.0,1.0,0.0,0.0,28.0,1.0,27.0,0.0,1.0,7.0,30.0,16.0,1.0,0.0,1.0,473.0,52.0,21.0,11.0,0.0,0.0,22,22302.0,1.18,1.08,5.0,8480831,473.0,32.0,0.0,1
