name,I_F_goals_all,playerId_all
Andy Wozniewski,0.0,8471188
Angus Crookshank,2.0,8481065
Anssi Salmela,4.0,8474557
Anthony Angello,3.0,8478074
Anthony Beauvillier,116.0,8478463
Anthony Bitetto,3.0,8475868
Anthony Cirelli,98.0,8478519
Anthony Duclair,146.0,8477407
Anthony Greco,0.0,8479447
Anthony Mantha,142.0,8477511
Anthony Peluso,4.0,8474061
Anthony Richard,4.0,8478409
Anthony Stewart,25.0,8470618
Antoine Roussel,85.0,8474849
Antoine Vermette,156.0,8468535
Anton Babchuk,29.0,8470265
Anton Belov,1.0,8477289
Anton Blidh,4.0,8477320
Anton Klementyev,0.0,8475270
Anton Lander,10.0,8475165
Anton Levtchi,0.0,8483641
Anton Lindholm,0.0,8478073
Anton Lundell,43.0,8482113
Anton Rodin,0.0,8475210
Anton Slepyshev,10.0,8477415
Anton Stralman,60.0,8471873
Anton Volchenkov,9.0,8468501
Anton Wedin,0.0,8481637
Antti Miettinen,59.0,8468704
Antti Pihlstrom,2.0,8473973
Antti Suomela,4.0,8480965
Anze Kopitar,367.0,8471685
Arber Xhekaj,8.0,8482964
Arnaud Durandeau,0.0,8480242
Arron Asham,30.0,8465025
Arshdeep Bains,0.0,8483395
Artem Anisimov,180.0,8473573
Artem Zub,17.0,8482245
Artemi Kniazev,0.0,8481552
Artemi Panarin,265.0,8478550
Arthur Kaliyev,35.0,8481560
Arttu Ruotsalainen,7.0,8481626
Artturi Lehkonen,118.0,8477476
Arturs Kulda,0.0,8473459
Ashton Sautner,0.0,8477085
Austin Czarnik,18.0,8478512
Austin Poganski,0.0,8478040
Austin Strand,0.0,8480467
Austin Wagner,23.0,8478455
Austin Watson,60.0,8475766
Auston Matthews,368.0,8479318
Axel Jonsson-Fjallby,10.0,8479536
B.J. Crombeen,34.0,8470647
Barclay Goodrow,60.0,8476624
Barret Jackman,16.0,8467890
Barrett Hayton,35.0,8480849
Barry Tallackson,0.0,8470199
Beau Bennett,24.0,8475761
Beck Malenstyn,8.0,8479359
Ben Chiarot,41.0,8475279
Ben Eager,34.0,8470280
Ben Gleason,0.0,8479416
Ben Guite,5.0,8466300
Ben Hanowski,1.0,8475196
Ben Harpur,2.0,8477433
Ben Holmstrom,0.0,8475603
Ben Hutton,24.0,8477018
Ben Jones,0.0,8480259
Ben Lovejoy,20.0,8473933
Ben Maxwell,2.0,8473493
Ben McCartney,0.0,8481827
Ben Meyers,6.0,8483570
Ben Ondrus,0.0,8468868
Ben Sexton,0.0,8475328
Ben Smith,29.0,8474727
Ben Street,3.0,8476043
Ben Thomas,0.0,8478049
Ben Thomson,0.0,8476526
Ben Walter,0.0,8471372
Benn Ferriero,14.0,8473600
Benoit Pouliot,128.0,8471678
Benoit-Olivier Groulx,1.0,8480870
Bill Arnold,0.0,8475833
Bill Guerin,42.0,8456464
Bill Sweatt,0.0,8474035
Bill Thomas,7.0,8472361
Billy Sweezey,0.0,8482399
Blair Betts,19.0,8467361
Blair Jones,6.0,8471767
Blake Coleman,136.0,8476399
Blake Comeau,132.0,8471260
Blake Geoffrion,8.0,8473608
Blake Hillman,1.0,8479595
Blake Lizotte,37.0,8481481
Blake Pietila,1.0,8476370
Blake Speers,0.0,8478480
Blake Wheeler,321.0,8471218
Bo Groulx,0.0,8480870
Bo Horvat,241.0,8477500
Bobby Brink,11.0,8481553
Bobby Butler,20.0,8475637
Bobby Farnham,8.0,8476769
Bobby Holik,4.0,8447958
Bobby McMann,15.0,8482259
Bobby Robins,0.0,8472365
Bobby Ryan,256.0,8471676
Bobby Sanguinetti,2.0,8473610
Bogdan Kiselevich,0.0,8480955
Bogdan Yakimov,0.0,8477410
Bokondji Imama,1.0,8478147
Boo Nieves,5.0,8476922
Boone Jenner,192.0,8476432
Boris Katchouk,15.0,8479383
Boris Valabik,0.0,8471223
Borna Rendulic,1.0,8477916
Bowen Byram,26.0,8481524
Boyd Devereaux,6.0,8464960
Boyd Gordon,41.0,8470159
Boyd Kane,0.0,8465028
Bracken Kearns,3.0,8471996
Brad Boyes,125.0,8468504
Brad Hunt,26.0,8476779
Brad Lambert,0.0,8483471
Brad Lukowich,1.0,8460580
Brad Malone,14.0,8474089
Brad Marchand,401.0,8473419
Brad May,1.0,8457261
Brad Mills,1.0,8473927
Brad Richards,145.0,8467389
Brad Richardson,92.0,8470755
Brad Staubitz,10.0,8471521
Brad Stuart,21.0,8467331
Brad Winchester,32.0,8468515
Braden Schneider,12.0,8482073
Bradly Nadeau,0.0,8484203
Brady Austin,0.0,8477041
Brady Keeper,0.0,8481442
Brady Skjei,68.0,8476869
Brady Tkachuk,162.0,8480801
Brandon Baddock,0.0,8477631
Brandon Biro,2.0,8482061
Brandon Bochenski,4.0,8469666
Brandon Bollig,10.0,8475650
Brandon Carlo,28.0,8478443
Brandon Davidson,9.0,8475869
Brandon DeFazio,0.0,8476214
Brandon Dubinsky,139.0,8471273
Brandon Duhaime,20.0,8479520
Brandon Gignac,1.0,8479330
Brandon Gormley,2.0,8475759
Brandon Hagel,90.0,8479542
Brandon Kozun,2.0,8475295
Brandon Manning,14.0,8475430
Brandon Mashinter,4.0,8474850
Brandon McMillan,14.0,8474646
Brandon Montour,66.0,8477986
Brandon Pirri,72.0,8475204
Brandon Prust,40.0,8471283
Brandon Saad,253.0,8476438
Brandon Scanlin,0.0,8483407
Brandon Segal,11.0,8469755
Brandon Sutter,150.0,8474091
Brandon Tanev,74.0,8479293
Brandon Yip,29.0,8471450
Brandt Clarke,2.0,8482730
Brayden Irwin,0.0,8475638
Brayden McNabb,28.0,8475188
Brayden Pachal,2.0,8481167
Brayden Point,262.0,8478010
Brayden Schenn,260.0,8475170
Brayden Tracey,0.0,8481530
Braydon Coburn,37.0,8470601
Brendan Bell,6.0,8469516
Brendan Brisson,2.0,8482153
Brendan Gallagher,219.0,8475848
Brendan Gaunce,13.0,8476867
Brendan Guhle,4.0,8478425
Brendan Leipsic,16.0,8476894
Brendan Lemieux,35.0,8477962
Brendan Mikkelson,1.0,8471705
Brendan Morrison,41.0,8459461
Brendan Perlini,50.0,8477943
Brendan Ranford,0.0,8475896
Brendan Shanahan,6.0,8451302
Brendan Shinnimin,0.0,8475996
Brendan Smith,38.0,8474090
Brendan Witt,2.0,8459433
Brendan Woods,0.0,8476944
Brenden Dillon,37.0,8475455
Brenden Morrow,96.0,8466160
Brendon Nash,0.0,8475641
Brennan Menell,0.0,8479734
Brennan Othmann,0.0,8482747
Brent Burns,228.0,8470613
Brent Regner,0.0,8474698
Brent Seabrook,85.0,8470607
Brent Sopel,4.0,8462176
Bret Hedican,1.0,8456547
Brett Bellemore,4.0,8474135
Brett Bulmer,0.0,8475757
Brett Carson,2.0,8471321
Brett Clark,16.0,8465122
Brett Connolly,101.0,8475792
Brett Festerling,0.0,8471978
Brett Gallant,0.0,8474236
Brett Howden,39.0,8479353
Brett Kulak,21.0,8476967
Brett Leason,20.0,8481517
Brett Lebda,9.0,8471187
Brett Lernout,0.0,8478004
Brett MacLean,2.0,8474050
Brett McLean,7.0,8465968
Brett Murray,2.0,8479419
Brett Pesce,39.0,8477488
Brett Ritchie,50.0,8476439
Brett Seney,6.0,8478881
Brett Skinner,0.0,8470119
Brett Sterling,4.0,8470737
Brett Sutter,3.0,8471840
Brian Boyle,135.0,8470619
Brian Campbell,52.0,8466285
Brian Dumoulin,25.0,8475208
Brian Fahey,0.0,8468599
Brian Ferlin,0.0,8476363
Brian Flynn,27.0,8476808
Brian Gibbons,25.0,8476207
Brian Gionta,159.0,8467407
Brian Halonen,0.0,8483531
Brian Lashoff,2.0,8474873
Brian Lee,5.0,8471683
Brian McGrattan,8.0,8467977
Brian O'Neill,0.0,8476772
Brian Pinho,0.0,8477314
Brian Pothier,6.0,8468427
Brian Rafalski,21.0,8467856
Brian Rolston,56.0,8458525
Brian Salcido,0.0,8471803
Brian Strait,6.0,8473565
Brian Sutherby,15.0,8468506
Brian Willsie,1.0,8465113
Brinson Pasichnuk,0.0,8482369
Brock Boeser,179.0,8478444
Brock Faber,8.0,8482122
Brock McGinn,76.0,8476934
Brock Nelson,275.0,8475754
Brock Trotter,0.0,8474436
Brodie Dupont,0.0,8471728
Brody Sutter,0.0,8475980
Brogan Rafferty,0.0,8481479
Brooks Laich,98.0,8469639
Brooks Orpik,14.0,8468498
Bruno Gervais,13.0,8470774
Bryan Allen,9.0,8467332
Bryan Bickell,64.0,8471254
Bryan Helmer,0.0,8459406
Bryan Lerg,1.0,8474516
Bryan Little,211.0,8473412
Bryan McCabe,30.0,8459462
Bryan Rodney,1.0,8470988
Bryan Rust,172.0,8475810
Bryce Kindopp,0.0,8481815
Bryce Salvador,8.0,8460626
Bryce Van Brabant,0.0,8477847
Bud Holloway,0.0,8473431
