name,position,salary,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded
Rasmus Dahlin,D,8000000,2.743119266055046,0.7201834862385321,0.1513761467889908,0.0298165137614678,0.0986238532110091,1.536697247706422,0.0986238532110091,2.713302752293578,0.0229357798165137,0.2155963302752293,0.7545871559633027,4.75,0.6972477064220184,0.6628440366972477,0.0022935779816513,0.1536697247706422,26.15366972477064,4.378440366972477,2.272935779816514,0.4151376146788991,0.0,0.0,436,1386.096330275229,0.0077522935779816,0.007637614678899,0.231651376146789,1.2362385321100915,0.5114678899082569,1
Bowen Byram,D,950000,2.6341463414634148,0.4207317073170731,0.1585365853658536,0.0304878048780487,0.0670731707317073,1.5975609756097562,0.073170731707317,1.6646341463414631,0.0548780487804878,0.2134146341463414,0.6097560975609756,3.054878048780488,0.7682926829268293,0.4390243902439024,0.024390243902439,0.0853658536585365,24.5609756097561,2.9878048780487805,1.3353658536585369,0.2926829268292683,0.0,0.0,164,1207.591463414634,0.0128658536585365,0.0126219512195121,0.1463414634146341,1.201219512195122,0.2804878048780488,1
Patrick Kane,F,8000000,1.3062240663900415,0.5585062240663901,0.387551867219917,0.129460580912863,0.2680497925311203,0.2597510373443983,0.1477178423236514,3.273029045643153,0.1103734439834024,0.8265560165975103,1.0481327800829876,4.913692946058092,0.3253112033195021,1.0431535269709544,0.0489626556016597,0.1767634854771784,22.85560165975104,5.734439834024896,3.319502074688797,0.5535269709543569,0.4199170124481328,0.2589211618257261,1205,1211.2572614107885,0.0081742738589211,0.0080912863070539,0.2622406639004149,0.2356846473029045,0.6556016597510373,1
Sidney Crosby,F,10000000,2.485333333333333,0.8257777777777778,0.4586666666666666,0.1617777777777777,0.4142222222222222,0.8888888888888888,0.1431111111111111,2.7031111111111112,0.1537777777777778,1.1537777777777778,1.1146666666666667,5.364444444444445,0.5111111111111111,1.2222222222222223,0.0666666666666666,0.2995555555555556,24.466666666666665,5.279111111111111,3.1564444444444444,0.5848888888888889,10.52,12.035555555555556,1125,1241.7253333333333,0.0091111111111111,0.0090755555555555,0.3315555555555555,0.4711111111111111,0.7635555555555555,1
Macklin Celebrini,F,950000,2.232142857142857,1.5892857142857142,0.375,0.0714285714285714,0.3214285714285714,0.4642857142857143,0.1785714285714285,4.035714285714286,0.125,0.875,1.7321428571428572,3.3035714285714284,0.4285714285714285,0.8928571428571429,0.0178571428571428,0.3035714285714285,20.285714285714285,6.696428571428571,3.5,0.4464285714285714,7.857142857142857,7.142857142857143,56,1188.178571428571,0.0101785714285714,0.0103571428571428,0.3571428571428571,0.8035714285714286,0.5178571428571429,1
