name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position,salary
Rasmus Dahlin,2.743119266055046,0.7201834862385321,0.1513761467889908,0.0298165137614678,0.0986238532110091,1.536697247706422,0.0986238532110091,2.713302752293578,0.0229357798165137,0.2155963302752293,0.7545871559633027,4.75,0.6972477064220184,0.6628440366972477,0.0022935779816513,0.1536697247706422,26.15366972477064,4.378440366972477,2.272935779816514,0.4151376146788991,0.0,0.0,436,1386.096330275229,0.0077522935779816,0.007637614678899,0.231651376146789,1.2362385321100915,0.5114678899082569,1,D,8000000
Andrew Ference,3.211494252873563,0.5172413793103449,0.0459770114942528,0.0022988505747126,0.0091954022988505,1.4942528735632183,0.0390804597701149,1.7310344827586206,0.0045977011494252,0.0505747126436781,0.5908045977011495,2.404597701149425,0.6781609195402298,0.2482758620689655,0.0022988505747126,0.0551724137931034,24.873563218390803,2.731034482758621,1.2,0.135632183908046,0.0068965517241379,0.0068965517241379,435,1167.7264367816092,0.0083908045977011,0.0082758620689655,0.1954022988505747,1.2873563218390804,0.2022988505747126,1,D,4000000
Curtis Glencross,3.103448275862069,0.6022988505747127,0.271264367816092,0.0873563218390804,0.2137931034482758,1.4229885057471263,0.0827586206896551,1.6551724137931034,0.1011494252873563,0.6804597701149425,0.7080459770114943,3.1195402298850574,0.6344827586206897,0.5724137931034483,0.0229885057471264,0.128735632183908,22.436781609195403,3.2045977011494253,1.8413793103448275,0.5563218390804597,0.5310344827586206,0.4022988505747126,435,982.783908045977,0.0080919540229885,0.008,0.2367816091954023,0.5770114942528736,0.3011494252873563,1,F,6000000
Manny Malhotra,6.304147465437788,0.3018433179723502,0.1175115207373272,0.0276497695852534,0.0967741935483871,0.847926267281106,0.0345622119815668,1.1428571428571428,0.0552995391705069,0.3502304147465437,0.4400921658986175,1.9193548387096773,0.2880184331797235,0.3064516129032258,0.0184331797235023,0.0875576036866359,22.30184331797235,2.0184331797235022,1.1497695852534562,0.3986175115207373,5.711981566820277,8.52073732718894,434,850.5622119815669,0.0061981566820276,0.006221198156682,0.1682027649769585,0.7626728110599078,0.1889400921658986,1,F,4000000
David Jones,2.5825688073394497,0.2591743119266055,0.2339449541284403,0.0894495412844036,0.2362385321100917,1.5688073394495412,0.0665137614678899,1.461009174311927,0.0779816513761468,0.6720183486238532,0.6674311926605505,3.018348623853211,0.2660550458715596,0.4243119266055046,0.0481651376146789,0.1192660550458715,21.610091743119263,2.942660550458716,1.701834862385321,0.3211009174311927,0.2821100917431192,0.2545871559633027,436,911.0733944954128,0.0086009174311926,0.0087385321100917,0.1628440366972477,0.4885321100917431,0.1903669724770642,1,F,6000000
