,name,icetime,x_goals,goals,unblocked_shot_attempts,x_rebounds,rebounds,x_freeze,freeze,x_on_goal,on_goal,x_play_stopped,play_stopped,x_play_continued_in_zone,play_continued_in_zone,x_play_continued_outside_zone,play_continued_outside_zone,flurry_adjusted_x_goals,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_x_goals,medium_danger_x_goals,high_danger_x_goals,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts,penalty_minutes,penalties
0,Aaron Dell,3163.5846153846155,2.471076923076923,2.576923076923077,49.93076923076923,1.8585384615384617,2.1538461538461537,6.056307692307692,5.707692307692308,26.658,27.053846153846155,0.8824615384615384,0.8076923076923077,14.877076923076922,11.684615384615384,11.08423076923077,14.307692307692308,2.361,27.06923076923077,7.869230769230769,2.276923076923077,0.7916153846153847,0.9567692307692307,0.7226923076923077,0.8076923076923077,1.0692307692307692,0.7,12.715384615384615,0.015384615384615385,0.007692307692307693
4,Adin Hill,3327.8863636363635,2.5436363636363635,2.465909090909091,54.86931818181818,1.929659090909091,2.5681818181818183,6.773749999999999,6.159090909090909,28.386988636363636,26.960227272727273,0.9238636363636364,0.5454545454545454,15.798522727272728,13.323863636363637,11.530170454545454,14.426136363636363,2.424204545454545,29.90909090909091,7.159090909090909,2.465909090909091,0.872784090909091,0.8636931818181818,0.8071590909090909,0.9318181818181818,0.8693181818181818,0.6647727272727273,15.335227272727273,0.045454545454545456,0.022727272727272728
5,Akira Schmid,2843.0454545454545,2.1727272727272724,2.25,42.04545454545455,1.5663636363636364,2.2954545454545454,5.388409090909091,4.704545454545454,23.00772727272727,22.522727272727273,0.895,0.4318181818181818,12.460681818181818,10.727272727272727,9.211136363636363,11.25,2.0781818181818186,22.772727272727273,6.7272727272727275,2.0681818181818183,0.6729545454545455,0.8377272727272728,0.6622727272727272,0.5227272727272727,1.2045454545454546,0.5227272727272727,10.477272727272727,0.045454545454545456,0.022727272727272728
6,Al Montoya,3267.8511904761904,2.4094047619047623,2.4107142857142856,49.75595238095238,1.7986904761904763,1.869047619047619,5.885357142857143,6.315476190476191,26.02220238095238,26.297619047619047,0.8666071428571429,0.9940476190476191,14.444345238095238,11.071428571428571,11.013690476190476,14.166666666666666,2.2992857142857144,27.38095238095238,7.071428571428571,2.267857142857143,0.8111309523809525,0.8569047619047618,0.7413690476190476,0.8511904761904762,0.9464285714285714,0.6130952380952381,13.035714285714286,0.07142857142857142,0.03571428571428571
7,Aleksei Kolosov,3132.4,2.6213333333333333,3.0,53.93333333333333,1.762,2.466666666666667,6.29,4.333333333333333,26.505333333333333,23.133333333333333,0.8333333333333334,0.13333333333333333,14.188666666666668,11.0,10.658666666666667,15.6,2.502666666666667,26.666666666666668,6.8,2.933333333333333,0.8413333333333333,0.852,0.928,1.1333333333333333,0.5333333333333333,1.3333333333333333,17.533333333333335,0.0,0.0
9,Alex Auld,3220.5670103092784,2.2970103092783507,2.422680412371134,48.391752577319586,1.7269072164948454,1.7010309278350515,5.624226804123711,4.752577319587629,25.102268041237114,25.47422680412371,0.8061855670103093,0.8144329896907216,14.032061855670104,11.515463917525773,10.625876288659795,14.618556701030927,2.2186597938144326,27.1340206185567,6.680412371134021,2.0103092783505154,0.8277319587628865,0.7968041237113402,0.6724742268041237,0.8556701030927835,0.8969072164948454,0.6701030927835051,12.56701030927835,0.061855670103092786,0.041237113402061855
10,Alex Lyon,3234.574074074074,2.7637037037037038,2.685185185185185,54.407407407407405,1.9584259259259258,2.7962962962962963,6.907962962962963,5.851851851851852,28.784444444444446,27.62037037037037,0.9071296296296296,0.3148148148148148,15.681018518518519,13.675925925925926,11.431111111111111,14.407407407407407,2.627407407407407,29.175925925925927,7.851851851851852,2.814814814814815,0.8375925925925926,0.9742592592592593,0.952037037037037,0.9444444444444444,1.0925925925925926,0.6481481481481481,14.564814814814815,0.037037037037037035,0.018518518518518517
11,Alex Nedeljkovic,3350.1954022988507,2.6960344827586207,2.793103448275862,53.93103448275862,2.0150574712643676,2.5344827586206895,6.84632183908046,6.5344827586206895,29.290862068965517,28.78735632183908,0.9311494252873563,0.5632183908045977,16.1117816091954,13.235632183908047,11.740172413793104,14.649425287356323,2.5792528735632185,29.74712643678161,8.126436781609195,2.5114942528735633,0.8752873563218392,1.005057471264368,0.8157471264367816,1.0,1.0172413793103448,0.7758620689655172,13.545977011494253,0.05747126436781609,0.028735632183908046
12,Alex Stalock,3215.1564245810055,2.1935195530726257,2.4134078212290504,49.44692737430167,1.790558659217877,1.7541899441340782,6.079888268156425,5.731843575418995,26.23536312849162,26.29050279329609,0.8614525139664804,0.7597765363128491,14.733351955307262,11.94413407821229,10.991005586592179,13.888268156424582,2.119217877094972,28.43016759776536,6.279329608938547,1.9441340782122905,0.808268156424581,0.7613966480446926,0.6237430167597766,0.8324022346368715,0.8379888268156425,0.7430167597765364,12.793296089385475,0.1005586592178771,0.055865921787709494
13,Alexandar Georgiev,3360.2983050847456,2.7493898305084743,2.766101694915254,54.29830508474576,2.034237288135593,2.7898305084745765,6.763966101694915,6.311864406779661,28.94850847457627,28.79322033898305,0.9236610169491526,0.6779661016949152,15.971830508474575,13.00677966101695,11.609254237288136,14.728813559322035,2.610983050847458,29.701694915254237,7.6169491525423725,2.935593220338983,0.8567457627118644,0.9393559322033899,0.9534237288135593,1.0338983050847457,0.9288135593220339,0.8033898305084746,14.04406779661017,0.020338983050847456,0.013559322033898305
