gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-15,R,0,2,2,3,0,0,0,0,1,19,PHI,0,18:53
2025-03-14,H,0,0,0,2,0,0,0,0,0,22,DET,0,16:53
2025-03-11,H,0,0,0,2,0,0,0,0,2,21,TBL,2,17:50
2025-03-09,H,0,1,1,1,0,0,0,0,0,19,WPG,0,19:33
2025-03-06,H,0,0,0,-1,0,0,0,0,0,24,BOS,0,22:31
2025-03-04,R,0,1,1,1,0,0,0,0,3,17,DET,0,16:47
2025-03-02,H,0,0,0,0,0,0,0,0,1,19,CGY,2,21:36
2025-03-01,H,0,1,1,0,0,0,0,0,4,18,EDM,0,16:54
2025-02-27,H,0,1,1,1,0,0,0,0,0,20,BUF,0,16:10
2025-02-25,R,0,0,0,0,0,0,0,0,1,19,MTL,2,15:30
2025-02-22,R,1,1,2,-1,0,0,0,0,4,18,TOR,0,14:57
2025-02-08,H,0,0,0,1,0,0,0,0,0,19,UTA,0,15:03
2025-02-06,R,0,0,0,-1,0,0,0,0,1,18,MIN,0,19:49
2025-02-04,R,0,0,0,-1,0,0,0,0,2,19,WPG,0,15:46
2025-02-01,H,0,1,1,0,0,0,0,0,3,18,LAK,0,20:09
2025-01-30,H,0,0,0,-1,0,0,0,0,0,19,CHI,2,15:30
2025-01-28,R,0,0,0,2,0,0,0,0,1,17,NYR,0,16:04
2025-01-25,R,0,0,0,-2,0,0,0,0,3,22,NYI,2,18:00
2025-01-23,H,0,0,0,0,0,0,0,0,0,18,CBJ,0,19:03
2025-01-21,R,0,0,0,2,0,0,0,0,1,17,DAL,0,14:18
2025-01-20,R,0,0,0,-1,0,0,0,0,1,16,CHI,0,13:32
2025-01-17,H,0,0,0,0,0,0,0,0,0,18,VGK,0,16:53
2025-01-15,R,0,1,1,1,0,0,0,0,5,18,BUF,0,19:44
2025-01-12,H,0,0,0,0,0,0,0,0,3,20,ANA,0,20:36
2024-12-27,R,0,0,0,0,0,0,0,0,0,18,NJD,0,15:51
2024-12-23,R,0,0,0,0,0,0,0,0,1,21,NSH,0,21:10
2024-12-22,R,0,0,0,0,0,0,0,0,3,18,NYR,0,18:10
2024-12-20,R,0,0,0,0,0,0,0,0,1,18,WSH,0,19:52
2024-12-17,H,0,2,2,1,0,0,0,0,1,22,NYI,0,17:35
2024-12-15,H,0,0,0,1,0,0,0,0,2,19,CBJ,0,19:28
2024-12-13,H,0,0,0,-2,0,0,0,0,3,19,OTT,0,21:08
2024-12-10,H,1,0,1,-1,0,0,0,0,3,18,SJS,0,18:08
2024-12-07,R,0,3,3,-1,0,0,0,0,0,23,NYI,0,20:12
2024-12-05,H,0,1,1,1,0,0,0,0,1,23,COL,0,17:59
2024-12-03,H,0,1,1,0,0,0,0,0,3,22,SEA,0,18:52
2024-11-30,R,0,0,0,-2,0,0,0,0,1,25,FLA,2,18:46
2024-11-29,H,0,2,2,-2,0,0,0,0,3,19,FLA,0,20:18
2024-11-27,H,0,1,1,0,0,0,0,0,1,21,NYR,0,21:00
2024-11-25,H,1,1,2,-2,1,1,0,0,3,23,DAL,2,17:52
2024-11-23,R,0,0,0,0,0,0,0,0,4,23,CBJ,0,20:46
2024-11-21,R,0,1,1,-1,0,0,0,0,1,18,NJD,2,18:40
2024-11-20,R,0,0,0,-1,0,0,0,0,3,22,PHI,0,18:02
2024-11-17,H,0,1,1,-1,0,0,0,0,3,24,STL,0,20:33
2024-11-16,H,0,2,2,0,0,0,0,0,3,22,OTT,0,20:49
2024-11-13,R,0,1,1,-1,0,0,0,0,1,19,UTA,0,21:32
2024-11-11,R,0,0,0,2,0,0,0,0,1,22,VGK,0,17:54
2024-11-09,R,0,0,0,-2,0,0,0,0,1,18,COL,0,14:28
2024-11-07,H,0,0,0,1,0,0,0,0,0,20,PIT,0,19:47
2024-11-05,H,0,0,0,0,0,0,0,0,0,21,PHI,0,18:21
2024-11-03,H,0,0,0,1,0,0,0,0,1,19,WSH,2,18:24
2024-10-31,H,0,2,2,1,0,0,0,0,1,22,BOS,0,18:29
2024-10-28,R,0,1,1,2,0,0,0,0,2,25,VAN,2,17:57
2024-10-26,R,0,0,0,0,0,0,0,0,3,21,SEA,0,21:30
2024-10-24,R,0,1,1,0,0,0,0,0,3,23,CGY,0,17:59
2024-10-22,R,1,1,2,0,1,1,0,0,1,19,EDM,0,19:11
2024-10-19,R,1,0,1,0,1,1,0,0,2,23,STL,4,17:48
2024-10-18,R,1,0,1,0,1,1,0,0,1,19,PIT,0,15:55
2024-10-15,H,1,0,1,2,0,0,0,0,6,23,NJD,0,17:52
2024-10-11,H,0,0,0,-2,0,0,0,0,3,24,TBL,2,22:31
