gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2016-04-09,R,0,0,0,2,0,0,0,0,0,27,BOS,4,17:58
2016-04-07,H,0,0,0,1,0,0,0,0,0,25,FLA,0,22:18
2016-04-05,H,0,0,0,-1,0,0,0,0,0,23,PIT,0,17:58
2016-04-02,R,0,0,0,1,0,0,0,0,2,26,PHI,0,20:34
2016-03-30,R,0,0,0,1,0,0,0,0,0,19,WPG,0,14:16
2016-03-26,H,0,0,0,2,0,0,0,0,0,19,ANA,0,10:51
2016-03-23,R,0,0,0,-1,0,0,0,0,0,18,NYI,0,13:41
2016-03-22,H,0,1,1,1,0,0,0,0,1,17,WSH,0,12:50
2016-03-19,H,0,0,0,1,0,0,0,0,5,20,MTL,0,15:16
2016-03-18,R,0,0,0,0,0,0,0,0,0,16,BUF,0,14:18
2016-03-15,H,0,0,0,-1,0,0,0,0,0,14,MIN,0,11:15
2016-03-12,H,0,0,0,1,0,0,0,0,0,17,TOR,0,14:18
2016-03-10,R,0,0,0,0,0,0,0,0,1,19,FLA,0,13:01
2016-03-08,R,0,0,0,0,0,0,0,0,0,17,CAR,0,12:09
2016-03-06,H,0,0,0,-1,0,0,0,0,0,17,DAL,0,12:00
