gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2022-04-23,H,0,0,0,1,0,0,0,0,0,21,MTL,0,16:32
2022-04-22,R,0,0,0,1,0,0,0,0,2,25,CBJ,0,21:08
2022-04-19,R,0,0,0,0,0,0,0,0,0,20,VAN,0,18:32
2022-04-18,R,0,0,0,0,0,0,0,0,0,24,SEA,0,18:40
2022-04-16,H,1,1,2,3,0,0,0,0,1,26,TOR,0,19:25
2022-04-14,R,0,0,0,0,0,0,0,0,1,22,BOS,0,15:32
2022-04-12,R,0,1,1,1,0,0,0,0,2,23,DET,0,19:53
2022-04-09,R,0,0,0,-2,0,0,0,0,0,23,NYR,0,18:41
2022-04-07,H,0,0,0,0,0,0,0,0,3,26,NSH,0,18:03
2022-04-05,R,0,1,1,2,0,0,0,0,0,23,MTL,0,18:59
2022-04-03,H,0,0,0,-2,0,0,0,0,5,21,DET,0,20:44
2022-04-01,R,0,0,0,0,0,0,0,0,0,24,DET,0,18:24
2022-03-29,R,0,0,0,-2,0,0,0,0,1,25,NSH,0,21:18
2022-03-26,H,0,1,1,1,0,0,0,0,2,25,FLA,0,18:58
2022-03-24,R,0,2,2,3,0,0,0,0,1,28,WPG,0,19:19
2022-03-22,R,0,0,0,-1,0,0,0,0,2,21,NYI,0,17:55
2021-11-27,R,1,0,1,0,0,0,0,0,3,21,LAK,2,13:37
2021-11-22,R,0,1,1,-1,0,0,0,0,0,24,COL,0,15:58
2021-11-14,H,0,0,0,-2,0,0,0,0,4,28,CGY,2,19:45
2021-11-13,H,1,1,2,0,1,1,0,0,3,26,PIT,0,20:02
2021-11-11,H,0,0,0,0,0,0,0,0,2,27,LAK,0,20:10
2021-11-09,R,0,0,0,-1,0,0,0,0,0,26,BOS,0,18:10
2021-11-04,H,0,0,0,-3,0,0,0,0,0,23,VGK,0,17:47
2021-11-02,R,0,2,2,0,0,0,0,0,0,24,MIN,0,15:19
2021-10-21,H,0,0,0,-1,0,0,0,0,1,19,SJS,0,14:41
2021-10-17,H,0,0,0,-1,0,0,0,0,2,21,DAL,0,17:08
