gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-16,H,1,0,1,2,0,0,1,0,1,23,VGK,0,21:11
2025-03-14,R,0,0,0,0,0,0,0,0,0,23,CAR,0,16:45
2025-03-12,H,0,0,0,1,0,0,0,0,0,26,BUF,12,15:58
2025-03-10,R,0,0,0,0,0,0,0,0,0,26,OTT,0,16:48
2025-03-07,R,0,0,0,-1,0,0,0,0,3,22,WSH,0,19:27
2025-03-06,H,0,0,0,0,0,0,0,0,0,19,UTA,2,15:55
2025-03-04,H,0,0,0,-1,0,0,0,0,1,19,CAR,0,17:51
2025-03-01,R,0,1,1,-1,0,0,0,0,1,26,CBJ,0,19:19
2025-02-27,H,0,0,0,-2,0,0,0,0,1,22,CBJ,0,15:40
2025-02-25,R,0,1,1,1,0,0,0,0,1,25,MIN,0,21:32
2025-02-23,H,0,0,0,-1,0,0,0,0,0,25,ANA,4,19:20
2025-02-22,H,0,0,0,-1,0,0,0,0,0,22,MIN,0,17:30
2025-02-08,H,0,0,0,-2,0,0,0,0,0,27,TBL,0,20:08
2025-02-04,R,0,0,0,0,0,0,0,0,0,25,SEA,0,19:09
2025-02-02,R,0,0,0,0,0,0,0,0,0,27,VAN,0,22:08
2025-02-01,R,0,0,0,1,0,0,0,0,0,27,CGY,0,19:57
2025-01-30,R,0,0,0,0,0,0,0,0,1,26,EDM,0,20:47
2025-01-27,H,0,1,1,2,0,0,0,0,0,27,LAK,0,21:04
2025-01-25,H,0,1,1,2,0,0,0,0,2,22,TBL,0,20:49
2025-01-23,H,0,0,0,-1,0,0,0,0,2,25,MTL,0,18:35
2025-01-21,R,0,0,0,0,0,0,0,0,2,23,PHI,0,19:13
2025-01-19,R,0,0,0,0,0,0,0,0,2,26,DAL,0,20:27
2025-01-18,R,0,0,0,0,0,0,0,0,0,21,TBL,0,14:23
2025-01-16,R,0,0,0,-1,0,0,0,0,0,23,FLA,2,18:02
2025-01-14,H,0,0,0,1,0,0,0,0,0,24,SJS,2,16:15
2025-01-12,H,0,1,1,2,0,0,0,0,0,25,SEA,0,16:18
2025-01-10,H,1,0,1,-1,0,0,1,0,2,20,CHI,0,14:42
2025-01-07,H,0,0,0,-1,0,0,0,0,1,23,OTT,0,16:36
2025-01-04,R,0,0,0,1,0,0,0,0,0,19,WPG,2,17:07
2024-12-23,H,0,0,0,-1,0,0,0,0,0,21,STL,0,14:28
2024-12-20,H,0,0,0,-2,0,0,0,0,0,14,MTL,0,9:58
2024-12-12,R,0,0,0,0,0,0,0,0,0,17,PHI,0,13:22
2024-12-05,R,0,0,0,0,0,0,0,0,3,16,OTT,0,9:54
2024-11-29,H,0,0,0,1,0,0,0,0,0,15,NJD,0,10:25
2024-11-27,H,0,0,0,0,0,0,0,0,0,14,CGY,0,10:14
2024-11-25,R,0,1,1,1,0,0,0,0,1,15,NYI,0,11:43
2024-11-21,H,0,0,0,-1,0,0,0,0,0,16,NYI,0,12:33
2024-11-16,R,0,0,0,-1,0,0,0,0,1,18,LAK,0,13:57
2024-11-15,R,0,0,0,-1,0,0,0,0,4,20,ANA,0,14:54
2024-11-08,R,0,0,0,0,0,0,0,0,0,17,TOR,0,15:31
2024-11-06,R,0,0,0,0,0,0,0,0,1,20,CHI,0,15:53
2024-11-02,H,0,0,0,0,0,0,0,0,2,19,BUF,0,16:07
2024-10-30,H,0,0,0,-1,0,0,0,0,1,23,WPG,2,14:12
2024-10-27,H,0,0,0,-1,0,0,0,0,0,19,EDM,0,15:06
2024-10-14,R,0,0,0,0,0,0,0,0,0,20,NYR,0,11:27
2024-10-12,H,0,0,0,0,0,0,0,0,1,18,NSH,0,11:57
