gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-15,H,0,0,0,0,0,0,0,0,0,22,OTT,0,13:07
2025-03-13,H,0,1,1,-1,0,0,0,0,0,21,FLA,0,13:25
2025-03-10,R,1,0,1,1,0,0,0,0,1,20,UTA,7,13:38
2025-03-08,R,0,0,0,-1,0,0,0,0,0,24,COL,2,16:10
2025-03-05,R,0,0,0,0,0,0,0,0,0,24,VGK,0,18:32
2025-03-03,H,0,0,0,-1,0,0,0,0,0,22,SJS,0,14:24
2025-03-02,R,0,0,0,3,0,0,0,0,3,27,PIT,0,18:06
2025-02-28,R,0,0,0,-1,0,0,0,0,0,28,NYR,0,18:55
2025-02-25,R,0,0,0,0,0,0,0,0,2,31,BOS,0,17:24
2025-02-23,R,0,0,0,0,0,0,0,0,0,20,CHI,0,14:54
2025-02-22,H,0,0,0,1,0,0,0,0,0,26,CAR,0,16:20
2025-02-08,R,0,0,0,-1,0,0,0,0,0,24,VAN,0,13:42
2025-02-06,R,0,0,0,0,0,0,0,0,0,23,SEA,5,13:59
2025-02-04,R,0,0,0,1,0,0,0,0,0,25,CGY,2,14:20
2025-02-01,R,0,0,0,-1,0,0,0,0,0,25,EDM,2,16:58
2025-01-29,H,0,0,0,0,0,0,0,0,0,19,MIN,0,14:02
2025-01-25,R,0,0,0,-1,0,0,0,0,1,22,OTT,0,13:50
2025-01-22,H,0,0,0,0,0,0,0,0,1,20,CBJ,0,14:37
2025-01-20,H,0,0,0,1,0,0,0,0,0,21,TBL,0,13:59
2025-01-14,H,0,0,0,-1,0,0,0,0,0,21,DAL,0,15:56
2025-01-11,H,0,0,0,-2,0,0,0,0,0,19,VAN,0,13:25
2025-01-09,R,0,0,0,0,0,0,0,0,0,27,CAR,0,19:58
2025-01-07,R,0,0,0,-1,0,0,0,0,1,26,PHI,0,16:43
2025-01-05,H,0,0,0,2,0,0,0,0,2,32,PHI,0,20:37
2025-01-04,H,0,0,0,0,0,0,0,0,2,29,BOS,0,18:03
2025-01-02,R,0,0,0,1,0,0,0,0,1,23,NYI,0,15:34
2024-12-31,H,0,0,0,1,0,0,0,0,0,23,NYI,0,15:03
2024-12-28,H,0,1,1,-1,0,0,0,0,1,25,WSH,0,16:52
2024-12-27,R,0,0,0,-1,0,0,0,0,0,26,DET,2,16:54
2024-12-23,H,0,0,0,-1,0,0,0,0,0,22,WPG,0,13:58
2024-12-21,H,0,0,0,-1,0,0,0,0,1,26,NYI,0,19:21
2024-12-20,R,0,0,0,0,0,0,0,0,0,23,BUF,0,16:24
2024-12-18,R,0,0,0,1,0,0,0,0,0,32,DAL,2,15:43
2024-12-15,H,0,0,0,0,0,0,0,0,0,25,BUF,0,17:39
2024-12-14,R,0,0,0,-1,0,0,0,0,0,23,DET,0,17:20
2024-12-12,H,0,0,0,1,0,0,0,0,1,27,ANA,2,18:50
2024-12-10,R,0,0,0,0,0,0,0,0,0,30,NJD,2,19:01
2024-12-07,R,0,0,0,0,0,0,0,0,3,26,PIT,0,16:29
2024-12-06,H,0,0,0,-1,0,0,0,0,2,25,WSH,0,19:01
2024-12-04,H,0,0,0,-1,0,0,0,0,1,27,NSH,2,16:51
2024-12-02,H,0,0,0,2,0,0,0,0,2,29,CHI,0,21:25
2024-11-30,R,0,1,1,1,0,0,0,0,2,33,TBL,0,22:13
2024-11-27,R,0,0,0,0,0,0,0,0,0,26,FLA,0,17:03
2024-11-24,H,0,0,0,1,0,0,0,0,0,22,UTA,2,14:40
2024-11-20,H,0,0,0,0,0,0,0,0,0,23,VGK,4,16:04
2024-11-12,H,0,0,0,0,0,0,0,0,0,23,OTT,0,16:33
2024-11-09,H,0,1,1,2,0,0,0,0,0,26,MTL,0,17:00
2024-11-08,H,0,0,0,0,0,0,0,0,0,26,DET,2,15:19
2024-11-05,H,0,0,0,0,0,0,0,0,0,28,BOS,0,17:33
2024-11-03,R,0,0,0,-1,0,0,0,0,1,22,MIN,0,16:32
2024-11-02,R,0,0,0,0,0,0,0,0,1,23,STL,0,15:33
2024-10-31,H,0,0,0,0,0,0,0,0,1,23,SEA,0,13:35
2024-10-28,R,0,0,0,0,0,0,0,0,1,26,WPG,2,12:20
2024-10-26,R,0,0,0,-1,0,0,0,0,0,22,BOS,0,14:31
2024-10-24,H,0,0,0,0,0,0,0,0,1,24,STL,0,15:27
2024-10-22,R,0,1,1,0,0,0,0,0,0,27,CBJ,0,16:44
2024-10-21,H,0,0,0,0,0,0,0,0,2,29,TBL,0,18:53
2024-10-19,H,0,0,0,0,0,0,0,0,1,25,NYR,0,15:59
2024-10-16,H,0,0,0,1,0,0,0,0,0,32,LAK,0,20:29
2024-10-12,H,0,0,0,1,0,0,0,0,0,18,PIT,4,12:35
2024-10-10,R,0,0,0,1,0,0,0,0,1,25,NJD,4,15:52
2024-10-09,R,0,0,0,0,0,0,0,0,1,25,MTL,0,14:26
