gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2009-04-12,H,0,0,0,-1,0,0,0,0,1,16,BOS,2,10:43
2009-04-11,H,0,0,0,0,0,0,0,0,0,11,PHI,0,7:05
2009-04-09,R,0,0,0,-3,0,0,0,0,0,14,PIT,0,8:07
2009-04-07,R,0,0,0,-2,0,0,0,0,1,21,CAR,0,17:20
2009-04-04,H,0,0,0,0,0,0,0,0,1,18,TBL,0,11:06
2009-04-02,H,0,0,0,1,0,0,0,0,2,20,MTL,0,15:34
2009-04-01,R,0,0,0,0,0,0,0,0,0,9,WSH,0,8:13
2009-03-28,H,0,0,0,0,0,0,0,0,0,11,PHI,0,9:40
2009-03-27,R,0,0,0,0,0,0,0,0,0,9,DET,0,5:42
2009-03-25,H,0,0,0,0,0,0,0,0,0,18,MIN,2,13:30
2009-03-21,R,0,0,0,0,0,0,0,0,0,15,OTT,0,11:16
2009-03-20,R,0,0,0,-2,0,0,0,0,1,16,CAR,0,11:22
2009-03-15,R,0,0,0,-1,0,0,0,0,0,13,CHI,0,7:38
2009-03-14,R,0,0,0,-1,0,0,0,0,0,10,BOS,0,9:19
2009-03-12,R,0,0,0,0,0,0,0,0,0,9,MTL,0,6:19
2009-03-10,R,0,0,0,1,0,0,0,0,0,11,TOR,0,9:00
2009-03-08,H,0,0,0,-1,0,0,0,0,1,11,PHX,0,9:50
2009-03-07,H,0,0,0,0,0,0,0,0,0,12,NJD,0,8:32
2009-02-03,H,0,0,0,1,0,0,0,0,0,12,TBL,0,10:33
2009-01-31,H,0,0,0,0,0,0,0,0,0,11,FLA,0,8:45
2009-01-29,R,0,0,0,0,0,0,0,0,1,13,ATL,0,10:39
2009-01-21,H,0,0,0,1,0,0,0,0,1,16,ANA,0,12:14
2009-01-19,H,0,0,0,0,0,0,0,0,0,11,WSH,0,9:20
2009-01-17,H,0,0,0,0,0,0,0,0,1,19,NJD,0,15:54
2009-01-15,H,0,0,0,-1,0,0,0,0,1,17,BOS,0,11:46
2009-01-13,H,0,0,0,0,0,0,0,0,0,12,NYR,0,8:15
2009-01-08,R,0,0,0,-1,0,0,0,0,1,14,CGY,2,10:22
2009-01-05,R,0,0,0,-1,0,0,0,0,2,11,EDM,0,6:24
2009-01-03,R,1,0,1,2,0,0,0,0,4,23,SJS,0,17:27
2009-01-02,R,0,0,0,-1,0,0,0,0,3,20,PHX,0,17:48
2008-12-31,H,0,0,0,-1,0,0,0,0,3,21,FLA,0,14:41
2008-12-29,R,0,0,0,0,0,0,0,0,0,22,NYR,0,15:19
2008-12-27,R,0,0,0,1,0,0,0,0,2,18,BUF,0,13:49
2008-12-26,H,0,0,0,0,0,0,0,0,1,20,TOR,0,17:27
2008-12-23,H,0,0,0,-1,0,0,0,0,0,20,ATL,0,13:22
2008-12-20,R,0,0,0,0,0,0,0,0,3,20,NSH,0,15:19
2008-12-19,R,0,0,0,-1,0,0,0,0,0,25,MIN,2,18:01
2008-12-16,H,0,0,0,0,0,0,0,0,2,14,WSH,0,10:39
2008-12-13,R,0,0,0,0,0,0,0,0,0,19,CBJ,0,13:57
2008-12-11,R,0,0,0,-1,0,0,0,0,0,18,PIT,0,13:41
2008-12-09,R,0,0,0,1,0,0,0,0,1,22,PHI,0,15:59
2008-12-08,R,0,0,0,0,0,0,0,0,1,17,TOR,0,12:34
2008-12-06,H,0,0,0,-2,0,0,0,0,1,15,ATL,0,11:40
2008-12-04,R,0,0,0,-1,0,0,0,0,1,14,WSH,2,10:24
2008-11-13,R,0,0,0,0,0,0,0,0,0,17,OTT,15,12:03
2008-11-11,H,0,0,0,0,0,0,0,0,1,15,PHI,2,10:15
2008-11-08,H,0,0,0,1,0,0,0,0,2,16,PIT,0,12:24
2008-11-06,R,0,0,0,-1,0,0,0,0,0,16,ATL,0,12:39
2008-11-04,R,0,1,1,1,0,0,0,0,1,21,NYR,0,16:21
2008-11-03,H,0,0,0,-1,0,0,0,0,0,20,CBJ,0,11:41
2008-11-01,H,0,0,0,-2,0,0,0,0,0,24,MTL,4,16:14
2008-10-30,R,0,0,0,0,0,0,0,0,3,23,PHI,0,18:05
2008-10-27,H,0,0,0,-1,0,0,0,0,0,23,NYR,0,19:05
2008-10-25,H,0,0,0,-1,0,0,0,0,2,19,CAR,0,15:02
2008-10-23,H,0,0,0,-1,0,0,0,0,1,22,DAL,0,13:13
2008-10-18,R,0,0,0,0,0,0,0,0,2,26,FLA,0,18:54
2008-10-16,R,0,0,0,1,0,0,0,0,1,21,TBL,2,16:15
2008-10-13,H,0,1,1,1,0,0,0,0,1,27,BUF,2,22:25
2008-10-11,H,0,0,0,0,0,0,0,0,1,24,STL,0,18:22
