,name,GP,SV%_x,W,L,GA,SOG,SO,TIME,CAP HIT
101,"Sorokin, Ilya",241.0,0.917,119.0,85.0,604.0,7239.0,21.0,14071.0,"$8,250,000"
102,"Stolarz, Anthony",134.0,0.916,56.0,39.0,310.0,3670.0,9.0,7103.0,"$2,500,000"
104,"Swayman, Jeremy",181.0,0.913,99.0,57.0,438.0,5007.0,16.0,10428.0,"$5,250,000"
106,"Tarasov, Daniil",62.0,0.899,19.0,32.0,197.0,1942.0,1.0,3449.0,"$1,050,000"
107,"Thompson, Logan",141.0,0.913,85.0,37.0,352.0,4054.0,7.0,8198.0,"$1,000,000"
108,"Tokarski, Dustin",86.0,0.902,27.0,36.0,239.0,2433.0,3.0,4659.0,"$2,000,000"
110,"Ullmark, Linus",281.0,0.918,156.0,84.0,683.0,8288.0,11.0,16204.0,"$5,000,000"
112,"Vanecek, Vitek",182.0,0.903,95.0,52.0,475.0,4897.0,10.0,10173.0,"$3,400,000"
113,"Varlamov, Semyon",621.0,0.916,289.0,232.0,1572.0,18623.0,41.0,35629.0,"$8,750,000"
115,"Vejmelka, Karel",183.0,0.9,62.0,92.0,556.0,5573.0,6.0,10286.0,"$2,725,000"
119,"Wedgewood, Scott",149.0,0.906,57.0,54.0,404.0,4296.0,8.0,8306.0,"$1,500,000"
120,"Wolf, Dustin",58.0,0.909,30.0,20.0,153.0,1677.0,3.0,3419.0,"$850,000"
121,"Woll, Joseph",70.0,0.909,43.0,25.0,189.0,2072.0,2.0,4093.0,"$2,000,000"
