,name,player_id,icetime,goals,unblocked_shot_attempts,rebounds,freeze,on_goal,play_stopped,play_continued_in_zone,play_continued_outside_zone,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts
0,"Joseph, Curtis",8448382,2507.1,2.5,37.4,1.05,2.95,19.15,0.7,9.55,12.05,20.4,6.35,1.9,0.75,0.9,0.85,8.75
1,"Brodeur, Martin",8455710,3459.2751677852348,2.2885906040268456,43.29194630872483,1.4798657718120805,4.567114093959732,25.01006711409396,0.7516778523489933,9.533557046979864,14.56711409395973,25.124161073825505,6.134228187919463,1.8624161073825505,0.7785234899328859,0.8288590604026845,0.6812080536912751,10.171140939597317
2,"Osgood, Chris",8458568,3407.5625,2.8625,44.4875,1.475,5.425,25.8375,1.1375,11.025,13.3875,25.85,6.95,2.275,1.0625,0.85,0.95,9.4125
3,"Fernandez, Manny",8458988,3523.0,2.5357142857142856,48.392857142857146,1.8214285714285716,6.75,28.25,0.9642857142857144,10.535714285714286,15.607142857142858,27.821428571428573,7.464285714285714,2.571428571428572,0.8214285714285714,0.8214285714285714,0.8928571428571429,10.535714285714286
4,"Khabibulin, Nikolai",8459140,3431.680981595092,2.7423312883435584,52.9079754601227,1.98159509202454,4.96319018404908,29.12269938650307,0.7484662576687117,13.01840490797546,16.300613496932517,29.687116564417177,7.803680981595092,2.374233128834356,0.9877300613496932,0.8711656441717791,0.8834355828220859,13.042944785276074
5,"Legace, Manny",8459308,3067.736842105264,2.56140350877193,47.82456140350877,1.824561403508772,5.0,24.80701754385965,0.8947368421052632,11.543859649122806,13.807017543859647,28.035087719298247,5.771929824561403,1.824561403508772,1.0526315789473684,0.7719298245614035,0.7368421052631579,12.192982456140353
6,"Weekes, Kevin",8459463,2961.0625,2.0,43.1875,1.4375,5.375,24.9375,0.375,9.625,13.5,26.0,5.0,1.375,0.75,0.625,0.625,10.8125
7,"Lalime, Patrick",8459579,3188.425531914894,2.6595744680851063,48.04255319148936,1.5319148936170213,5.382978723404255,26.8936170212766,0.5319148936170213,12.638297872340424,14.212765957446807,28.425531914893615,6.659574468085107,2.148936170212766,0.9574468085106383,0.8936170212765957,0.8085106382978723,10.808510638297872
8,"Theodore, Jose",8460535,3369.970588235294,2.57843137254902,51.36274509803921,2.122549019607843,5.578431372549019,28.33333333333333,0.8480392156862745,12.784313725490197,14.970588235294118,29.07843137254902,7.490196078431373,2.3529411764705883,0.8284313725490197,0.8872549019607843,0.8627450980392157,12.441176470588236
9,"Turco, Marty",8460612,3456.2875,2.7375,51.85,2.0125,5.80625,28.03125,0.7875,12.8125,15.11875,30.25,6.83125,2.23125,0.8875,0.96875,0.88125,12.5375
10,"Thomas, Tim",8460703,3459.730769230769,2.261538461538461,52.11923076923077,1.765384615384615,7.523076923076923,29.78846153846154,0.9923076923076924,11.442307692307692,15.66153846153846,30.142307692307693,7.1923076923076925,2.076923076923077,0.7307692307692307,0.8115384615384615,0.7192307692307692,12.707692307692309
11,"Hedberg, Johan",8460704,3330.3375,2.49375,47.175,1.6125,6.19375,26.39375,0.6625,10.83125,13.69375,26.16875,7.40625,2.0,0.8,0.94375,0.75,11.6
