PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Olofsson, Victor",VGK,"LW, RW",Left,29,11,11,22,0.0,"$1,075,000","$1,075,000",1 yrs,Std
"Leason, Brett",ANA,"RW, LW",Right,25,5,11,16,0.0,"$1,050,000","$1,050,000",1 yrs,Std
"Tarasov, Daniil",CBJ,G,Left,25,0,1,0,0.883,"$1,050,000","$1,350,000",3 yrs,Std (Ext)
"Bahl, Kevin",CGY,"LD, RD",Left,24,2,14,16,0.0,"$1,050,000","$1,200,000",2 yrs,Std
"O'Connor, Logan",COL,RW,Right,28,7,9,16,0.0,"$1,050,000","$1,250,000",3 yrs,Std (Ext)
"Kylington, Oliver",ANA,LD,Left,27,1,3,4,0.0,"$1,050,000","$1,050,000",1 yrs,Std
"Englund, Andreas",NSH,LD,Left,29,1,0,1,0.0,"$1,000,000","$1,000,000",2 yrs,Std
"Smith, Brendan",DAL,"LD, RD",Left,36,0,4,4,0.0,"$1,000,000","$1,000,000",1 yrs,35+ Contract
"Pickard, Calvin",EDM,G,Left,32,0,1,0,0.898,"$1,000,000","$1,000,000",2 yrs,Std (Ext)
"DeSmith, Casey",DAL,G,Left,33,0,1,0,0.914,"$1,000,000","$1,200,000",3 yrs,Std
"Smith, Cole",NSH,"LW, RW",Left,29,4,6,10,0.0,"$1,000,000","$1,000,000",2 yrs,Std (Ext)
"Brown, Connor",EDM,RW,Right,31,8,16,24,0.0,"$1,000,000","$1,000,000",1 yrs,Std
"Smith, Craig",DET,"RW, LW, C",Right,35,9,7,16,0.0,"$1,000,000","$1,000,000",1 yrs,Std
"Lazar, Curtis",NJD,"LW, C, RW",Right,30,2,3,5,0.0,"$1,000,000","$1,000,000",3 yrs,Std
"Rittich, David",LAK,G,Left,32,0,0,0,0.887,"$1,000,000","$1,000,000",1 yrs,Std (Ext)
"Chisholm, Declan",MIN,"RD, LD",Left,25,2,10,12,0.0,"$1,000,000","$1,000,000",1 yrs,Std
