PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Atkinson, Cam",TBL,"RW, LW",Right,35,4,5,9,0.0,"$900,000","$900,000",1 yrs,Std
"Ryan, Derek",EDM,"C, RW",Right,38,1,4,5,0.0,"$900,000","$900,000",2 yrs,Std (Ext)
"Brannstrom, Erik",BUF,"LD, RD, LW",Left,25,3,5,8,0.0,"$900,000","$900,000",1 yrs,Std
"Bryson, Jacob",BUF,"LD, RD",Left,27,0,6,6,0.0,"$900,000","$900,000",1 yrs,Std
"van Riemsdyk, James",CBJ,LW,Left,35,14,16,30,0.0,"$900,000","$900,000",1 yrs,Std
"Nieto, Matt",PIT,LW,Left,32,1,2,3,0.0,"$900,000","$900,000",2 yrs,Std
"McCarron, Michael",NSH,"C, RW",Right,30,4,6,10,0.0,"$900,000","$900,000",2 yrs,Std (Ext)
"Ludwinski, Paul",CHI,C,Left,20,0,0,0,0.0,"$900,000","$895,000",3 yrs,ELC
"Stienburg, Matt",COL,C,Right,24,0,0,0,0.0,"$898,750","$927,500",2 yrs,ELC
"Basha, Andrew",CGY,LW,Left,19,0,0,0,0.0,"$897,500","$872,500",3 yrs,ELC
"Heineman, Emil",MTL,LW,Left,23,10,7,17,0.0,"$897,500","$925,000",3 yrs,ELC
"Usau, Ilya",TBL,C,Left,23,0,0,0,0.0,"$897,500","$925,000",3 yrs,ELC
"Pyyhtia, Mikael",CBJ,LW,Left,23,4,3,7,0.0,"$897,500","$925,000",3 yrs,ELC
"Kumpulainen, Rasmus",MIN,C,Left,19,0,0,0,0.0,"$897,500","$870,000",3 yrs,ELC
"Evans, Ryker",SEA,"RD, LD",Left,23,5,18,23,0.0,"$897,500","$925,000",3 yrs,ELC
"Farrell, Sean",MTL,C,Left,23,0,0,0,0.0,"$897,500","$925,000",3 yrs,ELC
"Engstrom, Adam",MTL,"LD, RD",Left,21,0,0,0,0.0,"$896,667","$870,000",3 yrs,ELC
"Gibson, Andrew",NSH,RD,Right,20,0,0,0,0.0,"$896,667","$870,000",3 yrs,ELC
"Lardis, Nick",CHI,LW,Left,19,0,0,0,0.0,"$896,667","$870,000",3 yrs,ELC
"Myatovic, Nico",ANA,LW,Left,20,0,0,0,0.0,"$896,667","$870,000",3 yrs,ELC
"McAllister, Ryan",FLA,C,Left,23,0,0,0,0.0,"$896,667","$870,000",3 yrs,ELC
"Raty, Aku",CHI,RW,Right,23,0,0,0,0.0,"$896,250","$925,000",2 yrs,ELC
"Saarela, Antti",CHI,C,Left,23,0,0,0,0.0,"$896,250","$925,000",2 yrs,ELC
"Kovalenko, Nikolai",SJS,RW,Left,25,4,4,8,0.0,"$896,250","$867,500",2 yrs,ELC
"Cagnoni, Luca",SJS,LD,Left,20,0,0,0,0.0,"$895,000","$870,000",3 yrs,ELC
"Rolston, Ryder",NSH,RW,Right,23,0,0,0,0.0,"$895,000","$892,500",3 yrs,ELC
"Holtz, Alexander",VGK,"RW, LW",Right,23,3,8,11,0.0,"$894,167","$832,500",3 yrs,ELC
"Lucius, Chaz",WPG,C,Right,21,0,0,0,0.0,"$894,167","$925,000",3 yrs,ELC
"Guenther, Dylan",UTA,RW,Right,21,24,24,48,0.0,"$894,167","$832,500",3 yrs,ELC
"Rosen, Isak",BUF,RW,Left,22,0,0,0,0.0,"$894,167","$925,000",3 yrs,ELC
"McTavish, Mason",ANA,"C, LW",Left,22,18,20,38,0.0,"$894,167","$832,500",3 yrs,ELC
"Bourque, Mavrik",DAL,C,Right,23,9,11,20,0.0,"$894,167","$832,500",3 yrs,ELC
"Jarventie, Roby",EDM,"C, LW",Left,22,0,0,0,0.0,"$894,167","$832,500",3 yrs,ELC
"Mukhamadullin, Shakir",SJS,LD,Left,23,1,7,8,0.0,"$894,167","$832,500",3 yrs,ELC
"Edvinsson, Simon",DET,LD,Left,22,7,18,25,0.0,"$894,167","$925,000",3 yrs,ELC
"Johnston, Wyatt",DAL,"C, RW, LW",Right,21,24,36,60,0.0,"$894,167","$832,500",3 yrs,ELC
"Goyette, David",SEA,C,Left,20,0,0,0,0.0,"$891,667","$870,000",3 yrs,ELC
"Firkus, Jagger",SEA,RW,Right,20,0,0,0,0.0,"$891,667","$870,000",3 yrs,ELC
"Nyman, Jani",SEA,RW,Left,20,1,0,1,0.0,"$891,667","$870,000",3 yrs,ELC
"Kokko, Niklas",SEA,G,Left,21,0,0,0,0.667,"$891,667","$870,000",3 yrs,ELC
"Primeau, Cayden",MTL,G,Left,25,0,0,0,0.836,"$890,000","$1,100,000",3 yrs,Std
"Mateiko, Eriks",WSH,LW,Left,19,0,0,0,0.0,"$889,167","$872,500",3 yrs,ELC
"Protas, Ilya",WSH,LW,Left,18,0,0,0,0.0,"$889,167","$872,500",3 yrs,ELC
"Lambert, Brad",WPG,C,Right,21,0,1,1,0.0,"$886,667","$950,000",3 yrs,ELC
"Allen, Cam",WSH,RD,Right,20,0,0,0,0.0,"$886,667","$870,000",3 yrs,ELC
"Geekie, Conor",TBL,C,Left,20,6,6,12,0.0,"$886,667","$950,000",3 yrs,ELC
"Mateychuk, Denton",CBJ,LD,Left,20,3,3,6,0.0,"$886,667","$950,000",3 yrs,ELC
"Mesar, Filip",MTL,RW,Right,21,0,0,0,0.0,"$886,667","$950,000",3 yrs,ELC
"Kulich, Jiri",BUF,"RW, C",Left,20,12,7,19,0.0,"$886,667","$950,000",3 yrs,ELC
"Kemell, Joakim",NSH,RW,Right,20,0,0,0,0.0,"$886,667","$950,000",3 yrs,ELC
"Blomqvist, Joel",PIT,G,Left,23,0,0,0,0.885,"$886,667","$867,500",3 yrs,ELC
"Ohgren, Liam",MIN,LW,Left,21,1,3,4,0.0,"$886,667","$950,000",3 yrs,ELC
"Kasper, Marco",DET,C,Left,20,12,14,26,0.0,"$886,667","$950,000",3 yrs,ELC
"Savoie, Matthew",EDM,C,Right,21,0,1,1,0.0,"$886,667","$950,000",3 yrs,ELC
"Lamoureux, Maveric",UTA,RD,Right,21,1,2,3,0.0,"$886,667","$950,000",3 yrs,ELC
"Gaucher, Nathan",ANA,C,Right,21,0,0,0,0.0,"$886,667","$950,000",3 yrs,ELC
"Ostlund, Noah",BUF,C,Left,21,0,0,0,0.0,"$886,667","$950,000",3 yrs,ELC
"Pickering, Owen",PIT,LD,Left,21,1,2,3,0.0,"$886,667","$950,000",3 yrs,ELC
"Schaefer, Reid",NSH,LW,Left,21,0,0,0,0.0,"$886,667","$950,000",3 yrs,ELC
"Wright, Shane",SEA,"C, LW",Right,21,15,23,38,0.0,"$886,667","$950,000",3 yrs,ELC
"Mitchell, Travis",NYI,LD,Left,25,0,0,0,0.0,"$882,500","$895,000",2 yrs,ELC
"Bjarnason, Carson",PHI,G,Left,19,0,0,0,0.0,"$881,667","$870,000",3 yrs,ELC
"Pulkkinen, Jesse",NYI,LD,Left,20,0,0,0,0.0,"$880,833","$872,500",3 yrs,ELC
"Clang, Calle",ANA,G,Left,22,0,0,0,0.0,"$878,333","$925,000",3 yrs,ELC
"Kyrou, Christian",DAL,RD,Right,21,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Clara, Damian",ANA,G,Left,20,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Soderblom, Elmer",DET,LW,Left,23,3,5,8,0.0,"$878,333","$925,000",3 yrs,ELC
"Sawchyn, Gracyn",FLA,C,Right,20,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Lopina, Josh",ANA,C,Right,24,0,0,0,0.0,"$878,333","$925,000",3 yrs,ELC
"Pinelli, Luca",CBJ,C,Left,19,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Misiak, Martin",CHI,RW,Left,20,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Bertucci, Tristan",DAL,LD,Left,19,0,0,0,0.0,"$878,333","$870,000",3 yrs,ELC
"Chibrikov, Nikita",WPG,RW,Left,22,2,1,3,0.0,"$875,833","$867,500",3 yrs,ELC
"Schmid, Akira",VGK,G,Left,24,0,0,0,1.0,"$875,000","$875,000",2 yrs,Std
"Laferriere, Alex",LAK,"RW, LW",Right,23,15,17,32,0.0,"$875,000","$875,000",3 yrs,ELC
"Webber, Cade",TOR,LD,Left,24,0,0,0,0.0,"$875,000","$875,000",2 yrs,ELC
"George, Carter",LAK,G,Left,18,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
"Brunicke, Harrison",PIT,RD,Right,18,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
"Belliveau, Isaac",PIT,LD,Left,22,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
"Quillan, Jacob",TOR,C,Left,23,0,0,0,0.0,"$875,000","$875,000",2 yrs,ELC
"Lankinen, Kevin",VAN,G,Left,29,0,1,0,0.904,"$875,000","$875,000",1 yrs,Std
"Mailloux, Logan",MTL,RD,Right,21,2,2,4,0.0,"$875,000","$925,000",3 yrs,ELC
"Murray, Matt",TOR,G,Left,30,0,0,0,0.879,"$875,000","$875,000",1 yrs,Std
"Robertson, Nicholas",TOR,"LW, RW",Left,23,11,6,17,0.0,"$875,000","$875,000",1 yrs,Std
"Grebenkin, Nikita",PHI,RW,Left,21,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
"Hlavaj, Samuel",MIN,G,Left,23,0,0,0,0.0,"$875,000","$870,000",2 yrs,ELC
"Howe, Tanner",PIT,LW,Left,19,0,0,0,0.0,"$875,000","$875,000",3 yrs,ELC
"Nesterenko, Nikita",ANA,"LW, C",Left,23,1,1,2,0.0,"$874,125","$874,125",1 yrs,Std
"Bordeleau, Thomas",SJS,"LW, RW, C",Left,23,0,0,0,0.0,"$874,125","$874,125",1 yrs,Std
"Pacioretty, Max",TOR,"LW, RW",Left,36,5,8,13,0.0,"$873,770","$873,770",1 yrs,Std
"Cristall, Andrew",WSH,LW,Left,20,0,0,0,0.0,"$873,333","$870,000",3 yrs,ELC
"Bradley, Chase",COL,LW,Left,23,0,0,0,0.0,"$872,500","$872,500",2 yrs,ELC
"Saarinen, Kim",SEA,G,Left,18,0,0,0,0.0,"$872,500","$872,500",3 yrs,ELC
"Gaucher, Jacob",PHI,C,Right,24,0,0,0,0.0,"$870,500","$870,500",2 yrs,ELC
"Fulp, Aidan",NYI,RD,Right,25,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Kaskimaki, Aleksanteri",STL,C,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Doucet, Alexandre",DET,LW,Left,23,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Hyry, Arttu",DAL,RW,Right,23,0,1,1,0.0,"$870,000","$870,000",2 yrs,ELC
"Squires, Cam",NJD,RW,Right,19,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Thiesing, Camden",NYI,C,Right,23,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Felton, Christian",VAN,RD,Right,25,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Sedoff, Christoffer",VGK,LD,Left,23,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Punnett, Connor",DAL,LD,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Wendt, Dylan",NJD,RW,Right,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Gill, Dyllan",TBL,RD,Right,20,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Lilleberg, Emil",TBL,"LD, RD",Left,24,0,14,14,0.0,"$870,000","$870,000",2 yrs,ELC
"Szturc, Gabriel",TBL,C,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Dvorak, Jakub",LAK,LD,Left,19,0,0,0,0.0,"$870,000","$900,000",3 yrs,ELC
"Rychlovsky, Jakub",DET,LW,Left,23,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Stefan, James",EDM,RW,Right,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Nelson, Jaxon",BOS,C,Right,24,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Innala, Jere",COL,LW,Left,26,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Nurmi, Jesse",NYI,LW,Left,20,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Pekarcik, Juraj",STL,LW,Left,19,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Hryckowian, Justin",DAL,C,Left,24,0,1,1,0.0,"$870,000","$870,000",2 yrs,ELC
"McDonald, Kyle",DAL,RW,Right,23,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Roed, Lleyton",SEA,LW,Left,22,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Morrison, Logan",SEA,C,Right,22,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Krys, Luke",DAL,RD,Right,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Toporowski, Luke",MIN,LW,Left,23,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Maggio, Matthew",NYI,RW,Right,22,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Poitras, Matthew",BOS,"C, LW, RW",Right,21,1,10,11,0.0,"$870,000","$870,000",3 yrs,ELC
"Sasson, Max",VAN,C,Left,24,2,4,6,0.0,"$870,000","$870,000",2 yrs,ELC
"Matikka, Miko",UTA,RW,Right,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Roelens, Milo",TBL,C,Left,22,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Okuliar, Oliver",FLA,LW,Left,24,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Pavel, Ondrej",NSH,C,Left,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Dube, Pierrick",WSH,RW,Right,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Burns, Quinton",STL,LD,Left,19,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Morton, Sam",CGY,C,Left,25,0,0,0,0.0,"$870,000","$870,000",1 yrs,Std
"Johannesson, Samuel",STL,RD,Right,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Suchanek, Tomas",ANA,G,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Nielsen, Tristen",VAN,C,Left,25,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Robertson, Tucker",SEA,C,Right,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Mueller, Ty",VAN,C,Left,22,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Brennan, Tyler",NJD,G,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Mancini, Victor",VAN,RD,Right,22,1,4,5,0.0,"$870,000","$870,000",2 yrs,ELC
"Ostman, Victor",SEA,G,Left,24,0,0,0,0.0,"$870,000","$870,000",2 yrs,ELC
"Neuchev, Viktor",BUF,LW,Left,21,0,0,0,0.0,"$870,000","$870,000",3 yrs,ELC
"Ignatjew, Waltteri",CGY,G,Left,25,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Skoog, Wilmer",FLA,C,Left,25,0,0,0,0.0,"$870,000","$870,000",1 yrs,ELC
"Allard, Owen",UTA,C,Left,21,0,0,0,0.0,"$869,167","$872,500",3 yrs,ELC
"Badinka, Dominik",CAR,RD,Right,19,0,0,0,0.0,"$869,050","$872,500",3 yrs,ELC
"Jefferies, Alex",NYI,LW,Right,23,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Tuomisto, Antti",DET,RD,Right,24,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Berard, Brett",NYR,LW,Left,22,4,4,8,0.0,"$867,500","$867,500",3 yrs,ELC
"Bankier, Caedan",MIN,C,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Misyul, Daniil",BOS,LD,Left,24,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Bavaro, Drew",BOS,RD,Right,24,0,0,0,0.0,"$867,500","$867,500",1 yrs,ELC
"Duke, Dylan",TBL,LW,Left,22,1,0,1,0.0,"$867,500","$867,500",3 yrs,ELC
"Peterson, Dylan",STL,C,Right,23,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Liukas, Eetu",NYI,LW,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Cardwell, Ethan",SJS,RW,Right,22,1,0,1,0.0,"$867,500","$867,500",3 yrs,ELC
"Malek, Jakub",NJD,G,Left,22,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Chmelar, Jaroslav",NYR,RW,Right,21,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Grubbe, Jayden",EDM,C,Right,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Struble, Jayden",MTL,"RD, LD",Left,23,2,7,9,0.0,"$867,500","$867,500",2 yrs,ELC
"Ertel, Justin",DAL,LW,Left,21,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Loof, Leo",STL,LD,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Chrona, Magnus",NSH,G,Left,24,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Groshev, Maxim",TBL,RW,Left,23,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Crozier, Maxwell",TBL,RD,Right,24,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Novikov, Nikita",BUF,LD,Left,21,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Huuhtanen, Niko",TBL,RW,Right,21,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Becher, Ondrej",DET,C,Left,21,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Ford, Parker",WPG,C,Right,24,1,0,1,0.0,"$867,500","$867,500",2 yrs,ELC
"Duran, Riley",BOS,C,Right,23,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Robertsson, Simon",STL,RW,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Kuntar, Trevor",BOS,C,Left,23,0,0,0,0.0,"$867,500","$867,500",2 yrs,ELC
"Lennox, Tristan",NYI,G,Left,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Ottavainen, Ville",SEA,RD,Right,22,0,0,0,0.0,"$867,500","$867,500",3 yrs,ELC
"Xhekaj, Florian",MTL,LW,Left,20,0,0,0,0.0,"$866,667","$870,000",3 yrs,ELC
"Stancl, Jakub",STL,C,Left,19,0,0,0,0.0,"$866,667","$865,000",3 yrs,ELC
"Goldsmith, Terrell",UTA,LD,Left,19,0,0,0,0.0,"$866,667","$870,000",3 yrs,ELC
"Price, Caden",SEA,LD,Left,19,0,0,0,0.0,"$865,833","$867,500",3 yrs,ELC
"Haight, Hunter",MIN,C,Right,20,0,0,0,0.0,"$865,833","$870,000",3 yrs,ELC
"Wahlberg, Anton",BUF,C,Left,19,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Gauthier, Ethan",TBL,RW,Right,20,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Hayes, Gavin",CHI,LW,Right,20,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Gojsic, Hiroki",NSH,RW,Right,18,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
"Masters, Kyle",MIN,RD,Right,21,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
"Alscher, Marek",FLA,LD,Left,20,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Warren, Noah",ANA,RD,Right,20,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Nordh, Noel",UTA,LW,Left,20,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
"Ratzlaff, Scott",BUF,G,Left,20,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
"Luneau, Tristan",ANA,RD,Right,21,0,0,0,0.0,"$865,000","$870,000",3 yrs,ELC
"Sidorov, Yegor",ANA,RW,Left,20,0,0,0,0.0,"$865,000","$865,000",3 yrs,ELC
"Nause, Evan",FLA,LD,Left,22,0,0,0,0.0,"$864,167","$892,500",3 yrs,ELC
"Akey, Beau",EDM,RD,Right,20,0,0,0,0.0,"$863,333","$870,000",3 yrs,ELC
"Clarke, Brandt",LAK,RD,Right,22,5,22,27,0.0,"$863,333","$832,500",3 yrs,ELC
"Othmann, Brennan",NYR,LW,Left,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Lambos, Carson",MIN,LD,Left,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Stillman, Chase",PIT,RW,Right,21,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Zary, Connor",CGY,"LW, C",Left,23,12,12,24,0.0,"$863,333","$832,500",3 yrs,ELC
"Lysell, Fabian",BOS,RW,Right,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Lapierre, Hendrix",WSH,"C, RW",Left,23,0,8,8,0.0,"$863,333","$832,500",3 yrs,ELC
"Quinn, Jack",BUF,RW,Right,23,10,14,24,0.0,"$863,333","$832,500",3 yrs,ELC
"Perreault, Jacob",EDM,RW,Right,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Guhle, Kaiden",MTL,"LD, RD",Left,23,4,10,14,0.0,"$863,333","$832,500",3 yrs,ELC
"Vaisanen, Kalle",NYR,LW,Right,22,0,0,0,0.0,"$863,333","$860,000",3 yrs,ELC
"Rossi, Marco",MIN,C,Left,23,21,32,53,0.0,"$863,333","$832,500",3 yrs,ELC
"Andonovski, Matthew",OTT,LD,Left,20,0,0,0,0.0,"$863,333","$855,000",3 yrs,ELC
"Olausson, Oskar",COL,RW,Left,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Greig, Ridly",OTT,"C, LW, RW",Left,22,11,12,23,0.0,"$863,333","$832,500",3 yrs,ELC
"Cossa, Sebastian",DET,G,Left,22,0,0,0,0.857,"$863,333","$832,500",3 yrs,ELC
"Boucher, Tyler",OTT,RW,Right,22,0,0,0,0.0,"$863,333","$832,500",3 yrs,ELC
"Foerster, Tyson",PHI,"LW, RW",Right,23,16,14,30,0.0,"$863,333","$832,500",3 yrs,ELC
"Eklund, William",SJS,"LW, RW, C",Left,22,14,35,49,0.0,"$863,333","$832,500",3 yrs,ELC
"L'Heureux, Zachary",NSH,LW,Left,21,4,9,13,0.0,"$863,333","$832,500",3 yrs,ELC
"Bolduc, Zack",STL,"RW, LW, C",Left,22,12,13,25,0.0,"$863,333","$832,500",3 yrs,ELC
"Wheatcroft, Chase",DAL,C,Left,22,0,0,0,0.0,"$862,500","$870,000",3 yrs,ELC
"Spacek, David",MIN,RD,Right,22,0,0,0,0.0,"$862,500","$862,500",3 yrs,ELC
"Trikozov, Gleb",CAR,LW,Right,20,0,0,0,0.0,"$862,500","$862,500",3 yrs,ELC
"Davidson, Jared",MTL,C,Left,22,0,0,0,0.0,"$862,500","$860,000",2 yrs,ELC
"Gunler, Noel",CAR,"RW, LW",Right,23,0,0,0,0.0,"$862,500","$862,500",3 yrs,ELC
"Edmonds, Lucas",NYR,RW,Right,24,0,0,0,0.0,"$861,667","$870,000",3 yrs,ELC
"Milne, Michael",MIN,LW,Left,22,0,0,0,0.0,"$861,667","$870,000",3 yrs,ELC
"Burke, Nolan",SJS,C,Left,22,0,0,0,0.0,"$861,667","$870,000",3 yrs,ELC
"Murashov, Sergey",PIT,G,Right,20,0,0,0,0.0,"$861,110","$861,110",3 yrs,ELC
"Gendron, Alexis",PHI,RW,Left,21,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Guryev, Artem",SJS,LD,Left,21,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Ungar, Connor",EDM,G,Left,23,0,0,0,0.0,"$860,000","$860,000",2 yrs,ELC
"Pitre, Coulson",ANA,RW,Right,20,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Brunet, Frederic",BOS,LD,Left,21,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Dumais, Jordan",CBJ,RW,Right,20,0,0,0,0.0,"$860,000","$870,000",3 yrs,ELC
"Johansson, Loke",BOS,LD,Left,19,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Del Bel Belluz, Luca",CBJ,C,Left,21,2,6,8,0.0,"$860,000","$870,000",3 yrs,ELC
"Alriksson, Vilmer",VAN,LW,Left,20,0,0,0,0.0,"$860,000","$860,000",3 yrs,ELC
"Kisakov, Aleksandr",BUF,LW,Left,22,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"MacArthur, Bennett",BUF,LW,Left,24,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Trineyev, Bogdan",WSH,RW,Right,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Hanas, Cross",DET,LW,Left,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Rybinski, Henrik",WSH,RW,Right,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Luypen, Jalen",CHI,C,Left,22,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Frasca, Jordan",NSH,C,Left,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Nousiainen, Kim",LAK,LD,Left,24,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Szuber, Maksymilian",UTA,"RD, LD",Left,22,0,0,0,0.0,"$859,167","$860,000",3 yrs,ELC
"Staios, Nathan",FLA,LD,Left,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Korczak, Ryder",TBL,C,Right,22,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Gauthier, Taylor",PIT,G,Right,24,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Glover, Ty",VAN,C,Left,24,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Kartye, Tye",SEA,"LW, RW, C",Left,23,4,4,8,0.0,"$859,167","$867,500",3 yrs,ELC
"Dufour, William",COL,RW,Right,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Uens, Zachary",FLA,LD,Left,23,0,0,0,0.0,"$859,167","$867,500",3 yrs,ELC
"Butler, Cameron",CBJ,RW,Right,22,0,0,0,0.0,"$858,333","$857,500",3 yrs,ELC
"McCue, Max",CBJ,C,Left,22,0,0,0,0.0,"$858,333","$857,500",3 yrs,ELC
"Vikman, Jesper",VGK,G,Left,23,0,0,0,0.0,"$858,000","$858,000",3 yrs,ELC
"White, Gavin",DAL,RD,Right,22,0,0,0,0.0,"$857,500","$870,000",3 yrs,ELC
"Bell, Parker",CGY,LW,Left,21,0,0,0,0.0,"$857,500","$857,500",3 yrs,ELC
"Hirvonen, Roni",TOR,C,Left,23,0,0,0,0.0,"$856,667","$860,000",3 yrs,ELC
"Niemela, Topi",TOR,RD,Right,22,0,0,0,0.0,"$856,667","$860,000",3 yrs,ELC
"Trudeau, William",MTL,LD,Left,22,0,0,0,0.0,"$856,667","$860,000",3 yrs,ELC
"Del Mastro, Ethan",CHI,"RD, LD",Left,22,2,2,4,0.0,"$855,833","$867,500",3 yrs,ELC
"St. Martin, Hunter",FLA,LW,Left,19,0,0,0,0.0,"$855,833","$855,000",3 yrs,ELC
"Peterka, JJ",BUF,"RW, LW",Left,23,19,32,51,0.0,"$855,833","$832,500",3 yrs,ELC
"O'Rourke, Ryan",MIN,LD,Left,22,0,0,0,0.0,"$855,833","$832,500",3 yrs,ELC
"Gylander, Carter",DET,G,Left,23,0,0,0,0.0,"$855,000","$855,000",2 yrs,ELC
