player_id,gameCount,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,pim
8475172,65,23,25,48,-20,5,5,2,0,221,1504,63
8477003,4,0,0,0,-2,0,0,0,0,4,44,2
8477956,68,34,48,82,-5,7,7,4,3,280,1588,34
8477942,64,25,19,44,-9,9,9,4,0,189,1277,36
8475833,1,0,0,0,-1,0,0,0,0,0,16,0
8481024,4,0,0,0,0,0,0,0,0,4,57,0
8480448,66,7,10,17,-6,0,0,1,0,76,1265,25
8478495,66,7,10,17,-9,1,1,0,0,116,1140,10
8484149,1,0,0,0,0,0,0,0,0,0,14,0
8451774,41,9,19,28,-5,5,5,2,0,84,961,28
8478480,3,0,0,0,0,0,0,0,0,3,43,0
8477943,23,4,1,5,-2,0,0,0,0,24,246,6
8475832,28,3,3,6,-4,0,0,1,0,28,450,2
8475826,3,0,0,0,0,0,0,0,0,3,23,2
8481019,29,1,4,5,9,0,0,0,0,26,401,7
8471498,46,2,12,14,2,0,0,2,0,54,811,15
8477957,8,1,0,1,-4,0,0,0,0,12,114,2
8475198,1,0,0,0,0,0,0,0,0,0,2,0
8475173,1,0,0,0,0,0,0,0,0,0,13,2
8479991,1,0,0,0,-1,0,0,0,0,0,10,0
8456966,50,18,21,39,6,8,8,3,0,101,1039,36
8460542,16,2,6,8,5,0,0,0,0,21,340,10
8460556,40,7,3,10,-14,0,0,0,0,54,686,14
8477994,4,0,0,0,-3,0,0,0,0,2,76,0
8483424,1,0,0,0,-1,0,0,0,0,0,14,0
8480893,63,25,37,62,31,2,2,2,1,166,1324,18
8468485,5,3,2,5,4,0,0,0,0,9,86,7
8471856,53,1,13,14,-1,0,0,1,0,42,777,29
8473927,3,0,0,0,-1,0,0,0,0,2,48,0
8478866,72,3,10,13,0,0,0,1,0,88,1046,34
8482074,49,12,12,24,-7,1,1,2,1,96,932,14
8471842,13,2,0,2,-3,0,0,1,0,24,241,2
8482712,1,0,0,0,0,0,0,0,0,0,9,0
8474709,24,0,1,1,-2,0,0,0,0,12,273,10
8478133,66,12,17,29,0,0,0,5,0,60,1291,10
8477566,2,0,1,1,0,0,0,0,0,2,29,0
8481596,54,16,12,28,8,1,1,5,0,106,1416,16
8481582,56,11,7,18,-5,2,2,1,0,87,925,6
8480844,6,0,0,0,-3,0,0,0,0,5,90,2
8483395,8,0,0,0,-5,0,0,0,0,4,138,6
8476888,32,4,8,12,-2,0,0,1,0,36,549,6
8477228,2,0,0,0,0,0,0,0,0,3,27,0
8482896,12,1,0,1,-2,0,0,0,0,7,196,0
8484203,1,0,0,0,-3,0,0,0,0,3,22,0
8466292,50,3,3,6,-12,0,0,0,0,22,608,54
8478047,60,14,15,29,-20,9,9,1,0,111,1155,50
8479359,61,4,5,9,-15,0,0,0,0,51,929,25
8469638,60,5,12,17,2,0,0,1,0,73,1024,12
8468526,80,4,5,9,-1,0,0,0,0,49,1495,36
8477406,64,2,15,17,-6,0,0,0,0,40,1083,16
8482699,54,24,24,48,3,11,11,8,3,162,1118,20
8479365,57,8,7,15,-14,1,1,0,0,76,1084,44
8474641,65,8,9,17,3,0,0,2,0,81,1247,12
