,Unnamed: 0,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position,salary
0,0,A.J. Greer,1.2435897435897436,0.3162393162393162,0.0811965811965812,0.0384615384615384,0.1581196581196581,1.9615384615384612,0.0341880341880341,0.8632478632478633,0.0085470085470085,0.3376068376068376,0.3418803418803419,1.1025641025641026,0.9786324786324786,0.2051282051282051,0.0213675213675213,0.1196581196581196,13.153846153846152,1.7863247863247864,1.017094017094017,0.2179487179487179,0.1623931623931624,0.0982905982905982,234,534.5299145299145,0.0155128205128205,0.0158974358974358,0.282051282051282,0.3717948717948718,0.1239316239316239,1,F,950000
1,1,Aaron Downey,0.0,0.5,0.25,0.0,0.0,2.75,0.0,0.25,0.25,0.25,0.0,1.75,1.75,0.5,0.0,0.0,8.5,0.5,0.5,0.0,0.0,0.0,4,312.5,0.1125,0.12,0.5,0.25,0.25,1,F,950000
2,3,Aaron Gagnon,1.5,0.0526315789473684,0.0789473684210526,0.0,0.0789473684210526,0.631578947368421,0.0263157894736842,0.9210526315789472,0.0526315789473684,0.2105263157894736,0.4736842105263157,1.394736842105263,0.0526315789473684,0.131578947368421,0.0,0.0263157894736842,12.657894736842104,1.5526315789473684,0.7368421052631579,0.2894736842105263,2.026315789473684,2.263157894736842,38,502.89473684210526,0.0526315789473684,0.0521052631578947,0.0263157894736842,0.3684210526315789,0.0526315789473684,1,F,950000
3,7,Aaron Palushaj,1.2205882352941178,0.1911764705882352,0.0441176470588235,0.0,0.0441176470588235,0.9705882352941176,0.0294117647058823,1.1323529411764706,0.0147058823529411,0.2352941176470588,0.3676470588235294,1.2058823529411764,0.2647058823529412,0.2058823529411764,0.0,0.0735294117647058,12.794117647058824,1.897058823529412,1.0441176470588236,0.25,0.1764705882352941,0.0294117647058823,68,542.2941176470588,0.0313235294117647,0.03,0.2794117647058823,0.3676470588235294,0.1617647058823529,1,F,950000
4,9,Aaron Volpatti,1.0350877192982455,0.0964912280701754,0.043859649122807,0.0175438596491228,0.0526315789473684,2.254385964912281,0.0175438596491228,0.6403508771929824,0.0087719298245614,0.1228070175438596,0.2631578947368421,1.087719298245614,1.1140350877192982,0.0614035087719298,0.0175438596491228,0.043859649122807,11.289473684210526,1.149122807017544,0.5526315789473685,0.0964912280701754,0.0964912280701754,0.0789473684210526,114,476.3070175438597,0.02,0.0214035087719298,0.219298245614035,0.2807017543859649,0.0175438596491228,1,F,950000
5,10,Aaron Voros,0.8037383177570093,0.102803738317757,0.102803738317757,0.0373831775700934,0.0654205607476635,1.7102803738317758,0.0373831775700934,0.8598130841121495,0.02803738317757,0.3457943925233644,0.3271028037383177,1.5327102803738315,2.205607476635514,0.2242990654205607,0.0093457943925233,0.0934579439252336,12.757009345794392,1.4953271028037385,0.9439252336448598,0.1121495327102803,0.1214953271028037,0.102803738317757,107,530.196261682243,0.0141121495327102,0.014018691588785,0.4953271028037383,0.1869158878504672,0.1214953271028037,1,F,950000
6,12,Aatu Raty,0.9444444444444444,0.25,0.1111111111111111,0.0,0.0,2.0,0.0277777777777777,0.8055555555555556,0.0833333333333333,0.1944444444444444,0.1666666666666666,2.1666666666666665,0.3333333333333333,0.1944444444444444,0.0,0.0,13.916666666666666,1.3611111111111112,0.8333333333333334,0.1388888888888889,3.2777777777777777,4.083333333333333,36,542.1944444444445,0.0277777777777777,0.0277777777777777,0.0555555555555555,0.25,0.0833333333333333,1,F,950000
7,14,Adam Beckman,1.3043478260869563,0.0869565217391304,0.0,0.0,0.0869565217391304,0.7391304347826086,0.0,1.173913043478261,0.0,0.4782608695652174,0.6086956521739131,1.1304347826086956,0.1739130434782608,0.1304347826086956,0.0,0.0869565217391304,13.0,2.347826086956522,1.1304347826086956,0.217391304347826,0.0434782608695652,0.0,23,602.4347826086956,0.0647826086956521,0.0634782608695652,0.1739130434782608,0.2608695652173913,0.1304347826086956,1,F,950000
8,16,Adam Brooks,0.9767441860465116,0.1860465116279069,0.1395348837209302,0.0697674418604651,0.0930232558139534,0.5813953488372093,0.0465116279069767,0.4186046511627907,0.0232558139534883,0.2325581395348837,0.1395348837209302,1.255813953488372,0.0465116279069767,0.2558139534883721,0.0232558139534883,0.0465116279069767,13.046511627906977,0.9302325581395348,0.6046511627906976,0.2093023255813953,1.1395348837209305,0.813953488372093,43,552.6976744186046,0.0334883720930232,0.0332558139534883,0.0697674418604651,0.2093023255813953,0.1162790697674418,1,F,950000
9,17,Adam Burish,3.6597222222222223,0.1458333333333333,0.0798611111111111,0.0173611111111111,0.0972222222222222,1.0451388888888888,0.03125,1.1458333333333333,0.03125,0.3194444444444444,0.40625,1.75,0.8611111111111112,0.1805555555555555,0.0069444444444444,0.0625,17.586805555555557,1.8611111111111112,1.15625,0.1875,2.34375,2.5902777777777777,288,689.4513888888889,0.0101388888888888,0.0104513888888888,0.3159722222222222,0.7395833333333334,0.1006944444444444,1,F,2000000
