,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position
0,A.J. Greer,1.2435897435897436,0.3162393162393162,0.0811965811965812,0.038461538461538464,0.1581196581196581,1.9615384615384615,0.03418803418803419,0.8632478632478633,0.008547008547008548,0.33760683760683763,0.3418803418803419,1.1025641025641026,0.9786324786324786,0.20512820512820512,0.021367521367521368,0.11965811965811966,13.153846153846153,1.7863247863247864,1.017094017094017,0.21794871794871795,0.1623931623931624,0.09829059829059829,234,534.5299145299145,0.015512820512820512,0.015897435897435898,0.28205128205128205,0.3717948717948718,0.12393162393162394,1,F
1,Aaron Downey,0.0,0.5,0.25,0.0,0.0,2.75,0.0,0.25,0.25,0.25,0.0,1.75,1.75,0.5,0.0,0.0,8.5,0.5,0.5,0.0,0.0,0.0,4,312.5,0.1125,0.12,0.5,0.25,0.25,1,F
3,Aaron Gagnon,1.5,0.05263157894736842,0.07894736842105263,0.0,0.07894736842105263,0.631578947368421,0.02631578947368421,0.9210526315789473,0.05263157894736842,0.21052631578947367,0.47368421052631576,1.394736842105263,0.05263157894736842,0.13157894736842105,0.0,0.02631578947368421,12.657894736842104,1.5526315789473684,0.7368421052631579,0.2894736842105263,2.026315789473684,2.263157894736842,38,502.89473684210526,0.05263157894736842,0.05210526315789474,0.02631578947368421,0.3684210526315789,0.05263157894736842,1,F
7,Aaron Palushaj,1.2205882352941178,0.19117647058823528,0.04411764705882353,0.0,0.04411764705882353,0.9705882352941176,0.029411764705882353,1.1323529411764706,0.014705882352941176,0.23529411764705882,0.36764705882352944,1.2058823529411764,0.2647058823529412,0.20588235294117646,0.0,0.07352941176470588,12.794117647058824,1.8970588235294117,1.0441176470588236,0.25,0.17647058823529413,0.029411764705882353,68,542.2941176470588,0.0313235294117647,0.03,0.27941176470588236,0.36764705882352944,0.16176470588235295,1,F
9,Aaron Volpatti,1.0350877192982457,0.09649122807017543,0.043859649122807015,0.017543859649122806,0.05263157894736842,2.254385964912281,0.017543859649122806,0.6403508771929824,0.008771929824561403,0.12280701754385964,0.2631578947368421,1.087719298245614,1.1140350877192982,0.06140350877192982,0.017543859649122806,0.043859649122807015,11.289473684210526,1.1491228070175439,0.5526315789473685,0.09649122807017543,0.09649122807017543,0.07894736842105263,114,476.3070175438597,0.020000000000000004,0.021403508771929824,0.21929824561403508,0.2807017543859649,0.017543859649122806,1,F
10,Aaron Voros,0.8037383177570093,0.102803738317757,0.102803738317757,0.037383177570093455,0.06542056074766354,1.7102803738317758,0.037383177570093455,0.8598130841121495,0.028037383177570093,0.34579439252336447,0.32710280373831774,1.5327102803738317,2.205607476635514,0.22429906542056074,0.009345794392523364,0.09345794392523364,12.757009345794392,1.4953271028037383,0.9439252336448598,0.11214953271028037,0.12149532710280374,0.102803738317757,107,530.196261682243,0.014112149532710281,0.014018691588785047,0.4953271028037383,0.18691588785046728,0.12149532710280374,1,F
12,Aatu Raty,0.9444444444444444,0.25,0.1111111111111111,0.0,0.0,2.0,0.027777777777777776,0.8055555555555556,0.08333333333333333,0.19444444444444445,0.16666666666666666,2.1666666666666665,0.3333333333333333,0.19444444444444445,0.0,0.0,13.916666666666666,1.3611111111111112,0.8333333333333334,0.1388888888888889,3.2777777777777777,4.083333333333333,36,542.1944444444445,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.25,0.08333333333333333,1,F
14,Adam Beckman,1.3043478260869565,0.08695652173913043,0.0,0.0,0.08695652173913043,0.7391304347826086,0.0,1.173913043478261,0.0,0.4782608695652174,0.6086956521739131,1.1304347826086956,0.17391304347826086,0.13043478260869565,0.0,0.08695652173913043,13.0,2.347826086956522,1.1304347826086956,0.21739130434782608,0.043478260869565216,0.0,23,602.4347826086956,0.06478260869565218,0.06347826086956522,0.17391304347826086,0.2608695652173913,0.13043478260869565,1,F
16,Adam Brooks,0.9767441860465116,0.18604651162790697,0.13953488372093023,0.06976744186046512,0.09302325581395349,0.5813953488372093,0.046511627906976744,0.4186046511627907,0.023255813953488372,0.23255813953488372,0.13953488372093023,1.255813953488372,0.046511627906976744,0.2558139534883721,0.023255813953488372,0.046511627906976744,13.046511627906977,0.9302325581395349,0.6046511627906976,0.20930232558139536,1.1395348837209303,0.813953488372093,43,552.6976744186046,0.03348837209302325,0.033255813953488374,0.06976744186046512,0.20930232558139536,0.11627906976744186,1,F
17,Adam Burish,3.6597222222222223,0.14583333333333334,0.0798611111111111,0.017361111111111112,0.09722222222222222,1.0451388888888888,0.03125,1.1458333333333333,0.03125,0.3194444444444444,0.40625,1.75,0.8611111111111112,0.18055555555555555,0.006944444444444444,0.0625,17.586805555555557,1.8611111111111112,1.15625,0.1875,2.34375,2.5902777777777777,288,689.4513888888889,0.010138888888888888,0.01045138888888889,0.3159722222222222,0.7395833333333334,0.10069444444444445,1,F
19,Adam Cracknell,1.3761904761904762,0.18095238095238095,0.1,0.014285714285714285,0.07142857142857142,1.7190476190476192,0.03333333333333333,1.2190476190476192,0.05238095238095238,0.35714285714285715,0.48095238095238096,1.5666666666666667,0.21904761904761905,0.20476190476190476,0.009523809523809525,0.08095238095238096,15.147619047619047,2.1285714285714286,1.1666666666666667,0.3238095238095238,2.6142857142857143,1.7904761904761906,210,612.4190476190477,0.020523809523809527,0.019857142857142858,0.17142857142857143,0.44761904761904764,0.10476190476190476,1,F
20,Adam Edstrom,2.274193548387097,0.3709677419354839,0.11290322580645161,0.016129032258064516,0.1935483870967742,2.0,0.03225806451612903,0.43548387096774194,0.06451612903225806,0.45161290322580644,0.3225806451612903,0.9193548387096774,0.3064516129032258,0.1774193548387097,0.0,0.04838709677419355,13.419354838709678,1.3225806451612903,0.7580645161290323,0.12903225806451613,0.06451612903225806,0.0,62,547.2258064516129,0.013387096774193549,0.012096774193548387,0.20967741935483872,0.5806451612903226,0.06451612903225806,1,F
21,Adam Erne,1.870712401055409,0.24010554089709762,0.10817941952506596,0.029023746701846966,0.10290237467018469,2.321899736147757,0.04221635883905013,1.0817941952506596,0.036939313984168866,0.43271767810026385,0.43799472295514513,2.0923482849604222,0.42216358839050133,0.24010554089709762,0.0158311345646438,0.08970976253298153,16.445910290237467,2.0395778364116093,1.1794195250659631,0.21372031662269128,0.24802110817941952,0.2796833773087071,379,723.8970976253298,0.009947229551451187,0.009973614775725594,0.13984168865435356,0.503957783641161,0.13192612137203166,1,F
22,Adam Fantilli,1.1724137931034482,0.7844827586206896,0.28448275862068967,0.06896551724137931,0.1810344827586207,1.3448275862068966,0.07758620689655173,2.6206896551724137,0.13793103448275862,0.6120689655172413,1.1120689655172413,3.5,0.25862068965517243,0.5948275862068966,0.02586206896551724,0.2413793103448276,19.21551724137931,4.913793103448276,2.3017241379310347,0.3275862068965517,6.163793103448276,4.577586206896552,116,1014.4827586206897,0.009051724137931035,0.008793103448275863,0.25,0.6379310344827587,0.3103448275862069,1,F
25,Adam Gaudette,1.0421052631578946,0.3017543859649123,0.1543859649122807,0.0456140350877193,0.12982456140350876,0.8,0.028070175438596492,1.3298245614035087,0.08070175438596491,0.47719298245614034,0.6035087719298246,2.719298245614035,0.3017543859649123,0.3263157894736842,0.014035087719298246,0.08421052631578947,16.5859649122807,2.501754385964912,1.3333333333333333,0.24210526315789474,2.6842105263157894,2.031578947368421,285,674.459649122807,0.012947368421052631,0.012807017543859649,0.1368421052631579,0.3368421052631579,0.17192982456140352,1,F
27,Adam Hall,4.736363636363636,0.12727272727272726,0.05454545454545454,0.024242424242424242,0.10909090909090909,1.4,0.006060606060606061,1.1666666666666667,0.024242424242424242,0.3787878787878788,0.396969696969697,1.1606060606060606,0.34545454545454546,0.14545454545454545,0.012121212121212121,0.08484848484848485,18.651515151515152,1.9303030303030304,1.2575757575757576,0.24545454545454545,2.9545454545454546,3.824242424242424,330,710.9666666666667,0.005454545454545455,0.005757575757575757,0.21212121212121213,0.6,0.09090909090909091,1,F
28,Adam Henrique,3.61758691206544,0.37934560327198363,0.2770961145194274,0.11349693251533742,0.26789366053169733,0.8629856850715747,0.06339468302658487,1.5,0.10020449897750511,0.7576687116564417,0.7034764826175869,3.474437627811861,0.2740286298568507,0.558282208588957,0.053169734151329244,0.1605316973415133,22.92126789366053,3.1012269938650308,1.822085889570552,0.4560327198364008,6.280163599182004,6.347648261758692,978,1047.984662576687,0.0077402862985685075,0.007842535787321064,0.1656441717791411,0.745398773006135,0.28118609406952966,1,F
29,Adam Johnson,1.0,0.15384615384615385,0.07692307692307693,0.0,0.0,1.1538461538461537,0.0,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.0,0.6153846153846154,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,10.153846153846153,0.8461538461538461,0.6153846153846154,0.23076923076923078,0.0,0.0,13,363.2307692307692,0.07153846153846154,0.07307692307692307,0.0,0.46153846153846156,0.23076923076923078,1,F
30,Adam Klapka,1.0952380952380953,0.23809523809523808,0.09523809523809523,0.0,0.047619047619047616,3.380952380952381,0.047619047619047616,0.8095238095238095,0.047619047619047616,0.47619047619047616,0.3333333333333333,0.9523809523809523,1.1428571428571428,0.09523809523809523,0.0,0.047619047619047616,11.571428571428571,1.7142857142857142,1.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,21,479.5238095238095,0.03761904761904762,0.03619047619047619,0.23809523809523808,0.7619047619047619,0.0,1,F
32,Adam Lowry,4.343832020997375,0.27165354330708663,0.15485564304461943,0.05643044619422572,0.26115485564304464,2.6128608923884515,0.031496062992125984,1.1115485564304461,0.06692913385826772,0.610236220472441,0.5866141732283464,2.1876640419947506,0.49868766404199477,0.34908136482939633,0.04199475065616798,0.17191601049868765,21.712598425196852,2.4146981627296586,1.3963254593175853,0.4199475065616798,6.874015748031496,7.245406824146982,762,908.9763779527559,0.006614173228346456,0.006601049868766405,0.20078740157480315,0.6167979002624672,0.1942257217847769,1,F
33,Adam Mair,1.4545454545454546,0.23923444976076555,0.07177033492822966,0.019138755980861243,0.09569377990430622,1.2679425837320575,0.014354066985645933,0.9282296650717703,0.03827751196172249,0.2822966507177033,0.3492822966507177,1.645933014354067,0.8755980861244019,0.17703349282296652,0.009569377990430622,0.07655502392344497,14.344497607655502,1.5598086124401913,0.9569377990430622,0.20574162679425836,1.69377990430622,1.674641148325359,209,580.4258373205741,0.0067942583732057416,0.006842105263157894,0.215311004784689,0.23444976076555024,0.10526315789473684,1,F
36,Adam Payerl,1.5,0.0,0.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,14.0,2.5,2.0,0.0,0.0,0.0,2,549.0,0.165,0.175,0.0,1.0,0.0,1,F
38,Adam Raska,0.6923076923076923,0.38461538461538464,0.0,0.0,0.15384615384615385,3.076923076923077,0.0,0.3076923076923077,0.0,0.15384615384615385,0.38461538461538464,0.8461538461538461,0.5384615384615384,0.0,0.0,0.0,11.76923076923077,0.7692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,13,508.0769230769231,0.11538461538461539,0.11076923076923076,0.46153846153846156,0.23076923076923078,0.0,1,F
39,Adam Ruzicka,1.170940170940171,0.28205128205128205,0.11965811965811966,0.02564102564102564,0.10256410256410256,0.5470085470085471,0.042735042735042736,1.2136752136752136,0.05128205128205128,0.3247863247863248,0.48717948717948717,2.128205128205128,0.27350427350427353,0.3418803418803419,0.02564102564102564,0.11965811965811966,15.632478632478632,2.2222222222222223,1.1538461538461537,0.20512820512820512,2.7606837606837606,2.4444444444444446,117,640.5042735042736,0.01914529914529915,0.018974358974358976,0.10256410256410256,0.27350427350427353,0.2222222222222222,1,F
42,Adrian Kempe,2.624390243902439,0.4585365853658537,0.3056910569105691,0.11869918699186992,0.2682926829268293,1.2016260162601626,0.08943089430894309,2.347967479674797,0.0975609756097561,0.7479674796747967,0.9544715447154472,3.832520325203252,0.5447154471544715,0.6211382113821138,0.026016260162601626,0.21300813008130082,21.959349593495936,4.5268292682926825,2.4097560975609755,0.3105691056910569,1.921951219512195,1.3317073170731708,615,1008.4341463414634,0.008065040650406504,0.00796747967479675,0.22601626016260162,0.33658536585365856,0.3154471544715447,1,F
43,Aidan McDonough,1.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666,1.1666666666666667,0.0,0.5,0.16666666666666666,0.5,0.5,1.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,13.666666666666666,1.5,0.6666666666666666,0.0,0.0,0.16666666666666666,6,558.5,0.065,0.06,0.0,0.3333333333333333,0.0,1,F
44,Akil Thomas,1.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.26666666666666666,1.5,0.03333333333333333,0.7,0.03333333333333333,0.2,0.23333333333333334,1.0333333333333334,0.3,0.23333333333333334,0.06666666666666667,0.1,12.933333333333334,1.6,0.9333333333333333,0.1,0.9666666666666667,0.6333333333333333,30,573.4666666666667,0.033,0.033666666666666664,0.23333333333333334,0.43333333333333335,0.1,1,F
45,Akim Aliu,1.7142857142857142,0.42857142857142855,0.2857142857142857,0.0,0.14285714285714285,1.5714285714285714,0.2857142857142857,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285,1.4285714285714286,0.8571428571428571,0.42857142857142855,0.0,0.0,14.714285714285714,1.2857142857142858,0.7142857142857143,0.14285714285714285,0.0,0.0,7,654.7142857142857,0.12571428571428572,0.1142857142857143,1.0,0.2857142857142857,0.14285714285714285,1,F
47,Aku Raty,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1,705.0,0.26,0.28,1.0,0.0,1.0,1,F
48,Alan Quine,1.7358490566037736,0.3018867924528302,0.09433962264150944,0.04716981132075472,0.07547169811320754,1.2452830188679245,0.02830188679245283,1.009433962264151,0.018867924528301886,0.39622641509433965,0.3018867924528302,1.849056603773585,0.20754716981132076,0.25471698113207547,0.018867924528301886,0.0660377358490566,16.264150943396228,1.9433962264150944,1.179245283018868,0.2641509433962264,3.5754716981132075,3.150943396226415,106,711.2169811320755,0.021886792452830192,0.021603773584905662,0.04716981132075472,0.42452830188679247,0.16037735849056603,1,F
52,Aleksander Barkov,3.705808080808081,0.5808080808080808,0.3573232323232323,0.125,0.3207070707070707,0.6578282828282829,0.07575757575757576,2.132575757575758,0.15656565656565657,1.0101010101010102,0.8522727272727273,4.4646464646464645,0.1994949494949495,0.976010101010101,0.06439393939393939,0.2297979797979798,24.30176767676768,4.215909090909091,2.611111111111111,0.8042929292929293,8.530303030303031,9.632575757575758,792,1206.9406565656566,0.008762626262626262,0.008686868686868687,0.23863636363636365,0.6590909090909091,0.6186868686868687,1,F
53,Aleksi Heponiemi,1.68,0.28,0.08,0.0,0.08,0.08,0.0,0.64,0.08,0.6,0.2,1.6,0.24,0.24,0.04,0.08,15.2,1.48,1.12,0.4,0.16,0.16,25,672.44,0.05600000000000001,0.05600000000000001,0.12,0.12,0.16,1,F
54,Aleksi Saarela,1.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,1.7777777777777777,0.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,0.4444444444444444,0.2222222222222222,0.0,14.88888888888889,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.2222222222222223,0.6666666666666666,9,734.6666666666666,0.05222222222222222,0.05666666666666667,0.0,0.3333333333333333,0.2222222222222222,1,F
