player_id,gameCount,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,pim
8473924,12,2,1,3,-2,0,0,0,0,9,201,2
8470578,15,1,1,2,-7,0,0,0,0,11,310,8
8481581,64,12,27,39,23,1,1,2,1,138,1618,14
8480847,39,1,5,6,-10,0,0,0,0,36,805,8
8474722,1,0,0,0,0,0,0,0,0,0,13,0
8470222,1,0,0,0,0,0,0,0,0,0,2,0
8478911,57,2,19,21,29,0,0,0,0,66,1235,25
8466285,80,5,12,17,12,2,2,1,0,74,1896,24
8482671,65,6,26,32,-14,1,1,0,0,120,1769,12
8475206,3,0,1,1,1,0,0,0,0,3,45,0
8479372,54,0,8,8,4,0,0,0,0,53,919,16
8474497,15,0,1,1,6,0,0,0,0,9,294,4
8475762,40,1,6,7,-6,0,0,0,0,32,1022,34
8467400,67,3,14,17,12,0,0,0,0,93,1416,26
8476525,49,2,9,11,10,0,0,0,0,53,905,32
8479602,1,0,0,0,0,0,0,0,0,1,13,2
8475982,4,0,0,0,-1,0,0,0,0,2,55,2
8473459,9,0,0,0,3,0,0,0,0,8,126,4
8458637,51,0,7,7,-6,0,0,0,0,30,951,23
8481630,4,0,0,0,0,0,0,0,0,2,73,0
8470187,64,2,9,11,-11,1,1,0,0,96,1420,14
8470839,9,0,1,1,-4,0,0,0,0,4,174,5
8480274,1,0,0,0,0,0,0,0,0,0,3,0
8471702,68,8,25,33,15,4,4,0,0,126,1894,29
8473673,18,0,2,2,-1,0,0,0,0,29,469,4
8465005,54,1,3,4,-5,0,0,0,0,33,1227,21
8468509,79,3,24,27,-5,1,1,0,0,71,2047,40
8474134,2,0,0,0,-3,0,0,0,0,1,31,0
8479410,61,11,32,43,-11,3,3,3,2,104,1883,26
8479376,11,0,2,2,3,0,0,0,0,7,210,4
8478915,13,0,6,6,3,0,0,0,0,14,235,2
8458541,65,0,8,8,-19,0,0,0,0,67,1412,53
8481552,1,0,0,0,-2,0,0,0,0,2,19,0
8481546,53,4,10,14,-6,0,0,1,0,57,1513,22
8471879,7,0,0,0,-1,0,0,0,0,5,141,0
8482067,1,0,0,0,1,0,0,0,0,1,22,5
8482073,67,5,11,16,5,0,0,1,1,85,1468,14
8472394,43,3,2,5,-10,0,0,0,0,31,880,4
8478450,41,1,4,5,-6,0,0,0,0,33,936,8
8475174,37,0,4,4,7,0,0,0,0,23,804,16
8474518,29,2,5,7,3,1,1,0,0,28,640,14
8479982,55,3,8,11,9,0,0,0,0,54,1332,26
8475148,42,2,5,7,-7,1,1,0,0,36,811,14
8473539,1,0,1,1,1,0,0,0,0,0,20,0
8476441,61,5,11,16,18,0,0,1,0,80,1615,20
8469575,47,2,5,7,-6,0,0,0,0,73,997,69
8480466,1,0,0,0,0,0,0,0,0,1,17,2
