performance_metrics,loading
giveaways,0.19180934212556675
goals,0.29177462195855797
high_danger_goals,0.2500809368027861
high_danger_shots,0.2237214040057832
hits,-0.0954228827739021
low_danger_goals,0.23920523232335786
low_danger_shots,0.28029614876595044
medium_danger_goals,0.1872701098778844
medium_danger_shots,0.24724266022556282
shifts,0.22857741147859925
shot_attempts,0.3168424795090153
shots_on_goal,0.3241477934676841
takeaways,0.1746714295562224
faceoffs_lost,0.13457357793909505
faceoffs_won,0.13447511278157567
icetime,0.2689876788160827
on_ice_corsi_percentage,-0.1381282097056677
on_ice_fenwick_percentage,-0.13504868195653316
shots_blocked_by_player,0.03668482485580771
assists,0.29827065948210724
